{'短评内容': '很好，下次还会再来', '短评打分': 5}
{'短评内容': '很满意 下次继续', '短评打分': 5}
{'短评内容': '不错服务好', '短评打分': 5}
{'短评内容': '一般吧，一晚一千多对不起这价格', '短评打分': 3}
{'短评内容': '环境不错   下次可以带朋友来', '短评打分': 5}
{'短评内容': '很好，每年都会去住', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '总体来说一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '越来越久越来越没意思。池子好多关着', '短评打分': 3}
{'短评内容': '还可以可以可以可以可以', '短评打分': 3}
{'短评内容': '挺好的，很值得一来，尤其别墅', '短评打分': 3}
{'短评内容': '酒店胜在人少，但是木屋隔音差，房间味道大，早饭一般般，不过酒店服务好', '短评打分': 3}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '硬件环境还是不错的，就是服务不怎么样，我想要个插线板也没有，想要个餐打了几次电话也没人接，还有就是卫生不好，池子里都长了青苔，特意去的话可以自己带上消毒用具打扫', '短评打分': 5}
{'短评内容': '正如预期所预想、所愿望的！想不要网上批评的那间有霉味臭味客房，但还是赶上了！这么雅致的房间就为什么“驱”不掉呢？看了泉眼，温泉泡得就更惬意！吃得也很合意。整个酒店设施规整，环境赏心悦目，服务热情周到！', '短评打分': 5}
{'短评内容': '玉龙山氡泉度假村在群山环绕中，离雅阳镇有7公里，度假村环境幽雅，空气清新，度假村主要特色是温泉，所用水是从山下抽上来的，水质有保证，但如果一天中泡温泉的人太多的话服务就会逊色不少。晚上一些池水就冷了，服务员就不愿意再加热了，所以泡温泉还是一开汤就泡比较好。', '短评打分': 5}
{'短评内容': '那里有两个温泉度假酒店区，一个叫梅林氡泉，玉龙山的叫承天氡泉，分别位于山的两边，千万搞清楚，否则走错的话，相差十几公里的盘山路。酒店房间一般，但餐厅性价比还可以，餐厅外面的景色也不错，温泉很好，我是上午去的，人很少，泡的很舒服，温泉是同程定的优惠票，没问酒店定，酒店入住时也没介绍住店是否有优惠。', '短评打分': 5}
{'短评内容': '  酒店和信太差了，走路都听的见……其他都好……', '短评打分': 3}
{'短评内容': '酒店还不错，就是晚上想逛逛没地方可去，再增加点休闲娱乐的去处最好!', '短评打分': 5}
{'短评内容': '屋子太小了 小的不得了   闷   好处我说不出来  晚上 睡觉不冷  这个可以算吧  因为屋子小闷', '短评打分': 1}
{'短评内容': '周边环境非常好，日式汤屋不环保——用的木头、胶水材料刺鼻熏人，要致癌的！', '短评打分': 5}
{'短评内容': '对的起价格的酒店，出行方便，服务一般。', '短评打分': 3}
{'短评内容': '房间里连个放电脑的桌子都没有,这让上网很不方便', '短评打分': 1}
{'短评内容': '配置齐全 网速很快  总体来说是不错的  位置也很好  外围的环境也很优秀  不过就是没窗有点闷 ', '短评打分': 5}
{'短评内容': '旅社感觉很不错，性价比很高。', '短评打分': 3}
{'短评内容': '不错，干净，网速快。性价比很高', '短评打分': 3}
{'短评内容': '太小了，条件也差，非常不推荐，一次性的洗具两个人也才给一个，只有牙刷是两个', '短评打分': 1}
{'短评内容': '还是很超值的，宽带大床才六十。', '短评打分': 3}
