{'短评内容': '酒店景色很美', '短评打分': 5}
{'短评内容': '早餐不错，花样不多，但吃的还比较舒服。环境很好，湖面开阔，停车方便，带孩子也很好。有温泉，可以游泳。', '短评打分': 5}
{'短评内容': '户外环境不错', '短评打分': 4}
{'短评内容': '住在这家酒店，很方便。', '短评打分': 5}
{'短评内容': '这家酒店很好的。', '短评打分': 5}
{'短评内容': '好安静！但设施有点老旧', '短评打分': 5}
{'短评内容': '帮朋友定的！第一次去环境还好，只是工作人员太少服务不好！晚上走廊灯都是关的！也找不到服务员！房间也没有送餐还要自己去定！怎么说呢朋友很不满意！服务有待提高呀！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '先说优点吧，周围绿草如茵，湖水宁静，可以泡温泉，旁边还有泳池，游游泳，泡泡温泉，很是惬意。早餐，起晚了没吃到。再说说不足，房间装修有些陈旧了，有些灯泡都坏了。', '短评打分': 5}
{'短评内容': '出差去的 只能说很一般  设施看着还不错 但可能没什么人住的关系 房间有味道，早餐也比较一般 。床单上有头发', '短评打分': 3}
{'短评内容': '酒店环境确实很安静！设施有点旧，服务态度一般！', '短评打分': 4}
{'短评内容': '位置不是很好找 但环境相当好. 房间也非常好 很有调调 有机会还会去，酒店有商务会议室，像这样的庄园就适合开开会，轻轻松松的旅游一回。  ', '短评打分': 5}
{'短评内容': '酒店地区非常偏远 没有人 打车都没有出租车 环境很不错 就是房间设施一般 没有wifi 信号也不好 洗澡设备也一般 整体下来 除了外面环境不错 安静以外 没别的了', '短评打分': 3}
{'短评内容': '地点偏僻 设施老旧 服务不好', '短评打分': 1}
{'短评内容': '酒店不错，房间很大，干净卫生，早餐丰富，周边环境很好。', '短评打分': 5}
{'短评内容': '酒店住宿内没有宽带，洗澡的淋雨超小。中餐不接待散客。一般。', '短评打分': 3}
{'短评内容': '感觉还不错，酒店的环境不错，饭菜好吃，吃饭环境比较好。', '短评打分': 5}
{'短评内容': '环境服务都很好。', '短评打分': 3}
