{'短评内容': '酒店干洁，整洁，非常舒适，性价比很高！下次还住这！', '短评打分': 5}
{'短评内容': '太吵了！！！！！！！！！', '短评打分': 4}
{'短评内容': '', '短评打分': 3}
{'短评内容': '全国住了不下20个城市的锦江之星，昆明这个是最差的，没有之一！无线网络基本瘫痪，手机信号也奇差！', '短评打分': 1}
{'短评内容': '很好的。不错不错', '短评打分': 5}
{'短评内容': '还不错 环境卫生也可以 挺安静的', '短评打分': 5}
{'短评内容': '', '短评打分': 3}
{'短评内容': '位置还可以，楼下就有小吃街，马路对面就大型超市，美食街', '短评打分': 4}
{'短评内容': '总体评价不错', '短评打分': 5}
{'短评内容': '服务也可以吧。。。挺好的。感觉京东服务也不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务员态度非常好', '短评打分': 5}
{'短评内容': '位置很好，出行方便，初酒店就是公交站，可去斗南花式，昆明市，周边各个湿地公园，离地铁三四站，楼下就是小吃街，商店和超市，非常便利。房间干净，比较舒服，前台服务员态度很好，很热情。', '短评打分': 4}
{'短评内容': '为了凑15个字，我只能这样做了。', '短评打分': 4}
{'短评内容': '停车不是很方便，周边环境一般', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 4}
{'短评内容': '酒店是不错的，工作人员也比较热心。不过给的房间有点吵', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 4}
{'短评内容': '前台服务不错，空调运营1分钟，自动关！！！', '短评打分': 3}
{'短评内容': '不太愉快的一次入住，携程网上的宣传图片跟现实相差也太大了，向客服投诉也没有用。。。。。对携程的服务质量质疑', '短评打分': 1}
{'短评内容': '价格小贵，位置尚可。希望价格再低一些。服务还不错。', '短评打分': 1}
{'短评内容': ' 很不错，酒店就在路口，很大的招牌一眼就能看见很好找。晚上很安静。双人间很大 ，很干净。总体来说非常满意!', '短评打分': 3}
