{'短评内容': '服务很好，地理位置也很方便，还会再次入住。', '短评打分': 5}
{'短评内容': '服务很好，地理位置也很方便，还会再次入住。', '短评打分': 5}
{'短评内容': '服务很好，地理位置也很方便，还会再次入住。', '短评打分': 5}
{'短评内容': '志诚丽柏酒店地理位置很好，提供免费的机场小巴接送，酒店前边就是地铁科技路站，出行方便。酒店服务非常好，有宾至如归的感觉。早餐营养丰富，服务细致。', '短评打分': 5}
{'短评内容': '服务很体贴，很温馨。', '短评打分': 5}
{'短评内容': '早餐不错，门口老堵车。', '短评打分': 4}
{'短评内容': '早餐不错，门口老堵车。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店很办公室很近，楼下还有机场大巴，便捷。', '短评打分': 5}
{'短评内容': '！！！！！！！！！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '来回机场非常便利，酒店还提供免费的乘车票。地理位置也不错，很方便。', '短评打分': 5}
{'短评内容': '早餐丰富，服务好', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店服务很好，认真负责，早餐也不错。', '短评打分': 5}
{'短评内容': '不错的酒店，服务好，早餐也丰富。', '短评打分': 5}
{'短评内容': '酒店一直不错，服务好，早餐也丰富，就是价格稍贵。', '短评打分': 5}
{'短评内容': '为客户订的房间，客户很满意。预订部小姐也很用心，一次次与我确认。', '短评打分': 5}
{'短评内容': ' 好棒！', '短评打分': 3}
{'短评内容': '酒店不错，服务很好，晚到了一会，但还是给保留住了，值得推荐', '短评打分': 5}
{'短评内容': '早餐很给力，种类超多。地段也好，离办事儿的地方很近', '短评打分': 5}
{'短评内容': '酒店地理位置很方便，紧挨着机场大巴，非常方便', '短评打分': 5}
{'短评内容': ' 挺不错的酒店…', '短评打分': 3}
{'短评内容': '各项设施都比较好,但电视一般,频道比较少,而且若早上想不洗澡但洗头的话,会有点小麻烦', '短评打分': 5}
{'短评内容': '高新区内性价比最好的酒店，除房间较小外没其它问题，一楼自助餐超值', '短评打分': 5}
{'短评内容': '很好的一家酒店，距离机场大巴很近，周边还有一家biangbiang面馆，值得一试', '短评打分': 5}
{'短评内容': '很不错的酒店，房间小了一点，条件、服务都不错，订了好几次，今天订没订上，人气旺，临时订难订上', '短评打分': 5}
{'短评内容': '非常好，地理位置优越，交通方便。房间安静，床很舒适。价格也很合理。', '短评打分': 5}
{'短评内容': '酒店不错，早餐也挺丰盛的，下次还会来住的。。', '短评打分': 5}
{'短评内容': '酒店位置很好，机场大巴高新站下车就是，环境不错，值得入住', '短评打分': 5}
{'短评内容': '在中国移动公司附近，高新区内性价比不错的酒店，就是房间比较小，服务一般', '短评打分': 5}
{'短评内容': '听不错的，帮别人订的，住的觉得好后来又续订了', '短评打分': 5}
{'短评内容': '价格虽高了点，房间小了点，但卫生很好，床上用品很舒服。', '短评打分': 3}
{'短评内容': '房间明亮，卫生超好，住着舒适', '短评打分': 3}
{'短评内容': '每次到西安一定要住这家,非常方便,强烈推荐', '短评打分': 5}
{'短评内容': '住了第二次了，觉得非常不错，尤其是餐食很好，以后还会去的。', '短评打分': 5}
{'短评内容': '到西安就一定要住这家,非常的不错,离我办事的地方也很近,强烈推荐', '短评打分': 5}
{'短评内容': '，不错的设施，干净，下次还预订。', '短评打分': 3}
{'短评内容': '房间不错，早餐不错，地理位置不错。生意繁忙。作为一个商务旅馆，可以作为定点了。', '短评打分': 5}
{'短评内容': '总体还是不错的，早餐喜欢，会在入住这里。', '短评打分': 5}
{'短评内容': '酒店周边交通方便，特色吃饭的地方也不错，房间很好服务周到', '短评打分': 5}
{'短评内容': '酒店门卡不太好用，常常打不开门。希望改进，别的还行。', '短评打分': 5}
{'短评内容': '环境干净卫生，设施精致，总体品质感较高，但服务质量等软件有待提高', '短评打分': 3}
{'短评内容': '服务不错，一直住这家的，还有入住水果，推荐', '短评打分': 5}
{'短评内容': '交通方便，环境优雅。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通方便，环境优雅。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置很好，在高新区内，门口就是机场大巴，酒店每天会送水果还有健身房', '短评打分': 5}
{'短评内容': '设施虽然有点旧但是还算干净。餐饮OK， 服务OK。', '短评打分': 5}
{'短评内容': '地段很好，民航大巴起点，酒店房间干净，就是面积小了点。周边吃饭的地方很多，很方便。', '短评打分': 5}
{'短评内容': '地理位置很好，周边吃饭的地方很多，民航大巴始发站，就是房间面积小了一些，一如既往的支持。', '短评打分': 5}
{'短评内容': '很棒的一家酒店,到西安一定要住这家,每天还有送水果,各方面的服务都不错,非常推荐!', '短评打分': 5}
{'短评内容': '酒店还不错，就是家具稍旧，没有澡盆，只有淋浴。晚餐的自助餐又涨价了。其他还行。', '短评打分': 5}
{'短评内容': '＋环境非常好，早餐也丰富，下次还住这。', '短评打分': 3}
{'短评内容': '可以，附近除了香格里拉，就是这个了。不过服务水平本土本土\n', '短评打分': 5}
{'短评内容': '总体感觉不错，价位适中，位置比较便利。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店各方面条件不错，很舒适，性价比好，以后会选择，也会向朋友推荐的。', '短评打分': 5}
{'短评内容': 'reasonable hotel.  very close to my office.  I stay there everytime when I go to Xian for business.  Receptionlists are very friendly.   ', '短评打分': 5}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '这个酒店的硬件设施还是挺好的，相对于西安其他酒店，只比那几个五星级的差一些，而好于其他酒店。', '短评打分': 5}
{'短评内容': '交通便利，性价比高，服务较好。早餐特别丰富。推荐！', '短评打分': 5}
