{'短评内容': '房间不错。设施齐全。前台服务态度好。', '短评打分': 5}
{'短评内容': '宾馆不错，停车场比较大。前台服务好，房间比较大。设施齐全。', '短评打分': 5}
{'短评内容': '早餐一般！', '短评打分': 4}
{'短评内容': '前台服务很好', '短评打分': 5}
{'短评内容': '近汽车站，很好', '短评打分': 5}
{'短评内容': '非常不错的选择，环境卫生都好&hellip;', '短评打分': 5}
{'短评内容': '价廉物美！！！！！', '短评打分': 5}
{'短评内容': '测得就算是旅游淡季这个价格就是在老家也不行，旅游区那么冷还有热空调', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店环境非常好，非常整洁卫生，总台服务员很热情，对我们的疑问很耐心解答，周边有很多饭店，价格很实惠，', '短评打分': 5}
{'短评内容': '首先肯定下地理位置十分优越，酒店后面就是汽车站，非常方便，订的豪华房房间还是比较宽敞的，接着说几点不满意的地方，第一房间使用牙刷拖鞋竟然要收费！豪华房了房间也没用免费的矿泉水喝！最终让服务员把收费的东西全部收走了，第二中央空调我开了3个小时热空调后还是冷的要命打电话给前台，被告知中央空调坏了！我运气这么好，这么大的酒店中央空调坏了几天也没修好？！哦 还有写字台都台灯也是不亮的！', '短评打分': 4}
{'短评内容': '其它都满意就是后面有客运站', '短评打分': 5}
{'短评内容': '设施不是最好，但是很方便，早餐一般般，吃饱吧', '短评打分': 4}
{'短评内容': '早餐挺好，车站近，演艺也近。不错的选择', '短评打分': 5}
{'短评内容': '酒店离景区门口很近，房间硬件还可以，但有霉味。', '短评打分': 3}
{'短评内容': '离景区近，步行就可以上去。', '短评打分': 3}
{'短评内容': '房间干净，也不吵，离景区近', '短评打分': 3}
{'短评内容': '距离武陵源汽车站非常近，交通便利，离景区也只是十分钟步行路程，提供早餐，性价比较高。但是房间内设置不够舒服，淋浴头居然是坏的，也没人修理', '短评打分': 5}
{'短评内容': '总体来说不错的，院内有停车场，停车方便，房间算干净，靠路边晚上有点吵。酒店的服务还算不错，前台服务太差。性价比一般。', '短评打分': 5}
{'短评内容': '还不错，工作人员服务态度比较好，地理位置也还好，离景区大门很近，打', '短评打分': 5}
{'短评内容': '不错。去的当天竟然升级为套房。位置也比较好找，推荐', '短评打分': 5}
{'短评内容': '非常好，定了双人间给了行政套房很超值！\n酒店位置也不错就在汽车站边上，离武陵源景区很近步行10分钟。\n问题就是靠马路的那边，玻璃隔音不好，有点吵。不过玩得累也管不了那么多了直接睡着了。', '短评打分': 5}
{'短评内容': '就在汽车站的旁边,边上有个大超市,购物很方便,酒店里也有平价超市,吃饭的话到斜对面的老彭三下锅,味道不错', '短评打分': 5}
{'短评内容': '很满意.房间好，服务好，早餐再丰盛点就更好', '短评打分': 5}
{'短评内容': '离标示牌很近，走路十分钟。近汔车站，去吃当地特色菜和超市都很近。房间干净。', '短评打分': 5}
{'短评内容': '酒店很舒服，交通很方便，绝对至少真正的三星至四星标准，跟价格很匹配。', '短评打分': 3}
{'短评内容': '方便干净，服务还算是不错的了。早餐品种少，吃的一般。总体上ok了！', '短评打分': 5}
{'短评内容': '价格便宜，但是没有一次性用品', '短评打分': 3}
