{'descr': '酒店在装修 有味道 但不至于头疼 清净 位置好', 'star': 4}
{'descr': '非常好！老婆很满意，下次还会来！', 'star': 5}
{'descr': '房间很大，很舒适，周边在装潢有点吵', 'star': 4}
{'descr': '正在装修很吵，房间也不大', 'star': 4}
{'descr': '服务很好，房间设施很好，下次还会来', 'star': 5}
{'descr': '房间很干净，服务也好、推荐入住.', 'star': 5}
{'descr': '很好很不错，还比超市便宜，下次还会再买。。。', 'star': 5}
{'descr': '贵了一点，没有官网便宜', 'star': 5}
{'descr': '方便，快捷，房间也大，住着很舒服', 'star': 5}
{'descr': '房间大干净，服务好！', 'star': 5}
{'descr': '是帮老板订的，老板说还不错，挺干净的                                  ', 'star': 5}
{'descr': '凑合', 'star': 4}
{'descr': '位置很好，离南京路步行街近。周围吃喝玩乐非常方便。', 'star': 5}
{'descr': '房间很干净，舒适。服务非常周到细致，好评', 'star': 5}
{'descr': '每次出差都在这边，只是南非的冬天开了空调房间也还是很冷', 'star': 5}
{'descr': '每次出差都在这边，只是南非的冬天开了空调房间也还是很冷', 'star': 5}
{'descr': '酒店硬件还可以，就是经常价格不便宜，有特价的话性价比就很好了', 'star': 4}
{'descr': '酒店位置蛮不错的，房间也很大，就是洗手间小了一点', 'star': 4}
{'descr': 'Location is great. If you speak a little bit of Chinese or at least know how to see GPS, it is not difficult to find this hotel. Approximately 7 mins to the subway station. There is a Citi Bank right ', 'star': 4}
{'descr': '地理位置不错  很方便 以后会继续支持的 干净整洁 服务很好 去哪里都比较方便 地铁站走两分钟就到 很好的游玩和商务选择  ', 'star': 5}
{'descr': '不错的', 'star': 5}
{'descr': '希望服务能再提升点，态度很好，但是感觉经验不足，很忙乱', 'star': 5}
{'descr': '距离地铁站人民广场近，周边比较方便，酒店环境也可以', 'star': 5}
{'descr': '酒店房间干净整洁，不错！\n下次还会入住该酒店', 'star': 5}
{'descr': '感觉只有大堂重新装修了', 'star': 3}
{'descr': '酒店地理位置很好，坐落在云南南路美食街上，尽享特色美食。而且离南京东路和豫园都很近，步行即可。酒店服务态度也很热情周到，对于这个价位来说房间设施算是不错的了，连住4晚很舒心。', 'star': 5}
{'descr': '房间比较大，床也很软。服务员也很有礼貌。但临街的房间有点吵，不临街的就非常安静。', 'star': 5}
{'descr': '性价比高.很好.', 'star': 3}
{'descr': '真的很好，房間新，乾淨，地點好，下次還來！', 'star': 5}
{'descr': '对得起这个价钱，就是入住的时候赶上中午结算，开始没查到姓名，希望加强管理。', 'star': 5}
{'descr': '房间环境不错，周边出行用餐都很方便，房间里再能配个躺椅和浴袍就更好了。', 'star': 5}
{'descr': '酒店太赞了，位置好，干静，房间大，价格合理，下回还要住！', 'star': 3}
{'descr': '订的高级大床房，酒店非常舒服，设施也很新。不错！', 'star': 3}
{'descr': '交通便利 ', 'star': 3}
{'descr': '交通方便，卫生干净，服务也不错，以后还会入住', 'star': 5}
{'descr': '这个酒店非常不错，干净，整洁，只是不能停车，外面停车太贵了，居然一天要100多块，', 'star': 5}
{'descr': '房间很舒服，虽然是快捷酒店，但应该也算的上快捷酒店里比较高档的了。', 'star': 5}
{'descr': '简单，干净，市中心。其它的没什么了，前台冷冰冰。', 'star': 1}
{'descr': '闹中取静的好地方，购物、游览都很方便，如果停车位再多一点就更好了', 'star': 5}
{'descr': '不错。地理位置很好.交通很方便。价格也还好。下次还会去的。', 'star': 5}
{'descr': '地理位置很不错~~~交通非常方便~~~就是感觉房间有点闷~~~是中央空调 \n', 'star': 5}
{'descr': '下次到上海出差或朋友到上海出差都会我的朋友推荐这家酒店!', 'star': 5}
{'descr': '地理位置很不错~~~交通非常方便~~~就是感觉房间有点闷~~~是中央空调', 'star': 5}
{'descr': '位置好极了！交通方便，离开商业区和旅游点又近。还送新亚大包的早餐', 'star': 5}
{'descr': '总体上还是不错的。在闹市区。购物很方便，但是不提供早餐--遗憾！', 'star': 5}
{'descr': ' 好', 'star': 3}
{'descr': ' 好', 'star': 3}
{'descr': '酒店离机场是很近的，但是酒店装修很老旧了，前台态度也就一般，价格也不是算很便宜的。', 'star': 1}
{'descr': '酒店离机场是很近的，但是酒店装修很老旧了，前台态度也就一般，价格也不是算很便宜的。', 'star': 1}
{'descr': '酒店还可以。床也满舒服的。就是留的酒店电话出了故障，老打不通，还好问了114要了另一个电话，呵呵', 'star': 3}
{'descr': '酒店还可以。床也满舒服的。就是留的酒店电话出了故障，老打不通，还好问了114要了另一个电话，呵呵', 'star': 3}
{'descr': '就那么回事吧，要不是一早晨的飞机，我是不会住这的。', 'star': 1}
{'descr': '就那么回事吧，要不是一早晨的飞机，我是不会住这的。', 'star': 1}
{'descr': '怎么说呢？设备比较老比较旧，确实有待改进', 'star': 1}
{'descr': '怎么说呢？设备比较老比较旧，确实有待改进', 'star': 1}
{'descr': '还不错，下次有机会还会去。环境挺不错的，交通业便利', 'star': 5}
{'descr': '离机场好近', 'star': 3}
{'descr': '离机场好近', 'star': 3}
{'descr': '还好，比之前看到的某些负面评价要好些，装修其实还不错，稍微旧了点，房间的服务在细节方面还不错。', 'star': 5}
{'descr': '还好，比之前看到的某些负面评价要好些，装修其实还不错，稍微旧了点，房间的服务在细节方面还不错。', 'star': 5}
{'descr': '这家酒店真的很差，要不是赶早班机我是绝对不会选择这里的。设施差，服务差，价格高。', 'star': 1}
{'descr': '这家酒店真的很差，要不是赶早班机我是绝对不会选择这里的。设施差，服务差，价格高。', 'star': 1}
{'descr': '在上海的经济型酒店中,这家算不错的选择,干净,楼层内不会觉得太吵.房间还可以.比较宽敞', 'star': 5}
{'descr': '交通很方便 因为离着机场很近 但是房间很简陋 价格不便宜', 'star': 5}
{'descr': '交通很方便 因为离着机场很近 但是房间很简陋 价格不便宜', 'star': 5}
{'descr': '房间设施太老了！但是离机场确实近！', 'star': 3}
{'descr': '房间设施太老了！但是离机场确实近！', 'star': 3}
{'descr': '地理位置佳！环境还不错，装潢一般，但还比较干净，价位嘛，偏高一点，还能接受！', 'star': 5}
{'descr': '南京空港宾馆位置便利但设施略显陈旧。', 'star': 3}
{'descr': '南京空港宾馆位置便利但设施略显陈旧。', 'star': 3}
{'descr': '好。', 'star': 3}
{'descr': '好。', 'star': 3}
{'descr': '感觉不错，相对比较干净，下次还会入住~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '感觉不错，相对比较干净，下次还会入住~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': ' 服务好满意', 'star': 3}
{'descr': ' 服务好满意', 'star': 3}
