{'descr': '早餐还不错，停车方便', 'star': 5}
{'descr': '都很好，值得再去', 'star': 5}
{'descr': '酒店内部环境还可以', 'star': 4}
{'descr': '在附近学校考试，就在这家酒店开了个房间。房间干净整洁，卫生间还有株养在水里的叶苗，很有爱。网速非常快。早饭只能说管饱吧，不提供中饭和晚饭，外面走10多分钟有个大润发，房间要是有个冰箱就更好了。晚上出门周围有点黑。', 'star': 4}
{'descr': '早餐一般，管饱没有问题。房间窗对面有个什么厂傍晚与早晨有点吵，客房挺干净的，早餐厅工作人员很热情，不断补充食物，价有所值，挺好。', 'star': 5}
{'descr': '酒店还可以，但是卫生工作有待进一步提高，做好夏天的防蚊虫工作....环境还是蛮好的，床很高很舒服，房间蛮大.', 'star': 4}
{'descr': '心情很舒畅！', 'star': 5}
{'descr': '很好，比较舒服', 'star': 5}
{'descr': '地址较为方便，性价比还可以。', 'star': 5}
{'descr': '性价比高', 'star': 4}
{'descr': '房间宽敞明亮，住的很舒服，周围吃喝玩乐便捷?', 'star': 5}
{'descr': '第二次入住了，服务，卫生都不错', 'star': 5}
{'descr': '酒店附近挺偏僻的，交通也不是很方便，房间还可以，该有的都有，只是空调是中央空调，温度风速都没法选择', 'star': 3}
{'descr': '酒店内的设备挺新的，住的很舒服。既卫生又安静，下次还会入住', 'star': 5}
{'descr': '绝对的物超所值。', 'star': 5}
