{'短评内容': '老板亲自接，挺好的', '短评打分': 5}
{'短评内容': '真真的是特别好，人好，房间好，环境好，都好！没有一点儿理由说不好啊～这儿老板一家都是发自内心的对人关心，进出都会打招呼，还跟老板家的大宝贝玩儿了会，太可爱啦～要说需要改进的，唯一一点就是wifi信号有点不给力，时有时无！下次还会再来这里，希望能给点力啦！！', '短评打分': 5}
{'短评内容': '酒店位置离景区不远，离汽车站也不远，老板人也很热心，去车站接还送到景区，走的时候还帮忙买票和送到车站，服务很好。住宿条件还可以，挺干净，也挺安静就是农家自家房子改成的。', '短评打分': 4}
{'短评内容': '老板人很好，值得推荐给大家。', '短评打分': 5}
{'短评内容': '非常棒的老闆一家人，大力推薦。讓人住宿的經驗值是很滿意，下次來玩還會再來住這裡。老闆一家真的是太熱情了', '短评打分': 5}
{'短评内容': '蛮不错的～', '短评打分': 5}
{'短评内容': '店家 姐姐很热情！人超好的，下次一定推荐朋友去，嘿嘿~', '短评打分': 5}
{'短评内容': '  环境还可以。值这个价位。老板人很热情哦。还很热心地帮我们找回程的车票。', '短评打分': 3}
{'短评内容': '老板娘超热情的~安全，干净，有朋友去会推荐的', '短评打分': 5}
{'短评内容': '没有图片上的好 房间里的味道很重 晚上还有蚊子 不过老板还不错 到车站来接我们 晚上有蚊子还给我们送蚊香液了 ', '短评打分': 1}
{'短评内容': '老板很热情，房间很干净，离西塘走路较近，满意', '短评打分': 5}
{'短评内容': '酒店很干净 房间蛮大，老板人很热情，开车去接的我们，下次去的话还住这家，就是希望能给便宜点！', '短评打分': 5}
{'短评内容': '旅馆老板人特别好，房子挺大也很干净，很不错的选择，下次过去的话还继续定，就是希望老板能给我们一些优惠哈', '短评打分': 5}
{'短评内容': '旅店挺干净，服务还不错', '短评打分': 3}
{'短评内容': '屋子不错！很大。老板人也很好的！帮我们买了回去的车票。就是节假日房子太紧张了，有点贵。', '短评打分': 3}
