{'短评内容': '酒店位置在一个小路上，房间比较安静，有提供早饭。', '短评打分': 4}
{'短评内容': '酒店在一个小路里面，入住的时候周围还在装修比较乱，房间还可以比较新，有早饭，但是是另外的饭店合作的。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '门前装修像个工地场，入住那天电梯也坏了，拿着行李要走6楼，而且楼梯和装修地方相通、工人就在那里，非常混乱和不安全。这种状况下酒店预定时没有任何提示实在不应该', '短评打分': 1}
{'短评内容': '朋友一起来玩酒店还不错', '短评打分': 5}
{'短评内容': '蛮干净的', '短评打分': 5}
{'短评内容': '比比画画就斤斤计较静姐', '短评打分': 5}
{'短评内容': '这是我住过汉庭，最差的一次，晚上空调外机翁嗡嗡的，还有一种应该是楼顶的机器也是嗡嗡的，害我晚上没睡好', '短评打分': 4}
{'短评内容': '很差劲。。。', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '对本次酒店很满意。因为酒店的交通方便,环境优雅,价格优惠,干净卫生，条件舒适,档次较高,房间宽敞,出行方便。下次还会选择。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '价格偏高', '短评打分': 2}
{'短评内容': '看看咯', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '这酒店交通放便，服务态度好设备比较新', '短评打分': 3}
{'短评内容': '去出差办事，没有早饭，比较干净，还是不错的，宁波消费偏高', '短评打分': 4}
{'短评内容': '太简单的酒店了，只能当成小旅馆住了，没有别的可圈可点之处！房间设备更是无语！', '短评打分': 1}
{'短评内容': '酒店整体感觉不错.\n本来定了2间特价房,但只剩1间了，另1间免费升级成大房了.但进房间看了以后，升级后的大房间还不如另一个小房间呢,窗户很小，还不通风.\n其他方面还好。', '短评打分': 5}
{'短评内容': '挺好的。安静。干净。可以在入住。但是就是位置有点不好找', '短评打分': 5}
{'短评内容': '非常干净  也很舒适   服务很周到  地段很方便', '短评打分': 5}
{'短评内容': '还可以已经住了几次了感觉都不错。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '谢谢你们对我们崇高的服务，谢谢你们辛苦了', '短评打分': 3}
{'短评内容': '干净安全。但是不知道为什么门口总是有某宣传卡，还有如果公司报销有150限额的最后别去的好。。', '短评打分': 5}
{'短评内容': '位置较佳，房间尚可，汉庭一如既往的细心体贴', '短评打分': 5}
{'短评内容': '还可以, 墙上有污渍,还比较安静, 位置也比较方便', '短评打分': 5}
{'短评内容': '服务不咋滴，房间还算干净，北面比较安静，南面挺吵的', '短评打分': 1}
{'短评内容': '一般性。。。朝南的房间有点吵，朝北的还行。。。', '短评打分': 1}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '很方便。很方便。非得20个字啊！！！！！！！！！！', '短评打分': 5}
{'短评内容': '这个汉庭是我见过服务最好的一个···特别是前台的小姑娘们 真的叫一个热情啊··让人一进门心里就产生出一种宾至如归的感觉··呵呵 挺好的。下次来宁波 还要住这类···', '短评打分': 5}
{'短评内容': '墙壁很脏，而且油腻腻的。卫生间设施陈旧，且有损环，非常不方便。', '短评打分': 1}
{'短评内容': '＋一开始找酒店还有点困难，不过入住后感觉还可以，较为市中心', '短评打分': 3}
{'短评内容': '电视机非常的不给力。遥控很不灵。墙面有渗水。洗澡调水温至少需要调10分钟以后。。。 唯一值得肯定的是服务员态度还不错，不推荐', '短评打分': 1}
{'短评内容': '没有地方吃饭。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '满干净 隔音不是很好', '短评打分': 3}
{'短评内容': '住的是百元房，超值了。交通也便利，电梯需要有房卡才能按键上楼。感觉比价安全', '短评打分': 5}
{'短评内容': '在浅水湾按摩中心旁边，很新，干净，因为附近时小区，晚上很安静。', '短评打分': 5}
{'短评内容': '干净，房间挺大，服务态度好，离火车站很近，也挺安静的，推荐给大家', '短评打分': 5}
{'短评内容': '特价房不错', '短评打分': 3}
{'短评内容': '百元房很划算.................................................', '短评打分': 5}
{'短评内容': '位置很好，离高速入口近。不靠路边，环境不错', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，空间很大，也干净，只是不大通风，有点憋闷', '短评打分': 5}
{'短评内容': '不在路边，所以比较安静～ 但是不太好找。。。。路口的牌子比较小。。。', '短评打分': 5}
{'短评内容': '价格小贵，但是房间很小。卫生不好。地面有点脏。床倒是挺大。', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间不错，服务也不错，交通方便，性价比不错', '短评打分': 5}
{'短评内容': '环境不错，很干净，也很安静，服务员态度非常好。两次落下了东西，都找回来了', '短评打分': 5}
{'短评内容': '汉庭还不错，虽然标间感觉有点小，但看起来很干净…也没七天那么小气…', '短评打分': 3}
{'短评内容': '还行，早餐不在店里，要并行200米左右，不过15元的早餐非常丰富，比其他汉廷自己的早餐好。', '短评打分': 5}
{'短评内容': '很好，很干净', '短评打分': 3}
{'短评内容': '还不错。有吹风机，这个配置在同级别别的快捷酒店没见过。大厅有点简陋。房间结构有点局促，卫生不错。', '短评打分': 3}
{'短评内容': 'good location & service.....', '短评打分': 5}
{'短评内容': '房间很干净，环境也不错，感觉比较舒服的一家酒店。', '短评打分': 5}
{'短评内容': '安静，整洁，很满意！ 就是近来停车位紧张，很难停车。', '短评打分': 5}
{'短评内容': '安静，最满意的安静，住过的比较安静的典范了！！~~~~~', '短评打分': 5}
{'短评内容': '这家酒店不错，虽然标间有点小，但房间很干净，好像是刚刚装修不久，装修比较简洁，酒店离公路有点距离，但不远，很安静，也很安全，如果下次再去的话，我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间很小,本来定了多天,但是据住的人说很小,干净还行,就改了.', '短评打分': 5}
{'短评内容': '房间就像所有汉庭一样紧凑，干净，最大的优点是晚上十分安静！', '短评打分': 5}
{'短评内容': '房间比较小，设施比较干净，周边可以选择吃的不多。', '短评打分': 3}
{'短评内容': '环境不错，挺干净的，服务人员态度也很好，隔音效果也不错，睡觉睡得很踏实。', '短评打分': 5}
{'短评内容': '这的环境很好，很安静，卫生也不错，设施也完善，挺适合出差人士入住的。', '短评打分': 5}
{'短评内容': '酒店很不错，服务卫生做得很到位，设施也不错，住的挺舒适的。', '短评打分': 5}
{'短评内容': '卫生方面很好，房间收拾的挺利索，卫生间没什么异味，这点挺好的。', '短评打分': 5}
{'短评内容': '位置不错，有停车位，卫生好，就是网速太慢。推荐入住！', '短评打分': 5}
{'短评内容': '酒店位于一个小区里，环境很安静，服务上很好，见面主动问好，感觉很亲切，房间里也干净整洁，住的很舒适。', '短评打分': 5}
{'短评内容': '总体环境来说都不错，离办事处也近，但空调有霉味，网速也太慢了。', '短评打分': 1}
{'短评内容': '酒店环境一般般，主要没有餐厅吃饭不方便，位置还行，房间卫生设施都还不错，价格还算是比较适中。', '短评打分': 1}
{'短评内容': '条件还可以的酒店条件还可以的酒店条件还可以的酒店条件还可以的酒店', '短评打分': 5}
{'短评内容': '位置好方便出行,其它各方面条件也很好,硬件和软件条件都很到位.', '短评打分': 5}
{'短评内容': '性价比不错的酒店，房间很干净，硬件设施齐全，服务周到热情，下次还会住的。', '短评打分': 5}
{'短评内容': '设施有陈旧而且比较简单.位置还行不过不太好找.其它各方面条件还行.不过总得来说还不错.', '短评打分': 5}
{'短评内容': '停车位充足，这是最让我满意的地方。', '短评打分': 5}
{'短评内容': '电视遥控不太好，晚上有点吵，新开店气味还未消除。其他还不错，不过早餐还是差了点。', '短评打分': 5}
