{'短评内容': '还不错就是人少了点，还挺', '短评打分': 5}
{'短评内容': '酒店还好，就是位置有点偏。', '短评打分': 4}
{'短评内容': '非常不满意', '短评打分': 1}
{'短评内容': '不知道怎么样，因为没住，又不能退房，唉', '短评打分': 3}
{'短评内容': '交通便利', '短评打分': 3}
{'短评内容': '周边环境太差，不过房间够大，出差住下还好', '短评打分': 4}
{'短评内容': '性价比较高，也就出差住，位置太偏', '短评打分': 4}
{'短评内容': '一楼在装修，感觉很乱，房间一股消毒水的味道', '短评打分': 4}
{'短评内容': '离比赛地点近', '短评打分': 3}
{'短评内容': '这个酒店在照片上看起来不错，里面一塌糊涂的，真是没想法，随便住住算了。', '短评打分': 4}
{'短评内容': '酒店环境还可以，就是比较偏，有点难找。房间是还不错，要是有个吹风机，电脑可以上网就好。', '短评打分': 3}
{'短评内容': '价格适中      有点偏     还不错', '短评打分': 5}
{'短评内容': ' 太远了不好找', '短评打分': 3}
{'短评内容': '酒店不错,设施较新,也很清静,环境不错。', '短评打分': 3}
{'短评内容': '强烈不推荐！\n1、四楼是什么公司的员工宿舍！\n2、主楼副楼楼道要通过三楼才能通过！\n3、酒店位置在很偏很偏的地方，离古墩路要4公里！\n4、早餐除了鸡蛋没有什么可以吃的！\n.......', '短评打分': 1}
{'短评内容': '一般吧 比较偏 房间也比较老了 设施也不好 房间放水时间太长', '短评打分': 1}
{'短评内容': '房间是不错啊，公司步行5分钟中午可以回去休息，网速有待大力提高，', '短评打分': 5}
{'短评内容': '很好，就是离市区太远。', '短评打分': 3}
{'短评内容': '酒店整体感觉还算可以，就是距离市区远点，周围没有什么购物餐饮！要是平时价位再低点的话就好了。', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '我是第二次入住这家宾馆，看上它主要是出差的地方就在宾馆对面，因为这一块打不到出租车，所以还是住在这里方便些。我看到遇到的列举下：\n1、非常偏；\n2、我预定的大床房，给我的是双人床；\n3、入住后空调响的不能入睡；\n4、防盗锁是断的，没修理；\n5、如果让服务员送饮料，还必须你单独付现金，不能签字充房卡，不方便；\n6、尽然宾馆不让客户用餐，理由是我们宾馆只支持团体订餐，周围都是小店，卫生条件都不行。但只', '短评打分': 1}
{'短评内容': '酒店内部设施不错，比较新，缺点是周边环境不好，是在科技园区里面，距离市区较远，不过贵在安静。', '短评打分': 5}
{'短评内容': '酒店外周环境空气还不错，室内也干净宽敞。性价比较高。只是吃饭得要先预订，交通不是很便利。', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '环境不错，很安静，地理位置有点偏，早餐还算丰富，可以再加一些品种', '短评打分': 5}
{'短评内容': '房间的设施比较新，而且配置也挺齐备的，感觉舒适度很好，印象不错.', '短评打分': 5}
{'短评内容': '酒店安静且舒适，隔音做得很好，晚上休息比较踏实一些.', '短评打分': 5}
{'短评内容': '酒店位置有点偏，距离风景区有点远，不过出行还算便利，环境比较好.', '短评打分': 5}
{'短评内容': '房间简单大方，服务人员热情周到，对人对事都挺大方的.给我感觉很好.', '短评打分': 5}
