{'短评内容': '还可以，这价位属于中等吧', '短评打分': 4}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '环境非常棒！', '短评打分': 5}
{'短评内容': '位置不错，若不介意设施有些陈旧的话，性价比还可以。', '短评打分': 4}
{'短评内容': '便宜便宜卫生有待提高', '短评打分': 5}
{'短评内容': '感觉还可以，非常安静…大床非常大…初步估摸有2.4左右', '短评打分': 4}
{'短评内容': '还不错啊', '短评打分': 4}
{'短评内容': '跟着导航去了，晚上一看黑呼呼的道，就有点失望，但找到具体酒店以后，豁然开朗，拐进去一个大院子，停车都很方便，感觉很安全，反正整体不错，价格也便宜', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '..............一般', '短评打分': 3}
{'短评内容': '总的来说还不错呀', '短评打分': 4}
{'短评内容': '挺好的，性价比高。。。。。。', '短评打分': 3}
{'短评内容': '房间干净整洁，通风很好，送的早餐很丰富，全中餐，煮鸡蛋等等，口味整体较清淡，停车场很大....', '短评打分': 3}
{'短评内容': '设施齐全不粗不错', '短评打分': 5}
{'短评内容': '设施个地点都不错      以后黄岛旅游还得来这边', '短评打分': 5}
{'短评内容': '酒店挺不错的，服务也好，房间大，也很干净，交通也比较方便。比想象中好，这个价位很值，推荐', '短评打分': 5}
{'短评内容': '房间比较大，各项设施都很完善，服务业不错的\n交通业方便', '短评打分': 5}
{'短评内容': '房间很不错，最要做的就是服务，服务比什么都重要，', '短评打分': 5}
{'短评内容': '商务套房还可以，就是卫生间门把手坏了，宾客意见的夹子里面的纸张发霉，感觉有些不妥，总体来说还不错，下次去胶南还会选择入住此酒店', '短评打分': 5}
{'短评内容': '我不知道房间的墙壁为什么会发霉，这样看起来第一印象很不好！房间没有吹风机，没有驱蚊片。去前台问过也说没有！房间内的大床竟然是两张床拼在一起的，晚上睡觉会感觉那里有道坑，挺不舒服的。不过150的价格已经相对来说还比较能接受。建议可以弄一些情侣套房，里面放上圆床，我想那样会更好一些吧！', '短评打分': 5}
