{'短评内容': '交通方便，值这个价', '短评打分': 4}
{'短评内容': '极不满意的一次住宿。极不厚道的宾馆。\n一、我们定的是三人标准间，带一小孩。说孩子的身高要收加床费了。还拉着孩子自己去量了下，说是141了。我们大人根本没去，也不和我们说，就轻描淡写的说了句141了。我们还以为是120以上的就要加收了，就认了。后来才知道是140以上的才收（宾馆方面的规定是140以上的要加床费）。我以人格保证孩子真没到140。但就这样，6个晚上收加了480元的加床费。你们这样做太不厚', '短评打分': 1}
{'短评内容': '很一般，空调居然有冰楼下来，太让人受不了~~~以后绝对不会去住，前台服务态度也很一般，房间小物品老旧~', '短评打分': 1}
{'短评内容': '已经入住过两次，都很满意，环境和交通都很好', '短评打分': 5}
{'短评内容': '因为是给孩子顶的房，提前为了解好.到店后改了套房.不过孩子们说条件好.只是有些小贵', '短评打分': 5}
{'短评内容': '交通很便利.外观虽然有些旧.住的还不错.在北京王府井附近，暑期房，性价比较好', '短评打分': 5}
{'短评内容': '1，有点唯利是图的感觉，因飞机晚点，通知4点后会取消预订，只能信用卡担保付一天房费要求保留，结果到店还是弄了个临时加床⋯类似通铺的房间，直接说只能选择住，否则房费照扣!\n2，只接受现金，无法刷卡。\n作为旅行位置尚可，但希望加强服务意识!\n', '短评打分': 1}
{'短评内容': ' 订房时不知道没有卫生间，不提供洗漱用品，是否需要提前说明？', '短评打分': 3}
{'短评内容': '房间比较干净，服务员也热情，只是房间里只有一个电源插头，看电视就没有办法给手机充电', '短评打分': 3}
{'短评内容': '刚到东四福苑在隆福大厦后服务态度不错在这个位置已经很不错了周围小吃也多下次过来还住这里', '短评打分': 3}
{'短评内容': '就地理位置来说，酒店性价比比较高，宾馆服务人员态度很好，酒店不能刷卡，只能用现金结账。整体感觉不错。', '短评打分': 5}
{'短评内容': '这家宾馆最大的缺点就是不能刷卡，不过服务很好。门口的早市很方便，值得推荐\n ', '短评打分': 5}
{'短评内容': '还不错的酒店就是房间有点小而且没电梯，最好能再改进一下', '短评打分': 3}
{'短评内容': '酒店位置很好，出门不远就是地铁五号的“东四”站，酒店身处的位置有小吃店、电影院和超市，超方便，早上还有早市。最重要的是工作人员态度超好，很亲切，会耐心回答你的问题，我当时没订上标间，所以住的是普通两人间，但是公用的洗手间和浴室很干净，证明工作人员打扫的很及时。下次去北京还会住这里的！', '短评打分': 5}
{'短评内容': '总的来说有好不好之处。优点有：1.位置不错，近地铁口，周围吃也方面，有李先生，有各种吃面的店，还有龙福寺小吃等。2.有小院可以晒衣服也不错。3.酒店也有餐厅，游玩回来吃也方便，也不是很贵。不足：1.吃住的质量一般，因为房间比较简陋，连镜子都没有，我住在一楼，说是有宽带的，但手机收不到wifai,要出到餐厅才有信号。而且我住了6天，一共四人，只有一把梳子四人共用，6天都没换。2.还有站在前台接待的人', '短评打分': 5}
{'短评内容': '在这里住了4个晚上是三人标间，住一楼感觉一般窗户很小太暗，服务态度还好！房价在这样的地段不算贵。交通挺方便的地铁东四站下车出来后，会看到隆福寺街的牌坊，顺着一直往前走，会看到右手边的隆福大厦，后面就是宾馆了。下次来最好能住楼上！ \n', '短评打分': 5}
{'短评内容': '一般般，地方不好找', '短评打分': 3}
{'短评内容': '房间很小，所谓的标准三人间就是一个标准两人间加一阳台，阳台上放了一张床。卫生间小的两个人都转不开，淋浴的喷头还是坏的。出门在外一定要住连锁酒店。服务不错，免费的早餐难以下咽，凉菜中还时不时有蛾子的尸体。', '短评打分': 3}
{'短评内容': '在这里住了5个晚上，感觉真不错，干净、卫生，尤其值得一提的是服务态度真的好！房价在这样的地段真的不算贵。找起来也很容易，地铁东四站下车出来后，会看到隆福寺街的牌坊，顺着一直往前走，会看到右手边的隆福大厦，后面就是宾馆了。下次来玩还会住这里！', '短评打分': 5}
{'短评内容': '干净、安静、出行便利', '短评打分': 3}
{'短评内容': '酒店虽然有点旧，但地理位置较好，比较安静，出行方便，服务员服务态度好。', '短评打分': 5}
{'短评内容': '还可以吧，毕竟在北京的房价那么贵，卫生一般', '短评打分': 5}
{'短评内容': '住小标间5天，感觉不错。就是刚开始比较难找，其实只要说在人民出版社路直进，数码视听广场正后面的位置就很容易找到。酒店干净，交通方便，闹中取静，有机会会推荐朋友来住的。', '短评打分': 5}
{'短评内容': '非常干净，服务员态度都很好，前厅还备有凉茶和电脑上网，自助早餐还可以，以后来北京就这家了', '短评打分': 5}
{'短评内容': '虽然在隆福寺巷子里，但是还是蛮方便的，干净整洁', '短评打分': 5}
{'短评内容': '干净、整洁.虽处在闹市，但能闹中取静。周围还有两个电影院供晚上消磨时间。', '短评打分': 5}
{'短评内容': '宾馆比较旧了，设施一般。不过服务态度不错，只住了一天，而且到宾馆也是晚上了，对于其他方面也就不评论了。', '短评打分': 3}
{'短评内容': '很不好找。\n酒店连POS机都没有。\n不过服务态度很好，网速也快。', '短评打分': 1}
{'短评内容': '   很不错的宾馆，蛮干净的，我住的是三人标间蛮大的，早餐也不错，交通很方便，服务员很客气。入住6天，很开心。谢谢！', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '价格合理服务周到', '短评打分': 3}
{'短评内容': '酒店很近故宫，离地铁也近，离王府井也很近，交通便利，房间也很干净，只是有一点不好，中午12点退房时想多休息1-2小时，但是无钟点房服务，只能多付半天的房价了。总体很好，值得推荐。', '短评打分': 5}
{'短评内容': '虽然地方不大，但很干净卫生。环境不错啊。交通也很方便，下次去北京的话一定再入住。', '短评打分': 5}
{'短评内容': '宾馆在中国美术馆北104公交站边弄堂里,交通方便.服务周到.大堂内备有绿茶.白菊花茶和一次性杯.好', '短评打分': 5}
{'短评内容': '性价比高的酒店 硬件比较差 在意的朋友不要选择 但干净 服务也不错 人性化 前天还备有清凉茶 预定时要选中间楼层中间位置的房间 楼梯旁的会吵 早餐虽简单但清爽  ', '短评打分': 5}
{'短评内容': '性价比很好 初时觉得硬件不太好 但后来发现服务等做得不错 记得预定的时候要要求房间位置在中间的 不要靠近楼梯 还有大标大床房不太好 酒店前100米有清真餐厅 很方便 早市买水果也很方便', '短评打分': 5}
{'短评内容': '\r\n北京东四福苑宾馆交通便利，出门公交.地铁都很近，房间.服务都不错，价格也还行，推荐入住！', '短评打分': 3}
{'短评内容': '交通特别的便利，无论是公交还是地铁，可谓是闹市中的一片静土，店内干净整洁，服务态度好，价位合适，住的值得。', '短评打分': 3}
{'短评内容': '挺好的和想象中的一样.', '短评打分': 3}
{'短评内容': '地段方便，卫生较好，性价比高。', '短评打分': 3}
{'短评内容': '酒店服务态度好   餐厅做的菜也不错  交通便利  门口有早市很便宜   性价比很高\n下次还会去  ', '短评打分': 5}
{'短评内容': '比自己想象的要好，真心对的起这个价格，以后去玩还会选择这里', '短评打分': 5}
{'短评内容': '价格合适，环境不错，交通方便，比较推荐住', '短评打分': 5}
{'短评内容': '这次住的是小标，比第一次住的两张床不带卫生间的那种要好很多，干净舒适，卧室里还有一盆吊兰', '短评打分': 5}
{'短评内容': '挺好。住了4次了.环境，卫生，服务，地点都不错\n最主要觉得隔音还是可以的，因为是砖体墙。', '短评打分': 5}
{'短评内容': '地理位置还算好，走到王府井大概要10分钟吧\n屋也够大，只是电视有点小，呵呵，卫生挺干净的，空调吹的舒服啊\n总体来说还不错~', '短评打分': 5}
{'短评内容': '＋宾馆挺安静，附近交通也很方便，以后还会再来。', '短评打分': 3}
{'短评内容': '服务很好，宾至如归！', '短评打分': 3}
{'短评内容': '酒店屋子隔音效果不好，墙面发霉（虽然遮住了），屋子设施老化，空调不好用，不过服务态度还行，入住前把相关信息说的明白，同样的价位下不推荐入住次宾馆', '短评打分': 1}
{'短评内容': '不错，环境还可以，卫生也行。住了3次了，小标间有点小，不过也还可以。交通第一次找是费点力，不算难找。公交车去哪都很方便。', '短评打分': 5}
{'短评内容': '虽然装修简单了点，但总体来说还是不错的~', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '我预订是150元一天的房间,但入住的是200元一天的房间,结账金额应为200元（有发票），不知道为何还写着150元。该宾馆还可以，它设有的食堂很不错。', '短评打分': 5}
{'短评内容': '一直住这，哪都近！很好，推荐', '短评打分': 3}
{'短评内容': '可以，对起这个价干净安静还有好多小吃点早市早点很方便。', '短评打分': 5}
{'短评内容': '旅馆干净便利，交通便利，前台人员态度也很好。\n可以免费寄存贵重物品，晚上还有人值班，很让人安心！\n一楼可以无线上网，还有一台台式电脑免费上网，不过速度特别慢~\n另外就是公共卫浴的环境差了点~\n', '短评打分': 5}
{'短评内容': '还不错，就是不好找点，下次去北京还去哪住，经济实惠。', '短评打分': 3}
{'短评内容': '位置很好，价钱便宜适合学生出去玩的，公交地铁都很方便。', '短评打分': 5}
{'短评内容': '房间还算安静，但是特价房没有厕所，床太小，被子也显得不干净。', '短评打分': 1}
{'短评内容': '与其说是宾馆，还不如说是民宿改装的小旅馆。服务态度真的不怎样，网上无担保订单房子是保留到18：00，当天就以房子紧张为由告知我只能留到15：00，没信用可言，除了交通便利点没其它好处了。\nPS：早餐N难吃', '短评打分': 1}
{'短评内容': '入住让人觉得很舒服，真的很不错，推荐……强力推荐，在那个区域性价比很高的一个住处', '短评打分': 5}
{'短评内容': '位置不太好找，但绝对是一个闹中取静的好地方，很适合休闲，服务态度也很好，附近有隆福寺小吃店和中华老字号白家老店，都是一些北京的特色小吃，可以感受一下老北京的口味。普通二人间的不足就是空调的制冷效果不好，夏天入住会稍微有些热，希望酒店能改进。', '短评打分': 5}
{'短评内容': '环境不错，设施也挺好。就是在马路边，有点吵。不过个人睡眠质量较好，没有什么影响。', '短评打分': 3}
{'短评内容': '对的起这价位，要求不能太高。', '短评打分': 3}
{'短评内容': '环境特别好，服务也很周到，很给力，物美价廉，推荐……', '短评打分': 3}
{'短评内容': '老人去北京预订的，反映挺不错，交通方便，环境整洁，下次去还会预订。', '短评打分': 5}
{'短评内容': '酒店位置很好，在东四地铁附近。从地铁出来走的快得话也就3分钟到酒店。位置也很好找，就在隆福寺小吃店向北拐弯就是了。早晨有早市，买什么东西都很方便。房间装修一般，通风效果一般，床铺干净，服务员很热情，给人很温馨的感觉。晚上比较安静，属于性价比很高的酒店。酒店早餐自助，虽然花样不多，但是味道不错。晚餐在餐厅吃了一次，个人感觉餐厅服务态度和炒菜水平实在不敢恭维。建议餐厅的工作人员提高一下工作的责任心，换', '短评打分': 5}
{'短评内容': '态度不错，环境还行', '短评打分': 3}
{'短评内容': '很好，对的起这个价格。还是不错的。下次还会在入住。', '短评打分': 5}
{'短评内容': '位置很好，环境不错，很干净，连住了两天，感觉不错', '短评打分': 5}
{'短评内容': '价格实惠，位置在民航大楼背后，隆福寺旁边，门口早市很热闹，酒店免费早点太一般了 ', '短评打分': 5}
{'短评内容': '地点离东四地铁站很近，公交离故宫只有一两站...然后十分干净，价钱也便宜，好多学生来住，很适合~', '短评打分': 5}
{'短评内容': 'family style', '短评打分': 3}
{'短评内容': '总体说还是不错的。交通很方便。房间不大但是整洁。就是隔音差。虽然没有淋浴可是浴室水很好。下次来还会考虑', '短评打分': 3}
{'短评内容': '非常满意,服务态度好,服务周到,房间干净,交通非常方便,很喜欢这家旅馆!', '短评打分': 5}
{'短评内容': '总体还不错，比较实惠', '短评打分': 3}
{'短评内容': '非常适合经济型家庭举家出游，地段非常好交通便利，房间也很干净，床铺质量有待提高。', '短评打分': 5}
{'短评内容': '酒店好像刚装修过，感觉很温馨，很干净，工作人员服务态度很好，提供的早餐也不错哟！以后去北京还会入住', '短评打分': 3}
{'短评内容': '酒店非常好，交通方便，服务热情，价格合理。', '短评打分': 3}
{'短评内容': '就是隔音差，别的挺好的。', '短评打分': 3}
{'短评内容': '简陋，有点象80年代的国有小旅馆，除了价格可能没有任何优势 。', '短评打分': 1}
{'短评内容': '宾馆的位置离地铁站十分近，就是外墙丑了些，需要装修。小标间十分适合学生住，还有独立卫生间。推荐。', '短评打分': 5}
{'短评内容': '旅馆还算好找 挺干净的  最便宜的房间洗澡不太方便 南方来的朋友需要谨慎选择。总体而言这家旅店还是比较适合学生的。', '短评打分': 5}
