{'短评内容': '挺不错的，酒店很安静 ，装修也对得起这个价位', '短评打分': 5}
{'短评内容': '酒店住宿很满意服务态度好卫生干净', '短评打分': 5}
{'短评内容': '房间大，地点好，卫生干净。', '短评打分': 5}
{'短评内容': '还好，多次入住了，早餐不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错的酒店，多次入住，感觉挺好，服务员热情周到，交通便利，距离高速路口很近，开车尤其方便，停车位充足。有一点不满意是没有纱窗。', '短评打分': 5}
{'短评内容': '很棒，就是光线暗', '短评打分': 5}
{'短评内容': '酒店环境不错，地理位置优越，出门很方便，门口可以停车。设施也比较好，干净整洁。价格比较实惠，比较满意！', '短评打分': 5}
{'短评内容': '总体感觉不错，环境好！', '短评打分': 4}
{'短评内容': '环境、卫生、服务OK~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境、卫生、服务OK~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境、卫生、服务OK~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境、卫生、服务OK~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间很干净，挺大的，就是灯光有点暗', '短评打分': 5}
{'短评内容': '环境优美 服务不错 早餐很好吃 整体感觉很好', '短评打分': 5}
