{'短评内容': '没住', '短评打分': 4}
{'短评内容': '卫生条件好，交通、购物都很方便。', '短评打分': 5}
{'短评内容': '卫生条件好，交通、购物都很方便。', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '位置出行方便', '短评打分': 4}
{'短评内容': '还行………………………………', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '设施齐全，晚上很安静，就是电视节目太少了。', '短评打分': 5}
{'短评内容': '被子有点薄，还不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境挺好的，每次出差都会住这里', '短评打分': 5}
{'短评内容': '很好。。。。', '短评打分': 5}
{'短评内容': '住宿环境非常好', '短评打分': 5}
{'短评内容': '一切都好', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
