{'短评内容': '环境可以，就是临街，稍微有点吵', '短评打分': 5}
{'短评内容': '房间价格还算划算，只是卫生间打扫的就太一般了，很厚的一层灰', '短评打分': 3}
{'短评内容': '此次出行正值旅游旺季，顺利入住酒店，第一天没有大床房，帮我们换了个套房和标间，第二天搬回大床房，洗手间环境比较差，大堂房经理（我们称他为标哥）说是换房间结果连个被套到最后两天才提供，特别说明下有个大堂接待朱小姐，服务热情态度诚恳，点一百个赞', '短评打分': 5}
{'短评内容': '非常不错！前台人员服务也很好，耐心介绍', '短评打分': 5}
{'短评内容': '就在告庄的主道上，位置很容易找到，离大金塔稍微远了点，不过晚上还是比较安静，睡觉很舒服，店家都很热情，包含的早餐味道不错。', '短评打分': 5}
{'短评内容': '我是提前过来过节的，但是没想到人也特别的多，不过还好，客栈并没有因为人多就降低服务质量，依然的细心周到，在图片上就很喜欢客栈的装修风格以及精油的环境，也的确让我满意，和图片上的一模一样，而且为我预留的房间我也非常的满意干净卫生整洁，设施也很齐全，有独立的卫浴，非常的方便，值这个价', '短评打分': 5}
{'短评内容': '环境特别的满意，第一次住这么清幽的客栈，挺有当地的风格的，服务态度很不错很亲切，为我预留的房间很不错在三楼，视野挺开阔的，设施也齐全，挺对的起这个价格的', '短评打分': 5}
{'短评内容': '地理位置很好，出游非常的方便，服务态度很好，卫生搞得不错，床单被罩那些都非常的干净舒适柔软，设施比较齐全，空调随便用，可以效果还不错，晚上睡觉很安静，从刚才说这家店还算比较不错了，分享给大家', '短评打分': 5}
{'短评内容': '客栈位置特别的好找，就在路边，尤其是晚上，在昏黄的路灯下，特别的漂亮，装修也非常的有当地的特色。非常的喜欢这样的装修风格有独立的卫浴配置，也有空调Wi-Fi ,我住的房间还有阳台在三楼，是也特别的开阔，顺便提一句好客栈还能提供停车服务，如果自驾过来的朋友停车非常的方便', '短评打分': 5}
{'短评内容': '很好找，房间很大，卫生就一般，设施也陈旧', '短评打分': 4}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '环境，卫生都不错，下次还是这里', '短评打分': 3}
{'短评内容': '极具南国风情，小妹态度非常好，很热情！下次还在艺龙上选房！', '短评打分': 3}
{'短评内容': '绝对推荐，性价比极高，免费接机，早餐免费，粉的浇头特别香好吃，地方环境也不错，对于这个价位没什么缺点', '短评打分': 3}
