{'短评内容': '.............', '短评打分': 5}
{'短评内容': '干净，安静，住得很舒服', '短评打分': 5}
{'短评内容': '好好好，一直在住的一家好酒店，老外同事出差就会订这家，各种便利，老外同事也说住习惯了，所以下次还会再来的哦，哈哈。服务交通也是超级NICE,哈哈。', '短评打分': 5}
{'短评内容': '挺好的，看到有小孩还特意送小朋友拖鞋牙刷到房间', '短评打分': 5}
{'短评内容': '还不错了，房间有点窄', '短评打分': 4}
{'短评内容': '中规中矩的商务酒店，早餐时无人引领，咖啡都得自己倒，中餐区的面线糊很美味!洗漱备品品质略差，尤其牙膏，不知道什么牌子。', '短评打分': 5}
{'短评内容': '环境不错(๑˙ー˙๑)', '短评打分': 5}
{'短评内容': '相对于其他专业订房网站，京东的优惠力度还是可以的', '短评打分': 5}
{'短评内容': '第一次在京东订酒店，还不错，响应很快', '短评打分': 5}
{'短评内容': '酒店不错，不豪华，但住得很舒服，满意', '短评打分': 5}
{'短评内容': '.............', '短评打分': 5}
{'短评内容': '很不错！喜欢你！', '短评打分': 5}
{'短评内容': '...............', '短评打分': 5}
{'短评内容': '....................', '短评打分': 5}
{'短评内容': '酒店设施偏旧了，地毯该换了。早餐还不错！', '短评打分': 4}
{'短评内容': '..............', '短评打分': 5}
{'短评内容': '房间非常小，但足够用。悦华品牌可以信赖。推荐二楼日本料理，早餐一般，跟服务员要咖啡，居然没给我现磨的，服务有待改进。', '短评打分': 5}
{'短评内容': '老五星酒店，交通方便', '短评打分': 5}
{'短评内容': '好好的', '短评打分': 5}
{'短评内容': '酒店员工非常友善，尤其房间管家会细心留意你的习惯，比如我习惯用纸巾包着电视遥控器，管家美女留言到了第二天回到房间就发现遥控用保鲜膜包住了，很窝心，以后还会入住。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '出门一般都选择悦华，无论是酒店的味道，还是电梯，服务都非常不错，房间也很舒适，非常成熟的酒店，唯一不好的就是没有地下停车场，停车位太少了，在门口等了很久才等到位置。', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '酒店是好 價錢偏高', '短评打分': 5}
{'短评内容': '在泉州市中心，地点便利。房间不新，但是很温馨舒适。', '短评打分': 5}
{'短评内容': '服务态度绝对超赞，不管是前台还是客房清理人员，脸上的微笑就会给人莫名的好感！再有就是酒店的免费自助早餐非常丰盛', '短评打分': 5}
{'短评内容': '泉州最好的酒店，接待的服务不错，房间旧了点！', '短评打分': 5}
{'短评内容': '酒店服务不错，就是房间又点小。', '短评打分': 3}
{'短评内容': '酒店及周边环境都很好，服务周到，每次到泉州都住这里。他们的自助早餐比较丰富，现在还有无线网络。', '短评打分': 5}
{'短评内容': '装修有点旧了，还是帮我升级到26楼的行政楼层的，浴室的吊灯绳上有很多灰尘，看上去很久没擦了，跟厦门悦华比起来简直天差地别。', '短评打分': 1}
{'短评内容': ' 房间太小,太不值', '短评打分': 3}
{'短评内容': '房间宽带上不了 跟客服反映 也没有帮忙处理  起点七点四十五分 装修工人准时来叫床', '短评打分': 1}
{'短评内容': '酒店很棒，位置好，环境更好，价格还算合理，这样的酒店，值得的~~', '短评打分': 5}
{'短评内容': '酒店很棒，位置好，环境更好，价格还算合理，这样的酒店，值得的~', '短评打分': 5}
{'短评内容': '位置不错，房间设施也不错，早餐非常丰富，服务员很热情，就是电梯不太好，每次都要等好久，下次去泉州也还会入住。', '短评打分': 5}
{'短评内容': '房间总的不错，服务也还不错，早餐很丰盛！', '短评打分': 5}
{'短评内容': '很贴心的宾馆，还会有服务生留的小便条，老外都住的很开心', '短评打分': 5}
{'短评内容': '很舒服，很大，很干净的宾馆，每次去泉州都住这边', '短评打分': 5}
{'短评内容': '对于泉州来说，是一家非常不错的酒店。房间很好，服务员态度也很好。', '短评打分': 5}
{'短评内容': '已是第三次入住了，餐厅只会煮一道菜叫“没有”。真牛！与五星不匹配。', '短评打分': 1}
{'短评内容': '点空心菜竟然没有！9楼隔音差，7楼就好多了。', '短评打分': 5}
{'短评内容': '＋房间还可以，交通方便，在泉州应该是最好的了！', '短评打分': 3}
{'短评内容': '酒店房间和早餐都不错，比较安静，服务也可以。', '短评打分': 5}
{'短评内容': '环境不错还会来住', '短评打分': 3}
{'短评内容': '外宾入住的。对客房及早餐挺满意。下次还会入住。', '短评打分': 5}
{'短评内容': '酒店客房环境及早餐都不错。外宾客人挺满意。', '短评打分': 5}
{'短评内容': '此酒店是外宾入住的。评论酒店客房很豪华。早餐还可以。', '短评打分': 5}
{'短评内容': '…不错…环境好', '短评打分': 3}
{'短评内容': '挺不错的，客人很满意', '短评打分': 3}
{'短评内容': '客服还可以。服务人员态度也好。但早餐品种质量偏差。', '短评打分': 5}
{'短评内容': '设施先进，服务一流，特别是早餐相当丰盛。', '短评打分': 5}
