{'短评内容': '非常的喜欢', '短评打分': 5}
{'短评内容': '酒店地理位置很好，就在万达广场旁，过个就到！门口就有公交站。而且房间的设施还不错。很方便。旁边有餐厅是酒店一起的。', '短评打分': 5}
{'短评内容': '交通便利，购物方便', '短评打分': 4}
{'短评内容': '酒店设施虽有点陈旧，但房间干净，服务好，早餐菜色丰富，价格也合适，交通便利，来丹东旅游和出差的朋友可选择', '短评打分': 4}
{'短评内容': '酒店位置便利，附近有万达广场及菜市场，购买特产，逛街购物极其很方便，酒店虽然在路边，但晚上睡觉很安静', '短评打分': 4}
{'短评内容': '卫生条件还不错，但隔音很差，隔壁看电视的声音全能听到', '短评打分': 3}
{'短评内容': '性价比较高.', '短评打分': 5}
{'短评内容': '总之就是一般吧。', '短评打分': 3}
{'短评内容': '交通，环境，卫生都不错', '短评打分': 5}
{'短评内容': '环境不错，周边有万达广场', '短评打分': 5}
{'短评内容': '基本上周末都有结婚的在那摆酒，放炮有点吵。', '短评打分': 5}
{'短评内容': '环境不错，离丹东万达非常近，门口有停车位，不错', '短评打分': 5}
{'短评内容': '不错。酒店服务人员都很热情。地点非常的好。唯一美中不足的就是洗手间的设施差了一点。', '短评打分': 5}
{'短评内容': '很不错，早餐很好，干净，比快捷酒店好些', '短评打分': 5}
{'短评内容': '挺干净，比快捷酒店档次高些，物有所值，会再来', '短评打分': 5}
{'短评内容': '前台服务很好，网速慢', '短评打分': 3}
{'短评内容': ' 设施较陈旧', '短评打分': 3}
{'短评内容': '环境优雅，服务周到。', '短评打分': 3}
{'短评内容': ' 还不错，符合三星标准，就是住店停车收费太坑爹了！', '短评打分': 3}
{'短评内容': '很好~住的很舒服，无噪音，服务好!早餐也丰盛，就是洗澡的时候热水一会很热一会温热，不稳定!但总体很满意，下次还会住!', '短评打分': 3}
