{'短评内容': '服务好，环境优', '短评打分': 5}
{'短评内容': '干净卫生，好', '短评打分': 5}
{'短评内容': '卫生条件还可以 ，附近吃东西的也多。', '短评打分': 5}
{'短评内容': '位置不错，吃饭方便，服务热情，有专门停车场不过太小。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境好，干净，位置也好找，非常满意', '短评打分': 5}
{'短评内容': '非常非常不错！', '短评打分': 5}
{'短评内容': '还不错，房间干净，服务态度好', '短评打分': 4}
{'短评内容': '比较偏，交通不太方便，房间设施新', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '干净卫生，价格适中。', '短评打分': 3}
{'短评内容': '从兴义东下道很快就找到了。去万峰林，马岭河峡谷都很方便，周边吃饭也很方便，对面有家土特产店。房间设施稍显陈旧。', '短评打分': 5}
