{'短评内容': '两次都是这儿。其实挺不错的。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '条件是真的差 又小又简陋 重点是吵的让人根本没法睡 外面的车吵死了不说 隔壁敲门都像敲自己的 第一次体验这么差的酒店', '短评打分': 2}
{'短评内容': '都适合', '短评打分': 5}
{'短评内容': '性价比高，不错', '短评打分': 5}
{'短评内容': '地方一般，携程价格完全骗人的', '短评打分': 2}
{'短评内容': '说实在话，早餐真心差，酒店也真心差！好吵！', '短评打分': 3}
{'短评内容': '还行，离车站旁边', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '性价比可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '一般，出差将就住一晚', '短评打分': 4}
{'短评内容': '还行，中式风格的，前台服务也好', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '服务态度很好 很有礼貌   就是电脑完全不能用    无线网倒是很快的', '短评打分': 5}
{'短评内容': '房间非常的小，隔音也相当差，旁边一个房间开个水都声音很响，实在受不了。唯一的有点就是离高客站很近', '短评打分': 1}
{'短评内容': '总体还行，服务员专业素养不够高', '短评打分': 3}
{'短评内容': '性价比还行，是普通商务或旅游人士不错的选择。', '短评打分': 5}
{'短评内容': '哎呀。。地板都坏了。。不安逸。~~而且有点点感觉不干净~~~', '短评打分': 1}
{'短评内容': '春节在网上预订的，到酒店还是这个价格，没有涨价。很高兴。居然还含早。更是惊喜。在四楼，还比较安静。只是厕纸，是稍微差了点。哈哈哈哈。希望多多改进。', '短评打分': 5}
{'短评内容': '总体还可以。靠路边有点吵。厕纸有点差', '短评打分': 3}
{'短评内容': '还不错…很干净很敞亮…缺点么就是没有电梯啊…', '短评打分': 3}
{'短评内容': '很好，很方便。谢谢！', '短评打分': 3}
{'短评内容': '还算不错，就是地面有点不好。还有就是楼层高，没电梯！！', '短评打分': 5}
{'短评内容': '在这个价位里酒店还可以，早上早餐还可以，家庭式的。就是晚上有点吵，临近五粮液大道，半夜有大车，还有闲人', '短评打分': 5}
{'短评内容': '总的来说还可以，但是酒店没电梯。不是很方便', '短评打分': 5}
{'短评内容': '新装修的，条件还是不错。位置不错。没有电梯，提个箱子上楼很累。', '短评打分': 5}
{'短评内容': '网站挂出来的房间跟到酒店房间不一样，酒店增加设施却没通知网站，结果客人去了酒店，酒店就给出跟网上不一样的房间，可价格却不调整！酒店态度不是很好！', '短评打分': 1}
{'短评内容': '还可以，比较干净，   但 隔 音效 果 不 好 ', '短评打分': 3}
{'短评内容': '将就住住,同等价位还能找到更好的。', '短评打分': 3}
{'短评内容': '还不错，位置环境还行，有免费早餐。房间舒适度不错。唯一缺点没电梯', '短评打分': 3}
{'短评内容': '一般就可以了', '短评打分': 5}
{'短评内容': '酒店一般,凑合吧', '短评打分': 3}
{'短评内容': '该店还可以,一般化', '短评打分': 1}
{'短评内容': '酒店的性价比还是很不错的，各个方面环境也比较达标。', '短评打分': 5}
{'短评内容': '对这家酒店环境还是挺满意的，包括卫生间和卧室配置都很好。', '短评打分': 5}
{'短评内容': '干净、舒适，性价比超好!', '短评打分': 5}
{'短评内容': '酒店的房间通风采光都很不错。配置硬件也比较一般。', '短评打分': 5}
{'短评内容': '酒店的浴室和卫生间使用透明的玻璃隔开的，感觉还是挺不错的。', '短评打分': 5}
{'短评内容': '服务效率很高，卫生也很好，干净舒适的酒店。', '短评打分': 5}
