{'descr': '无早餐 不能加床 酒店在交通要道沿街 路边可交费停车 价格便宜合理 进出有安全刷卡门 旁边有成都小吃 老北京小吃 夏天晚上有铁板烧', 'star': 5}
{'descr': '不能加床，没有停车场', 'star': 4}
{'descr': '还不错挺好的', 'star': 5}
{'descr': '去北交大面试住了两晚。宾馆服务不好，前台很冷漠，房间也不给一次性拖鞋。wifi还好，网速也可以，房间勉强可以接受，就是标间窗也就1米宽的。', 'star': 3}
{'descr': '设施比较陈旧，一般般，房间味道大，特别不满意的是淋浴是个固定的，洗个澡都麻烦。', 'star': 4}
{'descr': '冷，还是冷，条件差！！！！麻蛋的', 'star': 5}
{'descr': '去铁科院开会经常住这里，设施一般，主要是位置好，便宜，老板很热情', 'star': 4}
{'descr': '酒店整体还可以，价位便宜，就是环境稍差。', 'star': 4}
{'descr': '房间干净，隔音效果好！', 'star': 3}
{'descr': '酒店交通方便，所处位置比较好找。酒店客房装修设施也还可以，服务人员的服务态度不错，酒店卫生条件做的还不错，关键是酒店价格经济实惠，推荐各位入住。', 'star': 4}
{'descr': '卫生很好。', 'star': 3}
{'descr': '一般般', 'star': 5}
{'descr': '不错哦……', 'star': 5}
{'descr': '居住环境还好，安静，好找，适合经常出差的人选择。', 'star': 5}
{'descr': '马马虎虎，环境不是很好，东西不是很齐全', 'star': 3}
{'descr': '北京这个地段200以下的真不多。进店后，干净，房间比想象中的大得多。很不错！', 'star': 3}
{'descr': '条件环境都好，推荐', 'star': 3}
{'descr': '价格便宜，环境还不错。性价比挺高的，建议大家入住', 'star': 5}
{'descr': '很小的一家旅社，服务态度不怎么样，价格也不便宜。床很大，卫生间的味道也有点大，住的朝北的房间，还好不吵。不像他的名字那样有家的感觉，呵呵！', 'star': 1}
{'descr': ' 一般', 'star': 3}
{'descr': '酒店很干净，东西也很全，挺温馨的。', 'star': 3}
{'descr': '非常不好—臭、吵、蚊子—入住像恶梦', 'star': 3}
{'descr': ' 床不舒服，洗发水也没有！', 'star': 3}
{'descr': '第二次入住，虽然条件差点，但该有的都有。不知道有没有人能在周围找到比他更便宜的旅馆呢？在我没找到更便宜的旅馆前，我觉得这个旅馆算央财周围性价比最高的了。', 'star': 5}
{'descr': '这次还可以', 'star': 3}
{'descr': '性价比算不错了', 'star': 3}
{'descr': '住的是标准房，这个价钱在如家宾馆的房子好多了，厕所真是很差劲', 'star': 5}
{'descr': '服务员态度极差，今后不会住。懒得说了，好多问题。', 'star': 1}
{'descr': '空间蛮大的，设施比较旧了，没有网线，房门不隔音，早上听见工作人员在外面的说话声，浴室热水是储存的，用一会儿就没有了。额。。木有水壶，饮水机的水不知道放了多久了，没敢喝。在路边但不吵闹，', 'star': 1}
{'descr': 'F非常一般的酒店，住的多数是大学里的情侣。卫生也很一般。', 'star': 1}
{'descr': '服务，环境还算不错.......................................', 'star': 5}
{'descr': '订的大床房，床是很大，有窗空气还行，但房间不太干净，设施也很旧了， 价格与条件不相称，另，房间临马路，会吵。', 'star': 3}
{'descr': '地理位置不错,但房间太旧!!!', 'star': 3}
{'descr': '相对便宜，到中财很方便，靠路的一面噪音很大，有热水空调。', 'star': 5}
{'descr': '去央财复试很方便，价钱还行吧 ，其他没什么感觉。', 'star': 5}
{'descr': '很不错。虽然规模小。但是服务态度还一般。但是周围没有什么好的就餐地点。', 'star': 5}
{'descr': '很不错。很适合穷学生入住。个人感觉环境值。性价比值。', 'star': 5}
{'descr': '在这周围价钱最低，该有的都有。房间和卫生间小了点，安静程度也差点。适合穷学生入住。总体而言，性价比算高的。', 'star': 5}
{'descr': '总体还行，就是热水不够用的，一会就用完了！还有没有电脑，不能上网！', 'star': 5}
{'descr': '已入住。房间卫生间太小', 'star': 3}
