{'短评内容': '综合性可以', '短评打分': 5}
{'短评内容': '不合算，房间味大', '短评打分': 3}
{'短评内容': '位置优越，闹中取静，去哪里都方便，酒店环境好，设施干净，打扫及时，高清电视，空调也好用，性价比各方面比较好', '短评打分': 5}
{'短评内容': '总台挺热心', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间不错。', '短评打分': 4}
{'短评内容': '非常不错的酒店。环境不错，停车方便。价格实惠', '短评打分': 3}
{'短评内容': '总体都不错，位置好，卫生好，价格也很周到', '短评打分': 5}
{'短评内容': '每次都住这家酒店，位置比较方便。', '短评打分': 4}
{'短评内容': '不错，不算贵的价格，不算差的环境和服务，对得起价格！', '短评打分': 3}
{'短评内容': '这次儿子乒乓球比赛，距离比赛场地较近。房间不大，但比较干净。早餐品种不多，但还可以。以后比赛还会来的。', '短评打分': 4}
{'短评内容': '还不错，价格合理，环境也可以，', '短评打分': 5}
{'短评内容': '老板很好说话.但是酒店设施不怎样！！服务态度是还不错.只是综合性价比就不怎样了', '短评打分': 1}
{'短评内容': '一般一般。。。随便住一晚而已。。。希望宾馆可以提供一次性拖鞋', '短评打分': 1}
{'短评内容': '去店里时竟然说我没有预定，可是这里又有，看来是信誉太差，强烈不建议入住，里面环境真不值这个价，就附近的酒店环境要好的多，感觉被骗。', '短评打分': 1}
{'短评内容': '很难找。。真的 很难找。。设施一般。服务还可以', '短评打分': 5}
{'短评内容': '说实话有点失望，没看出来哪里是新装修的。不能刷银行卡，托鞋不是一次性的，总的来说非常一般。', '短评打分': 3}
{'短评内容': '服务态度很好，老板一家人很热情。价格合理，提供的免费用品也考虑的比较周到。下次来义乌，还会来住的。', '短评打分': 5}
{'短评内容': '交通便利，就在宾王小学正门对面，离国际商贸城很近，一站路。服务人员虽然不是特别专业，但是很热情。房内设施就一般的很，不要期望太高。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '因为是在义乌的梅湖会展中心附近有工作要办，所以就选择了此酒店，离得近点吗，其它的也没有什么', '短评打分': 5}
{'短评内容': '位置还可以,离办事的地方较近.酒店硬件一般,性价比也一般.双人床有一个坏了,热水也不足.', '短评打分': 5}
{'短评内容': '被子挺暖和的，服务态度不错。', '短评打分': 3}
{'短评内容': '这酒店装修陈旧，卫生条件差，一进去一股霉味扑面而来。不会再来。', '短评打分': 1}
{'短评内容': '服务很好，很热情， 地点很好，离市场很近， 很方便\n', '短评打分': 5}
{'短评内容': '总体感觉不错，也比较好找，离国际商贸城也比较近', '短评打分': 5}
{'短评内容': '服务态度还行，但房间内布置沉旧简单，138元的价格高了，性价比低。', '短评打分': 3}
{'短评内容': '价格的确还是实惠的，但是不知道是不是因为特价房的关系，房间的主灯是坏的，浴室的水龙头是坏的，房间进去之后有一股霉掉的味道，热水还来得很慢', '短评打分': 1}
{'短评内容': '不能刷卡，无语！！其他倒也马马虎虎！\n希望酒店能改进吧！', '短评打分': 1}
{'短评内容': '晚上有骚扰电话休息不踏实，不过位置好距离办事地方比较近就近选择，方便..', '短评打分': 5}
{'短评内容': '酒店挺好的 ，所在位置很交通方面...............', '短评打分': 5}
{'短评内容': '房间设施很老化了，达不到什么星级标准就是比一般旅馆稍微大些而已，位置还可以，服务一般，性价比也就一般。', '短评打分': 1}
{'短评内容': '还行吧  只是结帐前台没有零钱  居然说不找了 我晕', '短评打分': 1}
{'短评内容': '房间的装修觉得还是一般感觉稍微有些陈旧，楼道也不是太干净杂物都乱堆，就像一个家庭旅馆似的，地理位置是不错就是标志不是太清楚，价格也就一般。', '短评打分': 1}
{'短评内容': '酒店很差，房间的设施都很旧了打扫的卫生也是一般般，服务态度还可以，地理位置挺好找离车站也是比较近的，价格还是能接受但是在当地还是算高的。', '短评打分': 1}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '地段不错，就在国际商贸城附近，服务态度也不错，就是酒店硬件差了点，装修陈旧。入住当晚，马桶不抽水。', '短评打分': 1}
{'短评内容': '位置不太好找，在巷子里标志不明.不过室内条件还是不错的住着感觉挺舒服的.', '短评打分': 5}
{'短评内容': '酒店还行，房间里面也能上网就是有点小，价格是能接受，服务也没什么大问题。', '短评打分': 5}
{'短评内容': '空调老，没制热，热水也不够热，最惨的是发现年幼的“小强”在床上。\n当然值得表扬的是服务不错', '短评打分': 1}
{'短评内容': ' 酒店卫生条件一般，价格适中', '短评打分': 3}
{'短评内容': '此宾馆价格有可比性，但是从登记到进房间足足弄了半个小时，热水不是太热（可能需要长时间放水才会热），', '短评打分': 5}
{'短评内容': '还不错~\r\n就是洗澡半天水不热~\r\n还有被子不是很柔软~~~\r\n其他都OK ~', '短评打分': 5}
