{'短评内容': '环境很好，性价比高', '短评打分': 5}
{'短评内容': '环境很好，清静～走来走去，服务员都会打招呼～很亲切～步行到溱潼古镇很近～驾车到溱湖湿地公园最多半小时哟～酒店的早餐很齐全～', '短评打分': 5}
{'短评内容': '非常好的酒店，安静舒适，服务员热情。下次来溱湖还会继续住他家。', '短评打分': 5}
{'短评内容': '酒店环境优美，卫生、舒适，空调、热水系统很好，床铺舒适。早餐不错，酒店服务人员态度友善。下次还选这个酒店。', '短评打分': 5}
{'短评内容': '这个酒店服务一流、内部设施非常好。周边处处是美景，集合，汇合，大家一起来的。', '短评打分': 5}
{'短评内容': '除位置有点偏，其它都很好，值得再次入住', '短评打分': 5}
{'短评内容': '溱潼镇上应该算是最好的一个酒店了，紧挨着别墅群旁边。酒店楼下绿化地很大。唯一缺点就是空调声音有点响', '短评打分': 4}
{'短评内容': '环境很不错，服务态度也很好，就是用餐需要自行外出解决！', '短评打分': 5}
{'短评内容': '房间设施不错，有个小阳台，周围环境很安静', '短评打分': 4}
{'短评内容': '很好的酒店，价格真的炒鸡便宜', '短评打分': 5}
{'短评内容': '酒店周围环境不错，内部装修风格古朴典雅，订的家庭套房，其中一个卫生间很大，干湿分区合理，还有两个洗手池，用起来很舒服。前台服务员推荐的喝早茶的饭店也很棒，总之下次来还住这家店', '短评打分': 5}
{'短评内容': '很不错，环境很好，适合休闲度假', '短评打分': 5}
{'短评内容': '酒店环境没话说，临时改的临水木屋虽然豪华度不够，但是舒适明亮阳光充足，鱼塘收费15一斤，不过承包人说亏损，明年不做了。大家反映的早餐问题，自己看图，个人觉得很丰富。', '短评打分': 5}
{'短评内容': '酒店环境古色古香！设施很好！性价比不错！非常不错！', '短评打分': 5}
{'短评内容': '酒店古色古香，园內花园很美', '短评打分': 5}
