{'descr': '好好好', 'star': 5}
{'descr': '很好哦，整个一层都是他家酒店，每户像个小一居一样，老板人很好', 'star': 5}
{'descr': '位置一流，零距离的，', 'star': 5}
{'descr': '出门在外优先考虑住哪里，所以早早在网上预订，这样就不用担心流落街头了，对于住宿我一直都很随性，到了哪里就住哪里。', 'star': 5}
{'descr': '再次入住，服务不错，附近小吃特别的多', 'star': 5}
{'descr': '商业中心，很繁华，小吃也多', 'star': 5}
{'descr': '服务热情，设施不错，很满意', 'star': 5}
{'descr': '服务挺好的 离解放碑很近 交通便利 服务员很好 推荐', 'star': 5}
{'descr': '地理位置绝佳，地铁超级方便，周边好多火锅好店，好多好吃滴，太棒啦', 'star': 4}
{'descr': '酒店地理位置好，交通便利，前台小妹很热情，房间也很干净就是没什么家具设备，不过价格也便宜', 'star': 4}
{'descr': '酒店周边就是小吃街，并且距离解放碑也非常近，那里小吃也非常丰富，所以对于吃货来讲住在这里非常便捷，酒店公寓式，比较宽敞，性价比还是比较高的', 'star': 5}
{'descr': '就是洗澡沒什麼熱水，要等好久，有些麻煩。不過酒店周邊環境非常好，樓下就是一條小吃街，很方便，洪崖洞，解放碑這些走一走就到了，很不錯。', 'star': 4}
{'descr': '房间很大 设施齐全 前台的美女帅哥态度很好 138的价格非常值得 离解放碑也很近 下次到重庆玩儿 还会选择。', 'star': 5}
{'descr': '性价比高，位置优越', 'star': 4}
{'descr': '公寓就在地铁口附近，是中心城区，去各景点坐公交或地铁就能直到，附近有超市食东西都很方便，房间里空调洗衣机微波炉齐全，好评！是一次很愉快的旅程！', 'star': 5}
{'descr': '续住两天，灰常满意，墙裂推荐！', 'star': 5}
{'descr': '价格便宜，地理位置优越！', 'star': 4}
{'descr': '旅游最佳之选', 'star': 5}
{'descr': '交通方便，离景点近是旅游最佳之选', 'star': 5}
{'descr': '个人认为如果从地点来说是很好的。到八一路步行几分钟，地铁站也只几分钟路。但是这次入住处有点不太满意，从网上看到好评后订的房间。不知道是不是确实因为别的客人没有退房，所以安排了一间临时住房，房间的柜子门是坏的。卫生间的门也是坏的。卫生间里面放杯子的地方也有小问题，影响了入住的心情。不过床还是睡的很舒服的。特别是一家三口入住。两张1.5米的大床，房间也很大。还算不错。', 'star': 5}
{'descr': '不错,还能自己做饭,交通也算方便,会考虑再次选择', 'star': 5}
{'descr': '位置在较场口轻轨站旁，很方面，但房间有点旧，服务一般，不过胜在价格便宜，不过如要住得舒服，就要选高档一点的酒店。', 'star': 1}
{'descr': '普标房间大，但室内设施有些旧，带电脑的单间相对舒适些。酒店楼下有菜场，附近有日月光商场，地铁站，地理位置还好，酒店服务较好。我们当时在夜里十二点左右到，小孩(6岁)睡着抱着费力，接侍员先开房让我们放下孩子再办手续。', 'star': 3}
{'descr': '确实不错的酒店，住起来很舒服，不过无线宽带好像有点问题，因为用的不多，后来没找店家解决，总体不错', 'star': 5}
{'descr': '店家人很好，酒店有家的温馨，感觉很舒服，交通非常方便，有机会还会在来的。', 'star': 5}
{'descr': '5月26日-28日入住此店，位置不错，离较场口地铁1、2号线站很近，离解放碑几步之遥。楼下有日月光中心广场，大概是刚开业的，挺大，人气不是很旺，走的是潮人路线。话归主题，房间挺大，不算很新，但也不旧，我订的是标间，148元，房间情况和价格可以划等号。店家给我一个可以看到解放碑周边的房间，赞一个。结账时，店家小姐说我太浪费，一个人住标间，唉，谁让贵店不提供（异性）合租业务啊。', 'star': 5}
{'descr': '之前有看到评论说房间设施有点旧，所以这方面是做好了心理准备的。虽然有点旧，但是性价比依然很高。我定的是普通单人间，临窗就可以看见解放碑商务区，地段很好，吃喝行也方便；因为是家庭式的酒店，有电视、冰箱、小厨房，感觉会很温馨，自己很喜欢；再就是酒店的工作人员的服务态度很好，我房间的门不好开，他会细心地告诉你，然后教你怎么弄，如果你有缺什么，也可以告诉工作人员，都会很贴心地帮你解决。总之，如果下次再去解', 'star': 5}
{'descr': '服务态度很好，房间布置氛围也很温馨，像家一样。但是热水器老出问题，希望能改进。', 'star': 5}
{'descr': '我们以经到达，正在办理入住。', 'star': 3}
{'descr': '到家的感觉，配有冰箱、洗衣机、微波炉，虽比不上星级酒店，但感觉很好。位置接近解放碑，周边交通很便利，性价比高，再去还会选这家。', 'star': 5}
{'descr': '价格实惠，房间大，在两条轨道交通中间，交通便利，挺好的。有厨房，但是没来得及用。', 'star': 5}
{'descr': '店家窝心极了，电话、短信全方位告知去店路线，到房间感觉很温暖，像回家了，是真的家庭式酒店，还有冰箱洗衣机。。', 'star': 5}
{'descr': '酒店太旧,地方不清洁,卫生不好,不过假钱便宜.', 'star': 1}
{'descr': '预定的是特色双人间  有家的感觉 很干净和温馨  有洗衣机和冰箱 很方便  酒店位置位于渝中区的较场口站  地铁1 2 号线都可以到 日月光广场的背面 很方便。 周边的设施很完善，去解放碑商圈走走就到了！服务也很周到。强烈推荐！', 'star': 5}
{'descr': '的确不错，性价比挺高，老板也挺热情，下次来也会考虑入住。', 'star': 5}
{'descr': '现在才来评，这几天一直在忙，这里不错，在外出差多了，住的酒店也多了，这种家庭式给人以家的感觉。服务员特热情。就是卫生间有积水。上次是带全家住的，小孩子把里面弄得有点脏，真是不好意思。', 'star': 5}
{'descr': '酒店离地铁口很近,离洪崖洞,离较场口和解放碑都很近(走路5-10分钟).住在26楼,看重庆的夜景也不错,关键是酒店员工服务很好!!', 'star': 5}
{'descr': '酒店地理位置优势是其最大的优势,而且管理者非常尽心,在还未到达重庆时就与你联系,把酒店的位置,坐车方式一并告知,非常热心!房间比较大,应该具备的东西一应俱全!坐地铁1号和2号线也非常便利!', 'star': 5}
