{'短评内容': '房间还算干净，检查了床单被罩，是新换的。就是房间比较小，只有一个很小的内窗，空气不流通。而且卫生间没有门也没有换气设备。晚上洗澡时水特别小，勉强洗了下，害怕感冒都没敢洗头。大概凌晨4点多，有赶火车的客人在房间和走廊大声喧哗，无法睡觉。因为是连锁店，前台人也算客气，在火车站旁边住还是比较安全的。若是早上赶火车或者去附近坐汽车可以住一晚，长住的话就算了吧！', '短评打分': 3}
{'短评内容': '网络不给力啊！', '短评打分': 5}
{'短评内容': '还可以 算是物有所值呢', '短评打分': 5}
{'短评内容': '真的很一般', '短评打分': 4}
{'短评内容': '有蟑螂，非常小的房间，没窗户', '短评打分': 3}
{'短评内容': '将就将就谁', '短评打分': 3}
{'短评内容': '适合工薪阶层', '短评打分': 5}
{'短评内容': '房间太小，在火车站旁边，很吵！', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '便宜便宜便宜', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以，前台也很热心。。。下次还来。', '短评打分': 5}
{'短评内容': '价格优惠，出行方便', '短评打分': 4}
{'短评内容': '环境比较乱，服务一般，房间比较小。', '短评打分': 3}
{'短评内容': '空调太吵了', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以，离火车站较近，出行还算方便', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '房间一股尿骚味。最差的一次。', '短评打分': 1}
{'短评内容': '周围环境因地铁修建受到影响，其他也没什么可挑剔的，作为廉价商务酒店，卫生，安全就很好了！我满意', '短评打分': 5}
{'短评内容': '都还满干净的。就是卫生间也太open了点- -。上个厕所洗个澡神马的不容易啊。', '短评打分': 5}
{'短评内容': '环境不错 设施齐全 交通方便 附近也蛮热闹的', '短评打分': 5}
{'短评内容': '希望服务更周到 环境更舒心 ', '短评打分': 5}
{'短评内容': '还行吧 离火车站很近，公车站也很近，走个四五分钟就行了也不用过马路\n不过地方很偏 ', '短评打分': 5}
{'短评内容': '房间小卫生好户外环境差.卫生间分隔不合理', '短评打分': 5}
{'短评内容': '酒店卫生很差，还不开发票。打死也不住了。', '短评打分': 3}
{'短评内容': '前台的美女服务员太好了， 五星级的，只是针对前台的妹妹其它不评价。', '短评打分': 5}
{'短评内容': '这个房间非常彪悍，马桶和洗手池是在外面的，和床在一个空间里，淋浴反而是玻璃房里面的。没有水壶，走廊有公共热水，一层有一个吹风机，也在走廊。门口的停车场还没有修好，一片碎石。早晨起来有很大的装修声音。', '短评打分': 1}
{'短评内容': '还不错！房间挺干净。', '短评打分': 3}
{'短评内容': '网络晚上很烂。。QQ都会掉。发票要提前说才有可能有。。离火车站很近。都能听到铁轨声。没拿到发票。用平邮寄，目前我还未收到。早知道我付快递费了。', '短评打分': 1}
{'短评内容': '  酒店挺干净的，但我觉得就是梳子和洗发水得有，另外我不知道为什么我那间211的数字电视看不了？', '短评打分': 3}
