{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '除了服务员服务还中规中矩之外，真的都是缺点。房间面积很大，所以窗户关不上（已坏）的晚上就更觉得冷。洗手间的马桶盖是坏的，已经和马桶分体了。。。。洗澡水水压低，涓涓细流再加上温度不够热让洗澡的体验挺差的。。。。因为是来办事所以找了这家距离比较近的宾馆，真的是很失望，同等价位都可以住商务酒店了。建议老板能看到的话，认真改良一下宾馆的设施，这么好的位置，这么大的房屋面积，弄成这个样子，于经营者来说也是一', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '没有问题', '短评打分': 5}
{'短评内容': '离机场很近', '短评打分': 4}
{'短评内容': '服务环境都不错', '短评打分': 5}
{'短评内容': '性价比好，有早餐已经很好了，对面艺术院正点，附近好多吃的。整体不错不错的', '短评打分': 4}
{'短评内容': '不推荐！房间环境很差，空调也不行，换了一次房间也不行，差点冻感冒。整体设施老就。不到万不得以 冬天就不要住了。', '短评打分': 2}
{'短评内容': '这家酒店比较有历史了，硬件设施只能说一般，服务人员没什么存在感。', '短评打分': 3}
{'短评内容': '        还好吧', '短评打分': 4}
{'短评内容': '不错，房间大，设施也好', '短评打分': 4}
{'短评内容': '住的那个房间有点嘈，后面是空调风机', '短评打分': 4}
{'短评内容': '不错的酒店 性价比比较高 可以试试', '短评打分': 5}
{'短评内容': '设备老旧，灯不亮，床弹簧坏了。房间单机空调。双早就是一个房间给10元现金券在合作的宏状元粥铺使用，自己补差价。', '短评打分': 4}
{'短评内容': '环境还不错，价格也不错。', '短评打分': 3}
{'短评内容': '具晕，他们还说是2星，一次性的东西都没，空调老得掉牙！还要穿人家穿过的拖鞋！很差劲真的', '短评打分': 1}
{'短评内容': '这个价位在附近不算贵，设施有些旧了，但是如果装修过就没这个价了，确实很纠结，早餐卷其实是面值5块的抵用卷，在2楼的宏状元粥馆吃早饭，那里有最低5块的早餐套餐，2小根油条+一碗白粥+一个鸡蛋+一小碗小菜。', '短评打分': 5}
{'短评内容': '房间洗漱用品简单没有洗发用品，而且每次需要给服务员要。', '短评打分': 1}
{'短评内容': '房间设施陈旧，门锁不管用磁卡钥匙开不开门需要服务员开等的时间长，而且恒不方便', '短评打分': 1}
{'短评内容': '所谓的含早餐只是提供5元早餐卷，其余自负，而且早餐等待时间太长。', '短评打分': 1}
{'短评内容': '酒店设施陈旧，尤其是毛巾浴巾太旧，边缘已经起毛开线。', '短评打分': 1}
{'短评内容': '房间挺大，不靠窗，挺安静的', '短评打分': 3}
{'短评内容': '北京叫宾馆的，应该都是以前招待所改建的。北京人服务都还过得去，但有些卫生条件一般，也不提供洗漱用品，这点没准备。', '短评打分': 1}
{'短评内容': '物美价廉，位置很合适，就在798艺术区正对面，去798游玩的朋友最佳选择。', '短评打分': 5}
{'短评内容': '地理位置好,正对798创意时尚广场,工作人员服务态度好!很满意.', '短评打分': 5}
{'短评内容': '服务好，干净整洁，就在798对面很有地理优势！有去798的朋友推荐一下！', '短评打分': 5}
{'短评内容': '位置交通方便，设施尚可，就是有些吵。不足之处是，早餐网上承诺带，实际上每个参券仅顶5元，其它消费要另付。不在乎钱多少，关键是在网上发布的信息不要误导。', '短评打分': 5}
{'短评内容': '基础设施比较陈旧，条件一般，比较适合个人住宿。', '短评打分': 5}
{'短评内容': '标间的床挺大的，有个小冰箱，还有赠送矿泉水', '短评打分': 5}
{'短评内容': '这家酒店的环境不是很好，卫生很差，三层以下的还好点，三层以上的不是很干净，感觉住的不舒服，下次我是不愿意住了。', '短评打分': 1}
{'短评内容': '+酒店宽敞，干净，物有所值！', '短评打分': 5}
{'短评内容': '临街，比较方便，隔音差些，有骚扰电话,比较烦人。', '短评打分': 5}
{'短评内容': '这叫三星级宾馆,大家还是住快捷酒店吧!这么小的三星,太可笑了', '短评打分': 1}
{'短评内容': '没有早餐', '短评打分': 5}
{'短评内容': '宾馆靠近路边，出行方便，服务也还不错。', '短评打分': 5}
{'短评内容': '房间设施齐全，最重要的是卫生打扫的很到位，住着放心。', '短评打分': 5}
{'短评内容': '房间里电视、空调都齐全，使用效果还不错，总体感觉设施比较齐全。', '短评打分': 5}
{'短评内容': '空调、电视效果不错，房间收拾的整洁。', '短评打分': 5}
{'短评内容': '服务员语气和善，主动热情，给人感觉挺舒服的，打扫卫生的时候也很负责，这点很满意。', '短评打分': 5}
{'短评内容': '交通比较方便，但房间的设施太陈旧，早餐更是不敢恭维。', '短评打分': 3}
