{'短评内容': '你明明您给没你', '短评打分': 5}
{'短评内容': '三个人，标准间2张床，独立卫生间洗浴。很方便', '短评打分': 5}
{'短评内容': '周围挺安静的，可以休息好，卫生(O_O)额。周围交通还可以，出行不成问题。昨晚上不知道谁在楼道里点火让我踩灭了。', '短评打分': 5}
{'短评内容': '挺干净房间大', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '还行。。。。。。。。。', '短评打分': 5}
{'短评内容': '根本不值这个价..根本不是酒店..是名宿..照片全是假的..有欺客成分..', '短评打分': 2}
{'短评内容': '环境一般，第一次房卡竟然没给我开好，又让我下去一趟，', '短评打分': 4}
{'短评内容': '朋友对房间的评价还不错', '短评打分': 5}
{'短评内容': '还是在红星楼上的红蚂蚁公寓，房间比较大，就是淋浴花洒也太小气了。设施一般。', '短评打分': 4}
{'短评内容': '设施差，交通方便，环境还行，服务差，性价比很差，下次不会再入住！', '短评打分': 2}
{'短评内容': '郑州的环境就是不好的了。相对于这个酒店来说，位置头一次比较偏。不好找。但附近是吃的比较方便。没办法，每次展会期间，都要住，只能附近轮着住。下次住别家。', '短评打分': 3}
{'短评内容': '一般般吧，房间不大，性价比一般。', '短评打分': 3}
{'短评内容': '住过最垃圾的酒店', '短评打分': 1}
{'短评内容': '还好', '短评打分': 2}
