{'短评内容': '还可以。点赞', '短评打分': 5}
{'短评内容': '方便快捷，离华科大就隔条马路', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境很不错，比起同一栋楼的其他旅馆环境好多了', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '我定错了日子。早上起来发现掉了100多块钱，很难受哇', '短评打分': 5}
{'短评内容': '酒店地理位置很好 华中科大学南二门对面距离shopping mall 也很近 环境干净 值得推荐', '短评打分': 5}
{'短评内容': '酒店很棒  居住舒适 总体来说非常值得信赖的', '短评打分': 5}
{'短评内容': '总是被退订，一点也不好～～～～', '短评打分': 5}
{'短评内容': '七天经济实惠，卫生放心，服务态度好', '短评打分': 5}
{'短评内容': '很多次住这里了。一如既往的支持', '短评打分': 5}
{'短评内容': '位置良好，房间采光效果良好', '短评打分': 5}
{'短评内容': '非常满意，离客户比较近，服务也可以。', '短评打分': 5}
{'短评内容': '7天就那样吧，主要是在华科这边也没啥可以订的，没有窗户是硬伤。期望以后这块多一点其他连锁酒店。。', '短评打分': 5}
{'短评内容': '7天就那样吧，主要是在华科这边也没啥可以订的，没有窗户是硬伤。期望以后这块多一点其他连锁酒店。', '短评打分': 5}
{'短评内容': '没话说，没住过', '短评打分': 5}
{'短评内容': '在武汉几天，属这里住的最舒服，每天送牛奶和矿泉水，空调热风很给力，很满意', '短评打分': 5}
{'短评内容': '靠近华中科技大学，这是一大优势~可惜价格偏高，卫生和设施还有待进一步提高，总体应该还能算过得去吧！！', '短评打分': 4}
{'短评内容': '可也额', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '还行吧，一般般', '短评打分': 4}
{'短评内容': '还不错。房间稍微有点狭窄，但整体比较舒适。地理位置优越。', '短评打分': 5}
{'短评内容': '有点旧 凑合住', '短评打分': 3}
