{'短评内容': '位置好硬件好，对面是湖北省博物馆，值得去！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置不错，酒店不错，总体感觉可以。酒店停车场不大，旁边小街环境差了点，早餐没在酒店吃，外面有个连锁的武汉小吃店还不错。', '短评打分': 5}
{'短评内容': '里面蛮好的，有浴缸。房间挺大。床也挺舒服。就是找的时候房间号不是很清楚，找了半天才找到。礼宾很客气，帮客人主动提行李。。离汉街很近', '短评打分': 5}
{'短评内容': '免费升级至套房了 很舒服', '短评打分': 5}
{'短评内容': '早餐很好', '短评打分': 5}
{'短评内容': '跟胡刚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚', '短评打分': 5}
{'短评内容': '酒店各方面都不错，位置适合去省博，东湖听涛景区。', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '酒店服务非常好，床很大，房间干净', '短评打分': 5}
{'短评内容': '五星酒店，就不多说了', '短评打分': 5}
{'短评内容': '环境卫生服务都不错', '短评打分': 5}
{'短评内容': '不错，周边在施工', '短评打分': 4}
{'短评内容': '好着呢，临近美丽的东湖', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店不错！环境可以，比较喜欢住那里', '短评打分': 5}
{'短评内容': '位置不错 酒店床很大的， 下次还会住', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是不包含早餐，而且早餐太贵了。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '各方面都挺好的，经常安排在这', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '入住N次了，酒店硬件还可以，就是服务不行。', '短评打分': 5}
{'短评内容': '帮朋友预定的，确实很不错的酒店，值得推荐\n\n下次自己也尝试一下', '短评打分': 5}
{'短评内容': '总体不错，卫生服务饮食都还好，就是位置有些偏，从机场过去挺远的。', '短评打分': 5}
{'短评内容': '第二次住了，很好。房间很大，也很干净。', '短评打分': 3}
{'短评内容': '是武汉日报的下属酒店.缺点:离商业区较远,房间太小.优点:早餐还是不错,网速也较快.', '短评打分': 5}
{'短评内容': '符合5星级配置。。。。。。。。。。.。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '第一次入住，酒店条件很好，值得一提的是自助晚餐，性价比很高。稍有缺点就是早上打车让人头疼', '短评打分': 5}
{'短评内容': '酒店设施新，房间大，到湖北省博物馆十分方便。', '短评打分': 3}
{'短评内容': '位置一流，卫生整洁，但配套设施少，不包自助早餐显小器。', '短评打分': 5}
{'短评内容': '新酒店，位置好，临东湖和湖北省博物馆，但是卫生间的装修太失败了，只要一洗澡，整个浴室水漫金山，花洒居然不能旋转，设计者脑残', '短评打分': 1}
{'短评内容': '帮同事订的，周围环境好、幽静，酒店设施不错，名副其实的四星。', '短评打分': 5}
{'短评内容': '相当不错，周边环境好，酒店新装修，价格很实在。下次一定再住。', '短评打分': 5}
{'短评内容': '前台服务非常棒，对附近商业区的介绍也很清楚。客房动作有点儿慢，房卡不太好用，取电的时候经常“不干活儿”，叫了两回客房人员才来给解决了。不过整体感觉很好。酒店附近环境不错，买东西也很方便。', '短评打分': 5}
{'短评内容': '入住这家酒店环境、服务都非常OK，值得起五星级的酒店啦！本来预订的两个高级大床房，结果到了前台说只预订了一间，后来将我们房间都免费升级了，一个套房，一个行政标间。到了房间，一切都精致地让人喜欢，床好大好软，电视可移动，声音通过一根线还能接通到卫生间，浴室的东西很贴心，要走那天才发现还有浴盐和搓澡的丝瓜络。房间里就能看到东湖和省博物馆，风景不错！还有就是二层的早餐自助还不错，东西丰富，最主要的是时间', '短评打分': 5}
{'短评内容': '前台服务态度不好,和五星级的服务有很大的差距', '短评打分': 5}
{'短评内容': '标准的五星级酒店,房间比较大,在湖北省博物馆和湖北美术馆对面,唯一不足是前台服务员态度和五星的标准有不少差距.', '短评打分': 5}
{'短评内容': '酒店位置很方便，服务也不错。下次还会入住。', '短评打分': 5}
{'短评内容': '不错，设施一流，早饭一般，交通比较方便。希望加强人员服务', '短评打分': 5}
{'短评内容': '本来订了高级房，来后却说只有豪华标间，前台服务人员办事很慢，开房用了半小时，退房用了40公钟，达不到星级酒店服务标准', '短评打分': 3}
