{'短评内容': '一般般的感觉 也就凑合哇', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店设施虽然不够新，但一应俱全，服务挺好，早餐品种虽不是太多，但还有的都有，吃的还是很舒服的。地下停车场有足够的车位，免费停车很方便。最关键是价位不高，性价比那是足够高的。值得推家', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '价格还好。比较便宜', '短评打分': 5}
{'短评内容': '在携程上看了评价定的酒店，惊喜。装修是中式风格，有停车场，很安静，有浴缸，早餐品种很丰富。待改进的地方：淋浴地方有点小。会推荐给朋友。', '短评打分': 5}
{'短评内容': '环境挺好，有机会再住了。', '短评打分': 5}
{'短评内容': '还不错的东西', '短评打分': 5}
{'短评内容': '环境不错，周边设施齐全比较方便', '短评打分': 5}
{'短评内容': '很干净的酒店，冒雨到达的，服务还不错', '短评打分': 5}
{'短评内容': '试ED股海护航功夫大师的的士速递腹股沟管嘎嘎嘎嘎', '短评打分': 5}
{'短评内容': '没空调，冻死啦？设备很旧！', '短评打分': 3}
{'短评内容': '古色古香，很有味道。', '短评打分': 4}
{'短评内容': '实际是没有入住，直接被前台拒绝了，预付款的订房居然都能被取消，真是神奇，还好全额退款了，不说了，业务素质还需要改进', '短评打分': 4}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '很好，早餐也很丰富…', '短评打分': 5}
{'短评内容': '还不错，挺舒服的，环境也很好????', '短评打分': 4}
{'短评内容': '替别人订的，不知道到底咋样', '短评打分': 5}
