{'短评内容': '很好的很好的很好的很好的很好的', '短评打分': 5}
{'短评内容': '房间挺满意，环境不错。', '短评打分': 5}
{'短评内容': '餐厅服务周到 温馨 表杨李小扣 陈林', '短评打分': 5}
{'短评内容': '咖啡厅服务非常好，特别要表扬服务员杨珺博、李小扣为我们拿取菜品，看到我们来的迟还特地询问我们有什么需要，为我们倒取咖啡，红茶，真的很让我们惊喜又感动，下次还会入住酒店，谢谢她们的服务。。。。', '短评打分': 5}
{'短评内容': '咖啡厅服务非常棒！尤其服务员杨珺博、刘敏慧面带笑容为我介绍菜品，看到我们出去玩为我们介绍旅游景点，真的让我们感到不可思议，下次还会选择酒店，谢谢她们的热心服务。。。', '短评打分': 5}
{'短评内容': '咖啡厅服务非常好，尤其服务员杨珺博、李小扣服务周到，看到我们主动打招呼，还为我们倒咖啡、红茶，很贴心，很让我们感到惊喜。谢谢她们……', '短评打分': 5}
{'短评内容': '没住', '短评打分': 5}
{'短评内容': '酒店整体不错，早餐厅服务真的非常好，让我跟很惊喜和意外！尤其是服务员刘敏慧和陈露！首先主动微笑问好，由于人比较多，主动帮忙找位置，拿筷子调羹，询问咖啡红茶！还介绍特色小吃，和旅游景点，处处周到，还一直微笑对客，感觉很舒服，开心，愉快的早餐，非常感谢她俩，下次肯定再来满意满意！', '短评打分': 5}
{'短评内容': '停车方便，服务好。\n特别要谢谢帅小伙孙龙，注意到我因脚扭伤而行动不便，半夜三更出去帮我买药，让我体会了宾至如归。\n一楼餐厅有个女孩子Bonni也很热情可爱。', '短评打分': 5}
{'短评内容': '东西不错不错不错不错不错不错？', '短评打分': 5}
{'短评内容': '是商旅的较好选择，基本上还OK。', '短评打分': 5}
{'短评内容': '是商旅的较好选择，基本上还OK。', '短评打分': 5}
{'短评内容': '非常坑。网上定了房间并且付费，开车开了好久到酒店，确却查不到订单。京东后来给退款了。', '短评打分': 5}
{'短评内容': '666666666', '短评打分': 5}
{'短评内容': '早餐丰富的', '短评打分': 5}
{'短评内容': '五星好评的', '短评打分': 5}
{'短评内容': '房间干净，交通方便，服务态度好', '短评打分': 5}
{'短评内容': '我们是第一次从上海来连云港出差，公司给我们挑了很久酒店，才定了这家，我们需要的是干净和方便，这儿还是挺好的', '短评打分': 4}
{'短评内容': '市中心 进出方便', '短评打分': 5}
{'短评内容': '早餐服务中李小扣卞青服务周到，特别感谢', '短评打分': 5}
{'短评内容': '来到连云港旅游，经常入住贵宾馆，服务很到位。尤其是咖啡厅服务人员杨珺博、黄芳面带微笑，热心服务。观察仔细，看到我们戴眼镜及时为我们拿取眼镜布，还为我们介绍菜品，拿酸奶。这么贴心的服务很让我们感动，下次还会住酒店。谢谢。', '短评打分': 5}
{'短评内容': '酒店环境不错，位置优越，值得多多推荐', '短评打分': 5}
{'短评内容': '这个酒店不错，不过有些隐形消费要注意', '短评打分': 4}
{'短评内容': '每次出差都入住云台宾馆，早餐厅环境非常好，菜品也丰富，在前台办理入住的时候，前台员工王琪听到我一直在咳嗽，主动联系客房给我送了姜茶，非常细心', '短评打分': 5}
{'短评内容': '一般，老了一点', '短评打分': 4}
{'短评内容': '一直信赖，服务和设施都一流', '短评打分': 5}
{'短评内容': '一直信赖，服务和设施都一流', '短评打分': 5}
{'短评内容': '酒店非常不错！', '短评打分': 5}
{'短评内容': '对面有个公园 总体来说还可以', '短评打分': 4}
{'短评内容': '前台接待MM很热情，详细介绍了晚饭吃海鲜的地点，包括建议我们打车过去，因为那边不好停车。对第二天的游览也给出了合理的建议，不错。\n房间不大，标准间的床不宽，早餐尚可。', '短评打分': 5}
{'短评内容': '是我在连云港的首选酒店，相当的不错，无论是房间还是早餐，都很好，很喜欢这家酒店。', '短评打分': 5}
{'短评内容': '地理位置还不错，对面是苍梧绿园，离花果山也不太远。', '短评打分': 5}
{'短评内容': '酒店服务非常人性化，发现我有些感冒，客房服务人员立即为我送上姜汤，感动中，下次入住还会选择这家酒店', '短评打分': 5}
{'短评内容': '非常优秀的酒店，我是这家酒店的常客，酒店服务人员都很友好亲切，管理很规范，设施都很好，酒店的周边环境也很美，停车场很宽敞，也是免费的，酒店还要直达机场的大巴，是商务入住的首选。', '短评打分': 5}
{'短评内容': '不错。以后还会预定的。不错。以后还会预定的。', '短评打分': 5}
{'短评内容': '连云港最好的酒店了吧，还是不错的。交通方便，早餐也不错。', '短评打分': 5}
{'短评内容': '云台宾馆标间房很好感觉', '短评打分': 3}
{'短评内容': '非常值得推荐的酒店，服务好、环境好、希望价格再优惠就更好', '短评打分': 5}
{'短评内容': '当地的唯一家五星级宾馆名不虚传，值得推荐!', '短评打分': 5}
{'短评内容': '酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。', '短评打分': 5}
{'短评内容': '宾馆大堂气派，客房入住舒适，周围环境不错，有蛮大的城市绿地!', '短评打分': 5}
{'短评内容': '第一次住云台酒店 环境蛮好的 酒店早餐很好吃 推荐', '短评打分': 5}
{'短评内容': '第一次住在云台酒店，酒店服务很好，环境很不错哦，继续加油吧', '短评打分': 5}
{'短评内容': '酒店周边环境非常优美，房间入住也很舒适，服务管理很正规，值得推荐', '短评打分': 5}
{'短评内容': '宾馆环境不错，大堂非常气派，周边绿园风景独特，总之，作为连云港酒店唯一家五星酒店值得推荐!', '短评打分': 5}
{'短评内容': '给我们公司新来的小伙子订的房间，他都没想到这么好，很喜欢这里的环境和服务，觉得整体环境和服务都非常好，早餐很好，小伙子吃得很开心。', '短评打分': 5}
{'短评内容': '这次是我为我们公司的老外订的，他都没想到这里有这么好的一家五星级酒店，前面还有那么大的一个绿化广场，早餐很不错，服务员的服务也很不错。他很喜欢这里。', '短评打分': 5}
{'短评内容': '很不错的五星级酒店，很棒，房间不错，服务不错，早餐不错。就是我们只在这里待了一夜。有机会多在这里待两夜，享受一下', '短评打分': 5}
{'短评内容': '连云港最好的酒店馆设施很新，服务人员态度友好，房间入住也是非常的舒适，值得推荐', '短评打分': 5}
{'短评内容': '连云港新浦区里设施最完美的五星级酒店。对面有新浦区最大的苍梧公园。', '短评打分': 5}
{'短评内容': '很不错的酒店，通过网上客户点评才选择这家酒店，感受服务是非常好、很规范，周边环境也很漂亮，值得再次入住', '短评打分': 5}
{'短评内容': ' 环境很好', '短评打分': 3}
{'短评内容': '位置很好,环境优美卫生,还送小礼物,早餐丰富,下次还来!', '短评打分': 3}
{'短评内容': '不错的酒店，环境很好，对面是绿园，宾馆服务很规范，态度很友好，入住感受非常舒服', '短评打分': 5}
{'短评内容': '服务很优秀，入住期间有点咳嗽，服务人员贴心的送来梨水，留言也很温馨，下次还会入住', '短评打分': 5}
{'短评内容': '市区唯一家五星级酒店，服务周到，环境优雅，有宾至如归之感!', '短评打分': 5}
{'短评内容': '感谢云台宾馆，入住期间服务员热情亲切的服务让我倍感温馨。', '短评打分': 5}
{'短评内容': '酒店服务很好，环境也不错，房间入住感受很好，不愧是五星级酒店，值得推荐', '短评打分': 5}
{'短评内容': '酒店管理很规范，员工服务态度很好，周到热情，停车很方便，周边环境也非常优美', '短评打分': 5}
{'短评内容': '总感觉酒店比较乱,服务也不到位。价格也很高', '短评打分': 1}
{'短评内容': '酒店位置非常好，周边环境也很漂亮，房间设施也不错，自助早餐很好，服务人员态度友好亲切，是正规的五星级酒店管理，值得入住', '短评打分': 5}
{'短评内容': '酒店环境优越,宾馆员工清新一笑亲切如家，下次入还会选择云台!!', '短评打分': 5}
{'短评内容': '在连云港市最好的酒店，已经多次入住，服务人员很亲切，位置好，出行也是非常方便，早餐品种多，口味很好', '短评打分': 5}
{'短评内容': '酒店位置很好。环境很美，房间干净，入住期间感受宾馆服务人员的亲切服务，早餐很丰盛，性价比非常好，还会选择入住', '短评打分': 5}
{'短评内容': '酒店大环境非常好，服务非常人性化，服务人员知道我感冒，主动每晚提供姜汤、水果，非常感激。酒店的早餐也很丰盛，菜肴口味好。下次还会入住', '短评打分': 5}
{'短评内容': '酒店是在连云港市最好的，确实服务、环境都非常好，接待人员彬彬有礼，服务很规范，早餐花样齐全，有机会还会光临这家酒店。', '短评打分': 5}
{'短评内容': '第一次入住该酒店，服务非常好，主动为我提供鼠标垫，气了候干燥，为提供加湿器，强烈推荐，以后去连云港，还是会再次入住', '短评打分': 5}
{'短评内容': '酒店性价比很高，入住期间非常好，服务人员态度很温馨，周边环境也非常优美', '短评打分': 5}
{'短评内容': '老顾客了还是一样的满意，有个意见供参考，肥皂盒设计的不好，肥皂拿不起来。', '短评打分': 5}
{'短评内容': '再次入住，一如既往，宾馆员工亲切感让我有回家的感觉,环境卫生,服务周到！！', '短评打分': 5}
{'短评内容': '员工服务热情周到，地理位置优越，据了解是连云港市区唯一的五星级，商旅住宿的首选。', '短评打分': 5}
{'短评内容': '酒店员工非常热心，注重细节，知道我喜欢朝南的房间，并及时安排，环境也非常优美，下次还会选择入住', '短评打分': 5}
{'短评内容': '喜欢入住这家酒店，大堂气派，作为本市唯一家五星级宾馆名副其实,服务周到，卫生好，设施新，早餐花样其全,性价比高.', '短评打分': 5}
{'短评内容': '入住期间前台员工提供非常优质的服务，耐心、细心、用心。宾馆环境非常好，周边有绿园，商旅出差是连云港唯一的选择', '短评打分': 5}
