{'descr': '一般吧，不咋地', 'star': 3}
{'descr': '环境很好，地理位置优越，有停车场！不错的选择！', 'star': 5}
{'descr': '前台姐姐人特别好环境位置', 'star': 5}
{'descr': '干净卫生服务热情', 'star': 5}
{'descr': '出门旅游速8酒店还是不错选择！房价不高！去火车站也挺方便的！', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '不让客户入住！', 'star': 1}
{'descr': '好', 'star': 5}
{'descr': '床单和被套第二天没有更换，没有椅子，窗好小啊，其他的还行', 'star': 4}
{'descr': '马桶抽水的声音很大，隔音比较差', 'star': 4}
{'descr': '不好', 'star': 3}
{'descr': '性价比高，周围很热闹，交通便利。', 'star': 5}
{'descr': '便宜，挺好的，便宜，性价比高。', 'star': 5}
{'descr': '??，很不错，离车站斤，方便！干净！', 'star': 5}
{'descr': '还不错 房间挺干净 而且挺大的', 'star': 3}
{'descr': '一航。', 'star': 4}
{'descr': '＋对外地人来说酒店地方很难找，条件很一般不值得。', 'star': 3}
