{'descr': '性价比高，便宜实惠', 'star': 4}
{'descr': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的，舒适惬意价格很公道，下次还会选择该酒店。', 'star': 5}
{'descr': '总体来说还不错', 'star': 4}
{'descr': '总体来说还不错', 'star': 4}
{'descr': '还可以说的过去', 'star': 4}
{'descr': '我只想说，没有给差评的必要了，早点关门吧，和睡大街区别不大，如果你住的是1016房间，恭喜你，你还不如买个帐篷睡大街上。假如一辆车开20年报废，这个地方给人的感觉就像一辆开了260年的车，现在还在小心翼翼的开，自己体会吧。', 'star': 1}
{'descr': '自我感觉良好', 'star': 5}
{'descr': '还行就是有点不相信京东还能付款', 'star': 5}
{'descr': '综合条件不错，直得选择', 'star': 4}
{'descr': '综合条件不错', 'star': 4}
{'descr': '还可以！，不错', 'star': 4}
{'descr': '总体来说还可以', 'star': 4}
{'descr': '总体来说还可以', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '物超所值入住，干净卫生服务态度也很好', 'star': 3}
{'descr': '房间设施齐全，还有早餐，前台的服务员态度特别好，超级好', 'star': 5}
{'descr': '交通便利环境优美服务热情入住率高，推荐入住', 'star': 3}
{'descr': '酒店环境还不错，交通方便', 'star': 5}
{'descr': '酒店环境还不错，交通方便', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '这里离火车站很近，房间干净，整洁，很舒心。', 'star': 5}
{'descr': '房间不错 挺干净 就是离火车站稍微有点远 ', 'star': 5}
{'descr': '不错，房间挺干净，空间蛮大，价位合理，返现也不少哦', 'star': 5}
{'descr': '酒店太旧，电视太老，马桶正常使用中就堵了，本来定的2天，只住一天就退了，唯一不错的前台还行，硬件设施太差，不推荐', 'star': 3}
{'descr': '交通方便并且非常干净，服务员态度也很好，非常满意', 'star': 5}
{'descr': '环境好，周边环境一般，但是交通便利，适合长期出差人士，而且经过对比，同价位的酒店，还是这里比较舒适干净', 'star': 5}
{'descr': '环境好，周边环境一般，但是交通便利，适合长期出差人士，而且经过对比，同价位的酒店，还是这里比较舒适干净', 'star': 5}
{'descr': '环境好，周边环境一般，但是交通便利，适合长期出差人士，而且经过对比，同价位的酒店，还是这里比较舒适干净', 'star': 5}
