{'短评内容': '房间设施可以，但靠马路边很吵，无法睡，并且房间好多虫子。', '短评打分': 1}
{'短评内容': '挺不错的，如果在附近办事的话，那个酒店应该首选', '短评打分': 5}
{'短评内容': '订的毫单，结果没有了。321房间还有根柱子，房间看上去比较小。', '短评打分': 5}
{'短评内容': '价格比较便宜，靠近马路一侧的房间比较吵。', '短评打分': 5}
{'短评内容': '~,~挺好的，豪华间，不会吵，走廊偶尔才有人走动说话，就是床褥跟普通间无区别，电视不是液晶显示还有雪花。其它都挺好的。', '短评打分': 5}
{'短评内容': '装修一般，性价比不高，不过位置比较方便，周边比较热闹', '短评打分': 5}
{'短评内容': '很干净，一家三口住正合适，周围商店也很多，住行都方便。', '短评打分': 5}
{'短评内容': '酒店除了小一点，还是比较干净的，旁边也有很多吃饭的地方，总之还算不错的了。', '短评打分': 5}
{'短评内容': '豪华单人房，面积小，临街吵', '短评打分': 3}
{'短评内容': '酒店条件还行，单人房面积不大', '短评打分': 3}
{'短评内容': '房间新装修的，感觉挺现代的。酒店楼下就有超市，酒店后面就是生活小区，设施齐备，打车很容易。', '短评打分': 5}
{'短评内容': '交通便捷 房间一般 面积较小。。。。。价格适中  周围购物还可以', '短评打分': 5}
{'短评内容': '位处上沙村，音效很好，比如隔壁在洗澡还是。。一清二楚。服务很好，比如你要的东西统一用语：没有。卫生很好，每天都换床单让你轻松比较洗过之后上一个人的味还有多少。', '短评打分': 1}
{'短评内容': '环境不错，装修还行，后面吃的东西挺多的，也有便利店，总之挺方便的', '短评打分': 5}
{'短评内容': '单人房面积不大，普单/标单/豪单的面积都是一样的，就是楼层不一样。餐厅不能签单，房间里没有小吃，只有饮料。', '短评打分': 5}
{'短评内容': '客人反应不错，不次还会推荐客人入住。', '短评打分': 5}
{'短评内容': '总体来说还可以，大厅常量，服务速度较快。只是房间里显得比较局促', '短评打分': 5}
{'短评内容': '酒店位置比较难找，整体也比较简陋，性价比一般吧，应该不会再考虑住了', '短评打分': 1}
{'短评内容': '整体条件还可以，房间面积比较小，豪华单人房', '短评打分': 3}
{'短评内容': '非常一般，房间很小，装修好象10年前的。下次一定不会去了。', '短评打分': 1}
