{'短评内容': '厦门蓝湾半岛酒店 标准双床房', '短评打分': 5}
{'短评内容': '66666666666666666666', '短评打分': 5}
{'短评内容': '45555666', '短评打分': 5}
{'短评内容': '酒店的周边环境不是很方便 离街区比较远 早餐一般 房间设施比较旧且房间偏小 灯光感觉很暗 服务人员的态度倒是不错', '短评打分': 3}
{'短评内容': '前台那个女服务员真够垃圾的，狗屁不懂，房间也不行，性价比超低的，哎，下次再也不回去了，特别是那个女服务员前台的，向被狗R了！她真形象你们酒店形象', '短评打分': 1}
{'短评内容': '携程告知此酒店为四星级，但入住时酒店告知是按照四星标准的酒店。整个酒店真心不好，所谓的海景房，只是在酒店的“远处”有一片海，太差强人意了。最主要的是酒店旁边是高架桥，一晚上全是货车鸣笛，噪音很大。', '短评打分': 3}
{'短评内容': '佛', '短评打分': 5}
{'短评内容': '酒店硬件设施方面一般。服务态度非常好。唯一一点住房夜间有噪音', '短评打分': 4}
{'短评内容': '非常一般，设施陈旧，房间卫生及服务都不好。', '短评打分': 3}
{'短评内容': '不错，住着很舒服', '短评打分': 5}
{'短评内容': '房间一般，地板桌面都起皮开裂了', '短评打分': 3}
{'短评内容': '早餐都没东西吃，洗澡水一下热一下又变成冰水洗的都要感冒，服务员态度差，大冷天的连暖气都没有，问服务员说达不到开暖气的标准', '短评打分': 2}
{'短评内容': '交通方便，设施不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '首日有水果送，早餐还不错品种多', '短评打分': 5}
{'短评内容': '第一次住蓝湾半岛，感觉还好吧', '短评打分': 5}
{'短评内容': '房间舒适干净，有水果，还赠送了早餐。', '短评打分': 5}
{'短评内容': '酒店还可以啊', '短评打分': 5}
{'短评内容': '非常好，女朋友非常喜欢  离车站近   去万达很方便', '短评打分': 5}
{'短评内容': '就是个渣  别被名字和外观*了  就是宾馆级别    设备老旧  墙纸脱落   不要抱太大期望  空调都是坏的 前台都是sb   前一个说空调坏了   后一个更逗说什么天气不会热所以不开   你宾馆开门营业就要有空调   什么狗屁逻辑  旁边傻屌女前台就帮腔说它昨天晚上睡觉还盖被子  。你盖被子关我屁事？你宾馆开门营业就要有空调   懂？ 前台都是应付客人就是*   狗屁酒店  厦门宾馆都是渣', '短评打分': 1}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵或或或或花哈哈哈哈哈', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵或或或或花哈哈哈哈哈', '短评打分': 5}
{'短评内容': '服务态度很好，环境优美总体还不错?', '短评打分': 5}
{'短评内容': '什么都还可以 唯一感觉蛋碎的是走廊隔音不好 大清早就听到清洁阿姨在走廊声音好大的这个那个', '短评打分': 5}
{'短评内容': '不错  很好的  。。。，', '短评打分': 5}
{'短评内容': '位置有点偏，周围在施工，有些吵，但酒店还算干净。酒店居然有小强，有点出乎意料', '短评打分': 3}
{'短评内容': '位置不是太好，但酒店还算干净，周围在施工，有些吵', '短评打分': 5}
{'短评内容': '性价比高，就是没订到。。。', '短评打分': 5}
{'短评内容': '性价比高，就是没订到。。。。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '刚订，好不好只能住了再说！', '短评打分': 5}
{'短评内容': '环境还可以，价格实惠！', '短评打分': 5}
{'短评内容': '总体感觉还不错', '短评打分': 4}
{'短评内容': '酒店位置稍微有点偏，对面在修路，后面有学校，早上比较吵。房间还不错，床也比较软，睡觉很舒服，早餐品种有点少。', '短评打分': 5}
{'短评内容': '酒店卫生还好，房间设施就跟快捷酒店差不多，酒店附近有机场铁路公路，晚上外面声音较大，睡眠不好的人最好不要住，我早晨起来两眼通红。', '短评打分': 4}
{'短评内容': '帮同事订的，说房间不会大，其他还好', '短评打分': 4}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '环境都还不错，就是要住高一点，楼下有ktv，还是有一点噪音', '短评打分': 4}
{'短评内容': '卫生间没有门这个…有点', '短评打分': 4}
{'短评内容': '房間不錯，價格合宜，接送服務時間能再提前延後更好', '短评打分': 4}
{'短评内容': '性价比比较高  停车便利', '短评打分': 5}
{'短评内容': '交通便利 入岛 到机场只要20分钟', '短评打分': 5}
