{'短评内容': '随便住住不错的', '短评打分': 4}
{'短评内容': '一般般，装修太老了', '短评打分': 4}
{'短评内容': '早餐太简单了，卫生一般，前台要推荐办卡，说比艺龙订便宜，感觉不地道。', '短评打分': 3}
{'短评内容': '市中心，交通方便，设施齐全，价格优。', '短评打分': 5}
{'短评内容': '环境不错，可停车，没早饭吃了，价格合适，下次还再来住。', '短评打分': 4}
{'短评内容': '周边环境优，客房服务优，设备设施全！', '短评打分': 5}
{'短评内容': '空间很大，交通方便，离汽车站很近。吃饭也很方便，性价比很高。有很多招生的长期住在这里。', '短评打分': 5}
{'短评内容': '店里还可以，挺干净的。关键是 便宜，还有早餐，下次还住 中山之星洒店', '短评打分': 5}
{'短评内容': '酒店不错，位置很好，交通很方便，空调声音大了点，网络也稍慢，整体来说，还是不错的。', '短评打分': 5}
{'短评内容': '交通非常便利，房间比较大，但是早餐比较简单。', '短评打分': 5}
{'短评内容': '房间比较大，设施比较简单，早餐比较简单，总体性价比还是比较高！', '短评打分': 5}
{'短评内容': '性价比不错，早餐比较简单。。值这个价。。今天又续租了\n', '短评打分': 5}
{'短评内容': '便宜 宽敞 东西比较简单 装修·比较老 ·', '短评打分': 5}
