{'短评内容': '早餐一般，其他还好。', '短评打分': 4}
{'短评内容': '酒店早餐太一般了！凉拌菜就是咸菜！早餐种类也不丰富！不好吃。带孩子应该没问题，酒店位置有点偏，不是在永济市中心。', '短评打分': 4}
{'短评内容': '棒棒的棒棒', '短评打分': 5}
{'短评内容': '空调不能设定，晚上有点冷，早餐一般般', '短评打分': 3}
{'短评内容': '早餐可以，有停车场，加床不知道，位置闹中取静，总体感觉很好，服务态度很好，换了三回房间，都很有耐心。', '短评打分': 5}
{'短评内容': '需要装修了', '短评打分': 4}
{'短评内容': '听名字国际 什么烂酒店 服务电话打不通 服务态度差 钱老贵还不如如家酒店', '短评打分': 2}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '据说曾经是当地政府指定接待酒店，环境格调均是当地档次较高', '短评打分': 5}
{'短评内容': '冬天白天没有暖气，房间很冷', '短评打分': 2}
{'短评内容': '安静，不错', '短评打分': 5}
{'短评内容': '还好！', '短评打分': 5}
{'短评内容': '还好，只是早餐不太如意', '短评打分': 5}
{'短评内容': '酒店在永济的西边，停车餐饮很方便，去各个景点半个小时左右，早餐种类有点少，淋浴确实忽冷忽热但不影响使用，', '短评打分': 5}
{'短评内容': '不错的酒店值得信赖', '短评打分': 5}
{'短评内容': '一直住', '短评打分': 4}
{'短评内容': '早餐不错', '短评打分': 3}
{'短评内容': '永济比较好的酒店，房间大，住的挺舒服，距电机厂近', '短评打分': 5}
{'短评内容': '房间还行，服务员的水平跟不上，最多四星。', '短评打分': 3}
{'短评内容': '房间比较大，装修亦可，但房间里没有坐的地方，来朋友很不方便', '短评打分': 5}
{'短评内容': '酒店不错，值得一住，当地最好的，价格很便宜。                   。', '短评打分': 5}
{'短评内容': '是到永济电机厂办事附近的唯一好的酒店，总体来说还可以', '短评打分': 5}
{'短评内容': '没见过这么差的五星级酒店，房间很小，吃晚饭报的菜价和结帐的菜价不一样，早上结帐搞了半天还刷错卡，真不知道这个五星级酒店是怎么评上的', '短评打分': 1}
{'短评内容': '性价比很高的酒店，是当地最好的一家酒店，五星级不到300元一天，很值得住一天享受一下。就是电脑的电源插座不是不间断电源，使用电脑会有点麻烦。', '短评打分': 5}
{'短评内容': '硬件还可以，服务有待提高', '短评打分': 3}
{'短评内容': '还可以吧 干净 整洁  服务也行 环境优雅   总体来说还是不错的', '短评打分': 5}
{'短评内容': '还是很不错的！服务态度还是比较好的！但是房间在打扫时所缺的没有添加，特别是纸巾。', '短评打分': 5}
{'短评内容': '小城市的酒店只能将就着住，设施、管理较差，但大堂不错。', '短评打分': 5}
{'短评内容': '永济黄河京都大酒店永济最好的宾馆，干净卫生，价格也不高', '短评打分': 5}
{'短评内容': '永济黄河京都大酒店永济最好的宾馆，干净卫生，价格也不高。', '短评打分': 5}
{'短评内容': '应该是在永济最好的酒店了，性价比很高，但是没赶上吃早餐就离开了', '短评打分': 5}
{'短评内容': '永济黄河京都大酒店（原海纳温泉国际大酒店）  这个酒店很好，就是打车费劲点。其他啥都好。', '短评打分': 5}
{'短评内容': '环境不错，附近吃饭地不多，出门车不好打', '短评打分': 3}
{'短评内容': '基本符合星级标准，干净整洁，环境优美，设施完善，交通便利。', '短评打分': 5}
{'短评内容': '永济最好的酒店，性价比还可以。早饭品种不多，床比较硬，', '短评打分': 5}
{'短评内容': '永济黄河京都大酒店（原海纳温泉国际大酒店）是永济最好的宾馆了。里面设施，服务都很不错。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '永济黄河京都大酒店（原海纳温泉国际大酒店），还算不错的酒店，就是打车不是很方便。这次去 里面的服务是非常的好。管理的也很不错。', '短评打分': 5}
{'短评内容': '环境还不错，吃的也行 这里是最好的宾馆了 价格稍微有点高吧  但是服务还算可以，打车也便宜。', '短评打分': 5}
{'短评内容': '硬件在永济来说算比较好的了。没办法，小城市。但软件需要跟上才行。', '短评打分': 5}
{'短评内容': '非常温馨舒适，值得推荐入住。', '短评打分': 5}
{'短评内容': '我退房都10天了，为什么还不返现呢', '短评打分': 3}
{'短评内容': '非常好的酒店，住681房间是个小标间，这样的价格我觉得很适合，一切都很好，值啊，下次一定还住这里。', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '去年我就住该店,今年也住该店,唯一的遗憾是:去年房间有电脑但上网需另付费,今年虽然提供网络接入,可没有电脑.', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，地理位置相对比较方便，下次还会去入住。', '短评打分': 5}
{'短评内容': '在永济市，这家酒店应该是最好的了。离开电机厂不远，价格比电机宾馆也贵不到哪里去，去电机厂公干的话，这里应该是最好的选择。\r\n离市区中心稍远，略有不便。\r\n酒店内装修装饰比较新，服务也可以，但是早餐样式不多，而且多以炒菜为主，选择上不是很多。', '短评打分': 5}
