{'短评内容': '环境还算干净，但是有点潮，设备比较简单，够用', '短评打分': 4}
{'短评内容': '设施比较久了', '短评打分': 5}
{'短评内容': '环境还可以硬件设施需升级', '短评打分': 4}
{'短评内容': '所有用品都要另外付钱很不爽 而且没有WiFi', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '选了一个中间的房间，没有光线和，通风也不是太好。所以味道有些大……其他的都没什么问题。都挺好的', '短评打分': 4}
{'短评内容': '酒店环境好，位置方便，性价比超高，出差必住。周围有超市，出门就是，离商场也近，喜欢逛街的首选，出行方便！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '房间一般', '短评打分': 1}
{'短评内容': '感觉住的环境一般，但比较方便', '短评打分': 5}
{'短评内容': '离弟弟家比较近所以选择的这里…', '短评打分': 4}
{'短评内容': '设施良好，入住舒适，价位适中，一次性用品收费略感不便。', '短评打分': 5}
{'短评内容': '帮同事订的，离长沙铁建很近', '短评打分': 5}
{'短评内容': '隔音差，卫生差，其他还行！', '短评打分': 3}
{'短评内容': '住了好几晚，某一晚突然发现床上有虫子，重新换床单、被套。有虫子，卫生差', '短评打分': 3}
{'短评内容': '该酒店有点偏，步行到恒生购物广场大概10分钟路程，打车不方便。房间卫生做的还可以，房间隔音效果也可以很安静！就是早餐真的不敢恭维，如果能提高一下早餐的质量就更好了！', '短评打分': 5}
