{'descr': '酒店不错，物美价廉，在高消费的城市里，这个价格是值得。', 'star': 5}
{'descr': '干净整洁', 'star': 3}
{'descr': '干净整洁', 'star': 3}
{'descr': '就简单一句话，这是我有史以来住过最不行的一次，打着北参的牌子其实就是私人旅社', 'star': 1}
{'descr': '第一次入住，酒店环境不错，很安静的。挺舒服。房间里也很好', 'star': 5}
{'descr': '第一次入住，酒店环境不错，很安静的。挺舒服。房间里也很好', 'star': 5}
{'descr': '环境卫生不好，前面写的是招待所，去了知道加的是地下招待所，潮湿，简陋，公用的洗澡间和卫生间太差。', 'star': 1}
{'descr': '实在失策订了这个，主要第二天要去机场快轨。靠近东直门方便，洗澡和厕所是公用的，房间是地下室。空调没到日子也不能开。只能凑活一晚。', 'star': 3}
{'descr': '不错，第三次入住，挺好的，下次还要住这里，', 'star': 5}
{'descr': '不错，第三次入住，挺好的，下次还要住这里，', 'star': 5}
{'descr': '我是4月13日入住的，4月14日早晨退的房，旅店条件不太好，房间很小，桌子和床都很旧，床不是很舒服，还好的是有窗子可以通风透气。总体条件就和前门五六十元一晚的小旅馆差不多。130一晚的价格有点小贵，不过东直门地铁站这儿旅馆有点少，如果要赶早班的飞机还是住他家算了，将就一晚，第二天早上好好赶飞机，常住就不推荐了。从旅馆到机场快线地铁站的入口步行5分钟就到了，再用5分钟就可以坐在快轨上了，快轨早上6点', 'star': 5}
{'descr': '没有暖气，太冷了，今天退房换一家宾馆', 'star': 3}
{'descr': '第二次入住，不错还返15元现金', 'star': 3}
{'descr': '第二次入住，不错还返15元现金', 'star': 3}
{'descr': '条件一般,交通方便,总得来说还可以.提前预定价格可能会低点.\n', 'star': 5}
{'descr': '在北京这个价钱也只能是这种招待所了  很简陋的地下室旅馆  \n不过有一点好  离地铁站很近  快走也就五六分钟就能到机场快轨入口处', 'star': 5}
{'descr': '这个宾馆最大的好处就是地理位置非常好，离东直门地铁非常非常近，但是环境真的很简陋........可是按照它所在的地段，120的宾馆也就是住这样的了.....如果不是像我们这样，晚上八点多才到北京，第二天六点多就得赶紧去赶飞机的，对时间有严格要求的，真的不建议住在这家。', 'star': 1}
{'descr': '太偏僻，周边也没有吃饭的地方，房间里还很冷。下次不会再住了。', 'star': 1}
{'descr': '太偏僻，周边也没有吃饭的地方，房间里还很冷。下次不会再住了。', 'star': 1}
{'descr': '就是70，80年代老电影里看见的那种及其简陋的招待所。从外面看过去，就是一个小卖部，走进小卖部，角落有个小门，打开小门下台阶，是一个很窄的走廊，这就是招待所，房间没有窗户，没有独立卫浴，一层一个厕所和洗漱间，热水自己用暖瓶打。房间里没有窗户没有通风，一张窗一个小柜子，一个电视。床边还有大管子，大阀门，大压力表。', 'star': 1}
{'descr': '还算干净，就是吃饭不方便', 'star': 3}
{'descr': '还算干净，就是吃饭不方便', 'star': 3}
{'descr': '很好啊！布局很有意思，就是地热太热啦~下次去还会住的！', 'star': 5}
{'descr': '很好啊！布局很有意思，就是地热太热啦~下次去还会住的！', 'star': 5}
{'descr': '条件太差了。。。房间里潮气很重，隔音也差，还有很多蚊子', 'star': 1}
{'descr': '我们是去锡林浩特出差的，工作地点就在贝子庙，酒店地点离贝子庙仅200多米，非常方便，酒店室内非常暖和，干净整洁，工作人员服务周到，价格便宜，性价比很高。其服务态度与其他饭店形成较为鲜明的对比，希望能够坚持下去，相信你们会有很好的经济效益的。下次来还住这里。', 'star': 5}
{'descr': '我们是去锡林浩特出差的，工作地点就在贝子庙，酒店地点离贝子庙仅200多米，非常方便，酒店室内非常暖和，干净整洁，工作人员服务周到，价格便宜，性价比很高。其服务态度与其他饭店形成较为鲜明的对比，希望能够坚持下去，相信你们会有很好的经济效益的。下次来还住这里。', 'star': 5}
{'descr': '经济实惠型酒店', 'star': 3}
{'descr': '经济实惠型酒店', 'star': 3}
{'descr': '干净卫生，地处闹市，僻临贝子庙，价格合理，值得推荐。', 'star': 3}
{'descr': '干净卫生，地处闹市，僻临贝子庙，价格合理，值得推荐。', 'star': 3}
{'descr': '很不错的酒店，很干净，老板人很好，非常漂亮！', 'star': 5}
{'descr': '很不错的酒店，很干净，老板人很好，非常漂亮！', 'star': 5}
{'descr': '从外观看酒店一般，不过进去以后房间很干净，卫生间环境也挺好，洗澡水很冲，虽然没有早餐，这个价位也很值。。', 'star': 5}
{'descr': '从外观看酒店一般，不过进去以后房间很干净，卫生间环境也挺好，洗澡水很冲，虽然没有早餐，这个价位也很值。。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '很好不错喜欢满意', 'star': 3}
{'descr': '很好不错喜欢满意', 'star': 3}
{'descr': '当时晚上的飞机，所以找了这里当小时房住了，主要是途便宜。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
