{'短评内容': '性价比很高的一家快捷酒店', '短评打分': 5}
{'短评内容': '不错！干净卫生！', '短评打分': 5}
{'短评内容': '位置可以，居住情况也可以！', '短评打分': 5}
{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '服务员很热情，入住离店很方便。', '短评打分': 5}
{'短评内容': '不错还可以', '短评打分': 5}
{'短评内容': '还可以不错的', '短评打分': 5}
{'短评内容': '不记得是第几次住了，感觉不错。价格也不贵', '短评打分': 5}
{'短评内容': '作为同类型的酒店（经济型），还是不错', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '酒店房间比较卫生，服务也不错。', '短评打分': 3}
{'短评内容': '交通便利，周边小吃比较多。性价比高', '短评打分': 3}
{'短评内容': '出差非常方便，吃饭地方多，下次来优先考虑。', '短评打分': 4}
{'短评内容': '还可以，第一天住房间还是不错的，第二天住就感觉卫生间有味道', '短评打分': 3}
{'短评内容': '楚都客运站对面，旁边就有小炒，空调效果不错', '短评打分': 3}
{'短评内容': '酒店虽小但房间不错，里面设施一应俱全，房间内部布置的得体大房，下次还会光顾…', '短评打分': 3}
{'短评内容': '总体还不错。比较舒服！性价比比较高。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错，很干净，很温馨', '短评打分': 3}
{'短评内容': ' 总体还行', '短评打分': 3}
{'短评内容': '昨天退房的收银员找我70里面有张20的假钱，当时拿的东西多又着急赶车没注意看。到车站买票别人都不要1眼都认出是假钱！那位女前台你可别说你自己也不知道是假钱啊？回家后气的把它撕烂了！那位女前台你说你什么素质啊？？故意给顾客假钱？？？大家吸取教训了啊', '短评打分': 1}
