{'短评内容': '哎，不想多说了！', '短评打分': 2}
{'短评内容': '挺好的，老板也很温柔', '短评打分': 5}
{'短评内容': '房间很温馨 超适合和闺蜜们一起住', '短评打分': 5}
{'短评内容': '老板娘的态度没得说的，很热情，很贴心！我们说有房间有蚊子还给我们了驱蚊水和一个神奇的药膏！房间都很有特色，也很温馨，就是卫生有点不尽如人意，有小蟑螂，枕头上有污渍，墙纸也有霉斑，可能装修时间比较久远，又在一层，有些问题避免不了。就性价比而言这家民宿还是很高的，有问题老板娘也会尽力给解决的。', '短评打分': 4}
{'短评内容': '房间很温馨，还有个小院子，就是房间外面的鹦鹉太吵，隔音效果有点差，早上隔壁七点左右就开始吵吵了，太烦', '短评打分': 5}
{'短评内容': '评价晚了，老板人很好，住的地方环境很不错，离景区很近，就在旁边～', '短评打分': 5}
{'短评内容': '跟朋友一起跨年的，价格不高，院子里的环境很雅致。就是空调有些不给力，其他都很好。', '短评打分': 5}
{'短评内容': '公司同事一起出游，选中了这家，果然挺不错的，在景区入口处，离酒吧街很近的，晚上也很安静，同事属轻睡型，第二天也说睡眠很好。', '短评打分': 5}
{'短评内容': '公司同事一起出游，选中了这家，果然挺不错的，在景区入口处，离酒吧街很近的，晚上也很安静，同事属轻睡型，第二天也说睡眠很好。', '短评打分': 5}
{'短评内容': '在西塘景点旁边，进出景区很方便。麻雀虽小，五脏俱全，院里的景色不错', '短评打分': 4}
{'短评内容': '客栈老板亲自到车站接我们，房间就跟图片一样，下次来还住这！', '短评打分': 5}
{'短评内容': '酒店比较隐蔽不大好找，最好能有指示牌 ，其他都不错', '短评打分': 5}
{'短评内容': '老板娘很热情，帮忙买门票，我们找不到路还亲自开车来带路。。就是隔音不好，外面有人说话听得一清二楚的。。', '短评打分': 5}
{'短评内容': '不错的，门口过了小桥就是景区。而且很安静，主人温柔的很，开车接送我们，还帮买了车票。', '短评打分': 3}
{'短评内容': '客栈就在古镇的其中一个入口处，比较方便，到的时候老板娘还开车来接的，服务还不错，至于住的环境，还可以吧，设计还行，有点感觉，但总觉得周末住不划算，100多还可以接受，200多总觉得贵啊！', '短评打分': 5}
{'短评内容': '客栈就在古镇的其中一个入口处，比较方便，到的时候老板娘还开车来接的，服务还不错，至于住的环境，还可以吧，但综觉得周末住不划算，100多还可以接受，200多总觉得贵啊！', '短评打分': 5}
{'短评内容': '＋房间在一楼很潮，几乎没怎么睡好觉，但小院的风景挺美的', '短评打分': 3}
{'短评内容': '房子设计的很有特点，水晶阁非常漂亮，离西塘景区非常近，唯一的缺点就是蚊子多了点', '短评打分': 5}
{'短评内容': '7.7号到的西塘，首先老板娘来的接的我们，老板娘很热情然后给了一些建议， 建议我们去吃哪家的芡实糕、哪家的臭豆腐。建议的一家叫八道菜的餐馆不是很好，菜贵且不好吃，以后家去西塘别去八道菜来。不知道是我们点的菜的问题还是别的什么原因。感觉戚家庄园店的房间还是有点小贵的，挺温馨的，要是再便宜一点就好了。', '短评打分': 5}
{'短评内容': '老板娘态度不不错，房间非常干净，每个房间独立的电热水器，离西塘景区的入口很近 \n但房间略微有些潮', '短评打分': 5}
{'短评内容': '老板娘态度不不错，房间非常干净，每个房间独立的电热水器，离西塘景区的入口很近 \n但房间略微有些潮', '短评打分': 5}
{'短评内容': '房间环境很好，很干净。只要过一个桥就能进入景区，但是很幽静。就是美中不足的就是要自己买黄牛票进去。', '短评打分': 5}
{'短评内容': '房间环境很好，很干净。只要过一个桥就能进入景区，但是很幽静。就是美中不足的就是要自己买黄牛票进去。', '短评打分': 5}
{'短评内容': '老板娘人超好，房间也很满意，出门就是景区后门，很是方便。以后还会再来，也会推荐给朋友的…', '短评打分': 5}
