{'短评内容': '一般般 感觉像贫民窟', '短评打分': 3}
{'短评内容': '在这个档次的酒店，也算还可以吧', '短评打分': 3}
{'短评内容': '挺不错的酒店', '短评打分': 5}
{'短评内容': '还可以，设施不是很新，早餐太一般了。', '短评打分': 4}
{'短评内容': '地理位置离火车站不远，环境还可以，值得推荐', '短评打分': 4}
{'短评内容': '热水不给力', '短评打分': 4}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '帮人订的，据说还不错，给个好评吧', '短评打分': 3}
{'短评内容': '호첼위치가 좋고 실내도 괜찮아요 가격도 저렴해서 좋읍니다.', '短评打分': 5}
{'短评内容': '大体可以，就是断热水了，不能洗澡。', '短评打分': 4}
{'短评内容': '酒店不错，性价比高，就是早餐场面壮观，要丢弃淑女绅士风度才能吃到，总体满意', '短评打分': 3}
{'短评内容': '比较别致，花墙纸很温馨\n', '短评打分': 3}
{'短评内容': '都还不错，服务也挺好，环境也可以，有送餐服务，价格相对高一点点！', '短评打分': 5}
{'短评内容': '还可以了，就是空调有点不给力，微潮。', '短评打分': 3}
{'短评内容': '很好\n签名:聚朝', '短评打分': 3}
{'短评内容': '酒店装修设施都不错，就是太脏了，卫生死角多，管理应该多加强，浴室地砖缝里都长绿毛了，餐厅椅子布应该清洗，脏的都看不到原来的色了，早上去收碟子的餐车筐子脏的和路边垃圾箱一样，正在用餐的顾客看到后还有食欲吃饭了吗，还有去定房的一定要单号房，双号房靠路边太吵了，酒店隔音非常不好。只是建议，希望你们酒店改进，那样估计平日价位高点也会有很多人光顾的。', '短评打分': 5}
{'短评内容': '酒店不错很干净', '短评打分': 3}
{'短评内容': '交通很方便，也是靠近市中心的，离新都汇步行也就十分钟左右，酒店工作人员服务态度也很好，干净卫生，价格也实惠。', '短评打分': 5}
{'短评内容': '很温馨，服务很周到。有些童话色彩 但是图中的圆床没有享受到，呵呵', '短评打分': 5}
{'短评内容': '酒店被子比较舒服，一进房间就有电话问要不要保健按摩', '短评打分': 5}
{'短评内容': '第一天住进去没热水，很不方便，服务员说的8点可以修好，但是一晚上都没修好', '短评打分': 5}
{'短评内容': '非常好的酒店，只可惜只有洛阳有。酒店温馨干净，有家的感觉', '短评打分': 5}
{'短评内容': '环境还可以，就是床垫太硬了', '短评打分': 3}
{'短评内容': '宾馆为新装修的，非常干净。但刚进门时有些装修的油漆味道。交通也很方便，离火车站汽车站都不远。', '短评打分': 5}
{'短评内容': '這是一家商務酒店,房間還算亁淨,這個價錢絕對值得,但最壞是不停有人囌擾,定要跟進.', '短评打分': 5}
{'短评内容': '酒店还可以，交通也算方便，因为牡丹花会，所以价格比较高', '短评打分': 5}
{'短评内容': '酒店工作人员态度尚好，房间整洁干净，但是酒店所处地段太吵闹，一边邻街在施工一边整夜有火车通过。', '短评打分': 3}
{'短评内容': '装修有特色，硬件和早餐还该进空间。', '短评打分': 3}
{'短评内容': '装修还行，床比较硬，空调不错~装修很田园范~', '短评打分': 3}
