{'descr': '一米二的床 一个人入住还可以 空间不是很大 卫生条件干净整洁 温馨型的房间 挺不错的 有俩人或带孩子的建议定3人间 或者大床房', 'star': 4}
{'descr': '无早，不能加床，非常适合带孩子，酒店位置好', 'star': 5}
{'descr': '不错，性价比好', 'star': 4}
{'descr': '挺好的', 'star': 4}
{'descr': '性价比超高的。非常喜欢', 'star': 5}
{'descr': '不错，挺干净，挺方便', 'star': 5}
{'descr': '还行吧 习惯好评', 'star': 5}
{'descr': '一点都不好，房费贵，比旅馆还差，还酒店。呵呵，下次不会来了。', 'star': 5}
{'descr': '还行吧，便捷旅店，整体来说环境各方面都还可以，除了发小卡片的', 'star': 5}
{'descr': '整体感觉实惠，性价比超高，其他的凑合吧，', 'star': 5}
{'descr': '价格便宜，经济实惠。', 'star': 5}
{'descr': '比较干净，有时候人太多吵的很', 'star': 3}
{'descr': '凑合', 'star': 3}
{'descr': '便宜.不讲究的话可以住住', 'star': 2}
{'descr': '房间不隔音', 'star': 4}
{'descr': '还不错', 'star': 5}
{'descr': '不错，住了很多次了。', 'star': 3}
{'descr': '其它的均较好，就是晚上有嘈杂的声音，据说是在酒吧上班的打工仔打工妹下班所致。', 'star': 5}
{'descr': '住的是129的房间,房型比较小巧,适合一个人出差的住,总体比较满意的', 'star': 5}
{'descr': '房间不大,但感觉挺好', 'star': 3}
{'descr': '住的是129的房间，感觉不错，虽然在9楼，临近一个酒吧，不过不吵挺安静的，以后还会继续入住', 'star': 3}
{'descr': '酒店位置不错  交通也很方便  就是房间没有自带烧水壶  是共用的   不是很方便  \n其他都可以  不错', 'star': 5}
{'descr': '这家酒店价格实惠，在市区出行方便，适合你', 'star': 5}
{'descr': '地段不错，就在南大街口上，交通便利，吃饭方便。房间还可以，就是发小广告的太多，直接塞门缝隙里了。', 'star': 5}
{'descr': '经济实惠，离广化街小吃街很近  交通便利 ', 'star': 5}
{'descr': '房间偏小，不过闹市区，这个价格，也就这个消费了', 'star': 5}
{'descr': '不错，便宜', 'star': 3}
{'descr': '去住过2次，觉得挺不错的~~\n也推荐给朋友一起住，哈哈！！\n价钱比较合适~~', 'star': 5}
{'descr': '经济快捷，一般般吧，适合一个人出差使用。', 'star': 5}
{'descr': '还行吧！就是隔音效果差了！只是落脚而已！凑合着吧！哎呀呀！', 'star': 3}
{'descr': '房间很小，连最基本的洗漱用品完全没有，毛巾也只有一条，，，，隔音效果也很差,\n\n洗脸池小的很，ID99酒店也太简陋了。不适合我们出差人住，不推荐呀  同等价位不如百时快捷', 'star': 1}
{'descr': '感觉很不错，很清新，整个很干净，适合年轻人。', 'star': 3}
{'descr': '不错啊，服务相当好，热情洋溢，给我们介绍了当地的小吃，并告诉我们去的路线。热水不错，空调不错。物有所值啊。', 'star': 5}
{'descr': '离市中心南大街和美食街很近，房间很小丹还算干净，适合一个人自助游', 'star': 5}
