{'短评内容': '性价比很高，在京东上定，还有优惠！', '短评打分': 5}
{'短评内容': '好评，', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '位置不错，出行方便快捷', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还不错啊，位置很好，价格实惠', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '感觉还好，交通便利，就是有点小贵', '短评打分': 5}
{'短评内容': '房间卫生还不错，前台的美女态度也挺好的，每次来南京都在这住', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '一般住酒店没什么问题我都是直接全五分好评的，因为懒得打字。但是入住这家实在弄得我很是不爽。首先吧，设备设施我给三分。主要是在于，床头居然没有插座。这也就算了，为什么会把灯的开关设计在睡觉头顶的位置而不是床的两侧？你们想象一下你睡觉的时候一排开关在你头顶是什么体验。其次，服务如果选我想给零分。说实话，我入住一般没什么特殊要求，顶多从酒店订个饭或者买个小商品啥的，都很少跟前台打电话。于是，这次碰到最奇', '短评打分': 3}
{'短评内容': '位置挺好，离地铁也近', '短评打分': 4}
{'短评内容': '门口有暖和的养生茶，不错', '短评打分': 4}
{'短评内容': '住了几次，出差住住挺实惠', '短评打分': 5}
{'短评内容': '环境不错，价格优惠', '短评打分': 5}
{'短评内容': '总体感觉非常一般。客观的说至少此家速8完全不是其他连锁酒店的竞争对手，服务意识淡薄：1、基本所有连锁快捷酒店都基本标配的房间赠饮瓶装纯净水此间没有2、房间里的洗发水和沐浴露居然还是小小的一袋，不知道你来个瓶的能浪费你多少3、刷卡办理入住，被前台告知刷卡请交押金100，多要一张门卡告知请交押金100。请问我刷的不是人民币吗？你受那么多100不用退的吗？我不麻烦你自己也不觉得麻烦吗？', '短评打分': 4}
{'短评内容': '老城区的东西就是那样子，能住，倒是不怎么样，味道有点重，不知道是不是房间的问题', '短评打分': 3}
{'短评内容': '单位出行，各种合适，方便，值得推荐', '短评打分': 5}
{'短评内容': '单位商务出行，反馈不错，值得推荐', '短评打分': 5}
{'短评内容': '我是在携程上订的，原本没有特别要求，只要距市中心近，游玩方便，住下以后发现确实不错。位置好，周围几个景点都很方便，走路也不远。临街但还算安静，价钱也不算贵，房间挺干净的，周边吃饭的点也很多。值得推荐', '短评打分': 4}
