{'短评内容': '非常非常垃圾的酒店，居然没有热水，也不提前通知，晚上11点多到，只能将就着住了，房间霉味很重，不推荐这家！', '短评打分': 1}
{'短评内容': '不是很好的房间，有点老旧。', '短评打分': 4}
{'短评内容': '太辣鸡了这家店，店里没毛巾和浴巾的，跟前台说了也不理，打了3次电话才拿来浴巾。毛巾没有。房间没纸巾，只有卫生间有，住过最差的酒店，没有之一！！', '短评打分': 1}
{'短评内容': '价格实惠！房间够大！就是太旧了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '其实挺好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好，多次来住了', '短评打分': 5}
{'短评内容': '和朋友一起来玩的，住的好舒服，好大好大的房间，好大好大的床，太喜欢了', '短评打分': 5}
{'短评内容': '环境地段都还好吧！吃小吃最方便了。', '短评打分': 5}
{'短评内容': '周边较乱，其他正常，位置不太好找！第二次住！二次心情大不同！', '短评打分': 4}
{'短评内容': '周边是市场所以热闹，购物方便，环境普通', '短评打分': 3}
{'短评内容': '如果是平日里的就更划算', '短评打分': 4}
{'短评内容': '还不错，住过好几次了', '短评打分': 5}
