{'短评内容': '偏僻，设施还好，价格还好', '短评打分': 4}
{'短评内容': '有停车场 房间超大 很舒服 周边还没发展起来 都建设好了会很漂亮', '短评打分': 5}
{'短评内容': '不错就是位置偏', '短评打分': 5}
{'短评内容': '的长干净，周边安静。', '短评打分': 5}
{'短评内容': '酒店新，周边环境好，房间干净，但在开发区，周边配套少，入住后只能在周边活动。入住高新区的住这里合适，推荐', '短评打分': 5}
{'短评内容': '每年去灵山 都会住这里 性价比高 墙裂推荐', '短评打分': 5}
{'短评内容': '环境不错 可以的。', '短评打分': 5}
{'短评内容': '这个酒店环境不错啊，对着窗子sm', '短评打分': 5}
{'短评内容': '很好，满意，很好。', '短评打分': 5}
{'短评内容': '环境不错。就是离景区太远了。定的时候没查好路线。', '短评打分': 5}
{'短评内容': '真好，京东订酒店比其他网站放心，酒店真的好，泳池特棒！孩子们喜欢，比较安静，新酒店，房间内有三人沙发，不错！', '短评打分': 5}
{'短评内容': '可能是因为交通的关系，所以住的人不是很多，其实配套设施和服务都很不错，是性价比极高的一家新酒店，很满意。', '短评打分': 5}
{'短评内容': '很好，安静，停车方便', '短评打分': 5}
{'短评内容': '我觉得挺好的，早餐挺不错。', '短评打分': 5}
{'短评内容': '硬件不错，周围太荒', '短评打分': 4}
{'短评内容': '酒店性价比很高，床垫简直完美。前台帮换到高楼层，景观好的一面，感谢~周围是软件园，空了点，但因此有了性价比。早餐品种丰富，现做餐饮有好几处，然而吃下来觉得味道真心一般，味噌汤也淡得像水。重点是应该是由于铂尔曼自身装修上的硬伤，酒店隔音效果极差，半夜1:30左右被一个老男人打电话声音吵醒，以为是在走廊打电话还打电话给前台投诉，结果早上才发现他就是在卫生间打电话，说话几乎完全能听清，更有甚家人说等我睡', '短评打分': 5}
{'短评内容': '酒店软硬件都非常不错，服务到位，早餐也比较好，上一家性价比很高的酒店。', '短评打分': 5}
{'短评内容': '环境优雅，适合开车游玩，房间设施非常新，酒店服务人员态度热情，但是早餐排队时间太长了，下次还会再入住。', '短评打分': 5}
{'短评内容': '很好的酒店，还会入住。', '短评打分': 5}
{'短评内容': '完美的酒店，健身房游泳池很赞。', '短评打分': 5}
{'短评内容': '性价比超高，但是真的有点偏了，周围都是荒地和别的酒店', '短评打分': 4}
{'短评内容': '离上班地方近，以后出差还会选择', '短评打分': 5}
{'短评内容': '出行不错的选择，离公司近，以后出差还会选', '短评打分': 5}
