{'descr': '房间卫生好.服务态度好', 'star': 5}
{'descr': '真的干净，住着舒适，环境好出差必备的好如家，还有免费的水喝中央空调也暖和，网络信号还强，下回我还会光临本店', 'star': 5}
{'descr': '价格好服务好', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '一直喜欢的如家', 'star': 4}
{'descr': '服务很棒，房间也很干净舒适呢', 'star': 5}
{'descr': '很舒心', 'star': 5}
{'descr': '酒店条件一般，地理位置还不错', 'star': 5}
{'descr': '酒店条件一般，地理位置还不错', 'star': 5}
{'descr': '住的舒适 京东预订 棒棒哒', 'star': 5}
{'descr': '环境不错，喜欢如家', 'star': 5}
{'descr': '如家酒店一直都是很干净环境不错，服务态度也很好！', 'star': 0}
{'descr': '一般。 空调不行。  冷', 'star': 2}
{'descr': '好', 'star': 5}
{'descr': '服务质量卫生条件非常好', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '干净', 'star': 5}
{'descr': '行，干净，暖和', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '位置好，距江边较近。其它一班吧。反正白天也不在家，晚上回来洗澡还行。服务员不错，问问题很热情。卫生不太好吧，看着不太好。', 'star': 4}
{'descr': '一般般', 'star': 4}
{'descr': '不太好', 'star': 3}
{'descr': '还不错', 'star': 4}
{'descr': '总体还不错', 'star': 4}
{'descr': '房间还可以   就是不隔音', 'star': 3}
{'descr': '酒店很干净，尤其是枕头，特别的舒服，作为连锁酒店就应该关注枕头的舒适性，才能吸引更多的顾客。缺点就是房间很潮，不过没什么影响的。', 'star': 5}
{'descr': '首先  地理位置不错  窗子也可以  不是特别小  \n然后   墙皮掉灰了已经 大床218  房间不值这个价钱 \n       被子和床单上都有烟烫的洞 赚呢么多钱 就不能重新换一个', 'star': 5}
{'descr': '价格有些贵 服务态度还不错 帮我换了床单 枕套 。厕所下水有点味道', 'star': 5}
{'descr': '不错 环境挺好！就事有点小贵。出来旅游住还是不错的', 'star': 5}
{'descr': '房间大，干净，就是有点潮，可能是在江边的原因，总体感觉不错。', 'star': 5}
{'descr': '交通较为方便，干净也安静，不足就是电视有点小', 'star': 5}
{'descr': '位置很安静，也比较便利。最好打车过去，离火车站近，没有特别直接到达的公交', 'star': 3}
{'descr': '环境不错，但感觉价格挺高。也许丹东这个城市酒店价格和物价不一致吧。前台服务不错，早餐不错。', 'star': 5}
{'descr': '离新玛特很近，距离江边有点远。环境一般般，服务还不错。自助早餐也很好。', 'star': 3}
{'descr': '本身丹东也不大，所以这里位置不错。周围吃饭的地方很多，也有市场很方便。酒店条件和其他如家一样。6月初入住的感觉被子有点热了，可以换薄的了。另外，房门很不隔音。', 'star': 5}
{'descr': '酒店好不错，干净也安静，不足就是电视有点小，位置也不是很理想', 'star': 5}
{'descr': '位置不错，也挺干净，住的大床房，朝西，能晒到太阳 房间挺干爽的，服务态度也可以，就是是觉得有点小贵~', 'star': 5}
{'descr': '\n如家酒店真如到家的感觉。干净，明亮。热水如意。下次还会来这。', 'star': 3}
{'descr': '床头没有插座不方便，卫生间下水不好。', 'star': 3}
{'descr': '在商业区，步行街附近，比较方便，价格还合理', 'star': 5}
{'descr': '房间很不错，不大，但是很温馨，服务也很周到，很满意', 'star': 5}
{'descr': '很不错~只是屋内空气不是很好~但是店方很我换了一间很满意！！地理位置非常好，在车站和商业街的中间，极为方便！', 'star': 5}
{'descr': '环境很不错，周围也方便购物，服务也可以，支持一下', 'star': 3}
{'descr': '交通十分方便，紧邻新玛特，新柳商业街，可以一点前退房，房间在经济型酒店中算比较宽敞的。总体不错。我的床单是破的，希望有所改善！', 'star': 5}
{'descr': '不错，住过很多次了，每次来丹东出差基本都住这里。其实也没什么可以评价的，全国如家基本上都差不多~', 'star': 5}
{'descr': '位于老城市中心繁华地段，出行方便，旁边就是新玛特购物中心，步行到江边不到十分钟，江对面就是朝鲜小别墅。客房物品干净整洁，梳子不怎么好，打开包装梳理一下就掉齿了，电视不是液晶的，有的频道有雪花点。25平的空间，刚刚好。办理入住较快捷。服务态度较好。并主动提供发票。', 'star': 5}
{'descr': '习惯住如家了，价格也比较适中，最主要的是全国标准一样，卫生条件有保证，所以，我出差基本上都选择如家快捷性酒店，如果含早餐就更好了！', 'star': 5}
{'descr': '酒店不错，坏境幽雅', 'star': 3}
{'descr': '酒店环境卫生都不错，也特暖和', 'star': 3}
{'descr': '地理位置不错，离新柳步行街很近。酒店设施一般。床单非常不好，磨皮肤，睡一宿之后都起小红点了！！！ 不想再去了！', 'star': 1}
{'descr': '服务不错', 'star': 3}
{'descr': '位置很方便，卫生也不错，前台服务很好，虽然屋子的空间小了点，不过价格也合适。附近也有乐购等大型超市，向大家推荐', 'star': 5}
{'descr': '位置很好，在步行街附近，离火车站也不远.二楼有一家不错的餐厅，马路对面也有许多早餐店等小餐馆', 'star': 5}
{'descr': '干净，地理位子很好，在市中心，离鸭绿江边不远，走过去也就几分钟，而且吃东西方便，2楼有港式茶餐厅。很好很好。', 'star': 5}
{'descr': '如家的服务非常到位,为客户服务的非常周到,下次还要到如家住,好象回到了家!', 'star': 5}
{'descr': '酒店地理位置非常好、离步行街咫尺之遥。卫生条件也可以。以后有朋友来丹东还会住这里的。', 'star': 5}
{'descr': '............................................', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '环境很好，住宿条件也很好，地点也很好，出入逛街什么的都很方便，有机会会再次光临', 'star': 5}
{'descr': '房间很干净，就是房间不隔音。床很硬。其他的都很好', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '满意 ', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '其他的都还好，就是有时候网速慢的让人抓狂。', 'star': 5}
{'descr': '非常好的酒店，干净、房间大、设施新。吃饭和交通都非常方便', 'star': 5}
{'descr': '地点非常好，只是房间太小了', 'star': 3}
{'descr': '不错，在这个价位这的房间已经很不错了，而且现在又优惠活动，十分超值。客房暖气也挺足。总之，推荐~', 'star': 5}
{'descr': '不错，典型的如家风格。可惜的是不提供午餐和晚餐服务。', 'star': 5}
{'descr': '位置不错，地处市中心繁华区域，距鸭绿江步行10分钟。房价优惠较大，特推荐。', 'star': 5}
{'descr': '房间暖气很足，周边购物较为方便,光线较好', 'star': 5}
{'descr': '实惠方便,服务很好.连朝鲜人都住这里.离步行街很近,买东西啥的都好方便', 'star': 5}
{'descr': '地理位置不错 服务也很好 退房时候 还送了套如家的抵用券 期待下次入住', 'star': 5}
{'descr': '其他的一切还好，就是房间里面的味道难以忍受，第一天是强烈的烟味，后两天是强烈的厕所味。', 'star': 1}
{'descr': '卫生、位置都不错，就是没有停车位和早餐，令人遗憾。', 'star': 5}
