{'短评内容': '还不错环境。卫生也挺好', '短评打分': 5}
{'短评内容': '还不错，位置很好。', '短评打分': 5}
{'短评内容': '一般般，没热水', '短评打分': 4}
{'短评内容': '环境很好，各种设施，什么都比较多，而且好，因为堵车，来的迟，但是店主依然很热心的帮助，接待我们，还为我们找第二天的住宿地，大理这个地方，真的很好', '短评打分': 5}
{'短评内容': '好好好好好特别好', '短评打分': 5}
{'短评内容': '挺喜欢的，房间布置得很温馨，价格也很实惠，性价比很高，服务态度也很不错。 ', '短评打分': 5}
{'短评内容': '还行，早上才到，只用了几个小时', '短评打分': 3}
{'短评内容': '客栈，入住体验不错，值得推荐。。。。。', '短评打分': 3}
{'短评内容': '热水小，靠马路晚上又游客吵闹，白天很早旅游大巴，货车等太多非常闹！不过老板态度很好！', '短评打分': 3}
{'短评内容': '干净，环境好，很方便，值得推荐。', '短评打分': 5}
{'短评内容': '，老板很热情，在他家可以买到所有景点门票和回大理的车票，很方便，很适合我们这种带小孩单独出来玩的，住的房间也可以，就是靠近路边很吵，早上7点就被吵醒了', '短评打分': 3}
{'短评内容': '还行吧！！！', '短评打分': 2}
{'短评内容': '地理位置一般，在北门边上，附近都在建设，脏兮兮的。老板人还行，老板娘非常差劲，推荐我们购买的票的都是贵的，比如洱海游，比门口其他家贵￥10。比网上贵好几十，另外还跟客人吵架，答应的付费送车不告诉我们就临时取消，总之大伙别去他家了。', '短评打分': 2}
{'短评内容': '很一般', '短评打分': 3}
