{'短评内容': '蛮好', '短评打分': 3}
{'短评内容': '蛮好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很旧', '短评打分': 3}
{'短评内容': '还不错，地点挺方便的。', '短评打分': 4}
{'短评内容': '还不错，住的挺舒服。', '短评打分': 4}
{'短评内容': '就这样吧', '短评打分': 4}
{'短评内容': '真心觉得好', '短评打分': 5}
{'短评内容': '朋友指定的酒店帮忙待定，情况不清楚，不过广州天河这个价位的酒店就不要奢望太多。', '短评打分': 3}
{'短评内容': '住过酒店中最差的，前台客服态度差到极点，只因在携程上订的，结果就非常不情愿接待。环境极差，看图就知道', '短评打分': 2}
{'短评内容': '设施有损坏…', '短评打分': 2}
{'短评内容': '给朋友订的，自己上去看了一下，图片的房间跟实际不一样，实际要小点，总体一般般，免费停车不错，房间小没有窗会有点压抑。在广州这个位置这个价格可以接受了', '短评打分': 5}
{'短评内容': '环境还行', '短评打分': 4}
{'短评内容': 'Z总体还行。', '短评打分': 4}
{'短评内容': '本来定了大床房的，到了居然说不小心给别人了，改成双人床，我擦，也没有提前跟我说，不知道是携程改的还是酒店人员自己改的，有点不尊重我们消费者的权益，随意更改。', '短评打分': 3}
{'短评内容': '房间新装修，还不错，就是交通不怎么便利，早上打车比较难打。还有就是早餐不是太丰富，希望能够有所改善。', '短评打分': 5}
{'短评内容': '价格很实惠的三星酒店,不过就是没有窗户,其余都很好.........', '短评打分': 5}
{'短评内容': '酒店位置不错，周围交通比较方面，晚上也很安静，但酒店内部卫生工作不够仔细，在枕头上有一根很长的头发，电视声音和图像都不同步，设施比较陈旧...性价比不高，还不如省点钱去附近的7天', '短评打分': 1}
{'短评内容': '不是本人入住，但是同事反应环境不是很好，希望改进!!', '短评打分': 1}
{'短评内容': '安静！舒适！出酒店后有地铁，公交，交通便利', '短评打分': 3}
{'短评内容': '房间面积大好', '短评打分': 3}
{'短评内容': '房间比较大，环境还比较安静，但设施有点陈旧了。', '短评打分': 5}
{'短评内容': '如果一百分满分，只能给50分吧~\n在的地方比较偏僻，找的话，比较麻烦！给客户打电话，他给我报的路还是错的。\n最后只能打12580，他们给的路是正确的，到地铁转公车才到的，离机场南大概有50多公里的路程。\n\n刚进大厅，气氛不是很好。有点暗，不过大厅比较大，一共有六楼！他们已经开店6年了。\n他们第一个给我开的房间是2楼的，进去一看就觉得很旧了，沙发还很旧。\n我在床上做了一下，居然咯子咯子的响，我怕睡不', '短评打分': 1}
{'短评内容': '很黑的酒店，退回来的压金竟然有假币。', '短评打分': 3}
{'短评内容': '电视声音和图像严重不同步，简直无法看。很安静，这点我喜欢。。。', '短评打分': 5}
{'短评内容': '房间比较大，早餐太简单，发票有时开不了，能急死人', '短评打分': 1}
{'短评内容': '感觉服务一般，前台接待态度时好时坏。发票有时开不了，催了很多次还是没开，最后只有亲自去取\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '位置还可以，条件一般，网速慢的像蜗牛，早餐就惨了点，有改善空间', '短评打分': 1}
{'短评内容': '商务房才有窗,整体感觉还行,位置在天河,也算方便', '短评打分': 5}
{'短评内容': '1.房间的隔音真的很糟糕，我住308，隔壁就是会议室。一早就吵得睡不了。不知道其他楼层的房间是否一样？\n', '短评打分': 1}
{'短评内容': '清洁安静，交通比较便利。早餐很差劲，无法进食。服务员的态度有待于提高。', '短评打分': 5}
{'短评内容': '还行！就是定的时候有电脑，住的时候就没看到电脑！', '短评打分': 3}
{'短评内容': '环境不错，空间挺大。位置有点偏。找半天才找到。酒店的沐足关闭了，旁边的忒不专业。', '短评打分': 5}
{'短评内容': '非常脏， 枕头有很重的气味， 房间也非常差劲， 原来定3天的， 我一进去就想走了， 交涉半天不退房费，住了一天', '短评打分': 1}
{'短评内容': '比较差，很不方便，服务人员完全不懂英文，还接广交会的单，老外入住很不方便', '短评打分': 1}
{'短评内容': '替客户订的。比较满意。\n不足之处：据说酒店前面有点脏乱，毕竟是关系到客户到酒店的第一印象，所以卫生还是保持下比较好。', '短评打分': 5}
{'短评内容': '地方太偏僻，房间小，装修旧，服务差。收费偏高，只适合小情人们约会，因为太难找了', '短评打分': 1}
{'短评内容': '房间不错,但是交通不太好,有点入,总体来说还可以的', '短评打分': 5}
{'短评内容': '还不错，服务还可以 。热情。周到；！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '这次还可以··好像是重新装修过··以后会考虑再去··', '短评打分': 5}
{'短评内容': '我订的是商务套房，总体感觉是除了空调噪音大外，其他都还不错。如床超大，房章超大。早餐种类不多，但也满足需要。总之性价比高。', '短评打分': 5}
{'短评内容': '房间够大，便宜，有早餐，可以多开那什么，推荐下下吧，只是比较难找酒店方位', '短评打分': 5}
{'短评内容': '还不错，就是比较难找,房间挺大，去的时候在装修走廊，设施齐全，环境安静，早餐也挺丰富，总之还可以', '短评打分': 5}
{'短评内容': '酒店周围环境都不错，客房还算舒适，就是早餐差了点！服务还有待提升！', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '这次的价格还是不错的。就是酒店墙面在装修，走廊不是很干净', '短评打分': 5}
{'短评内容': ' 酒店安静，房间大，比较干净，价格合适。', '短评打分': 3}
{'短评内容': '交通还可以，靠近BRT和地铁车陂站，房间陈设比较老，被褥旧，整体感觉不好。完全不是三星级的标准，这个价格，不如省点钱 去7天 或者 如家。等', '短评打分': 1}
{'短评内容': '差劲！连电视都是不清晰！叫服务员，不理不睬。象招待所。', '短评打分': 1}
{'短评内容': '房间很大环境不错，交通比较方便，价格适中可以选择', '短评打分': 5}
{'短评内容': '很好的。谢谢.我会下次再来的。。。蛮好的   啊   啊啊', '短评打分': 5}
{'短评内容': '+酒店房间旧了点，不过交通还方便', '短评打分': 5}
{'短评内容': '是给同事订的，只能说一般吧，因为价格的关系，也不能要求过多了。', '短评打分': 1}
{'短评内容': '环境一般般&#183;~~~还说豪华单人房~~~感觉标间就差不多', '短评打分': 3}
{'短评内容': '离开东圃交通枢纽站很近，附近就有直达机场的4号线大巴。酒店环境一般，部分房间有电脑，部分没有。性价比还行吧', '短评打分': 5}
{'短评内容': '比较靠近广州的东面，还比较好找。', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '性格比还可以的', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '什么都好，就是位置差，打的都找不到。', '短评打分': 5}
{'短评内容': '还说是豪华房呢~~~~太失望了~~~~', '短评打分': 5}
{'短评内容': '房间电脑颜色显示不正常，叫人调试也没调好，也没人再过问。', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 3}
