{'短评内容': '挺好的，干净无异味。亮点是那盆可爱的盆栽，绿油油的看着心情就好', '短评打分': 4}
{'短评内容': '内置不错，环境优美', '短评打分': 5}
{'短评内容': '没有早餐，出了能停车之外别的都不好，环境差，没加过床，酒店位置很偏僻，服务态度一般，床头没插座，从来没住过这么差的酒店', '短评打分': 5}
{'短评内容': '好…………………………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '不知道是几百年前装修的酒店，下次不要钱我都不去住，冲电的地方都没有，太差劲了，找到这样的酒店住，算是住过最差的酒店，唯一的就是有，地方停车', '短评打分': 2}
{'短评内容': '酒店比较旧，总体还可以', '短评打分': 4}
{'短评内容': '环境幽雅服务好价格低', '短评打分': 5}
{'短评内容': '第一次到泉州过来出差，房间够大，总体来说干静整洁，吃饭的地方在隔壁一条街，2楼应该是酒店，3楼是足浴按摩，电梯里充斥着小洗头城的感觉。总体还不错，房间不送水，要自己买，睡得还好！', '短评打分': 4}
{'短评内容': '住宿条件好', '短评打分': 5}
{'短评内容': '住宿条件好', '短评打分': 5}
{'短评内容': '设施很陈旧，光线也不好，', '短评打分': 3}
{'短评内容': '服务态度都还行，比较满意', '短评打分': 3}
{'短评内容': '比较老旧', '短评打分': 3}
{'短评内容': '卫生还行，服务一般，网上订的', '短评打分': 4}
{'短评内容': '酒店设施差', '短评打分': 3}
{'短评内容': '卫生条件、服务都不错，就是早餐可以提供面条就好了。', '短评打分': 5}
