{'短评内容': '去西安一直住的这家酒店，方便实惠！', '短评打分': 5}
{'短评内容': '还行吧！！', '短评打分': 4}
{'短评内容': '差评，卫生间坏的，有股味道很难闻', '短评打分': 1}
{'短评内容': '', '短评打分': 3}
{'短评内容': '就是那样吧，与价格成正比，期望不要太高，个人感觉早餐还不错', '短评打分': 4}
{'短评内容': '?????', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '住宿的环境非常好', '短评打分': 5}
{'短评内容': '酒店设施齐全，位置很好找。早餐虽较简陋，但是很合口味，不错，赞一个!', '短评打分': 5}
{'短评内容': '总体评价一般般，卫生状况还行，交通比较便利。', '短评打分': 4}
{'短评内容': '出差住宿的地方，感觉到很好，干净卫生整洁有序，因为经常出差，如果再有机会去，还会选则住在这里，好评！', '短评打分': 5}
{'短评内容': '房间味道太大姐', '短评打分': 2}
{'短评内容': '酒店离大学城很近 旁边有很多吃饭的 很方便 设施卫生也比较好 性价比高', '短评打分': 4}
{'短评内容': '这个价钱，只为附近办事方便。', '短评打分': 3}
{'短评内容': '是周边较好的一家', '短评打分': 3}
{'短评内容': '酒店卫生一般，设施也一般，', '短评打分': 3}
{'短评内容': '酒店靠近出口加工区，楼下餐馆性价比不错，房间卫生条件马马虎虎了，服务不错。', '短评打分': 4}
