{'短评内容': '不错的酒店，服务好', '短评打分': 5}
{'短评内容': '酒店环境可以，服务态度也好，价格合理', '短评打分': 5}
{'短评内容': '都还不错的啦', '短评打分': 4}
{'短评内容': '很一般，感觉老旧', '短评打分': 3}
{'短评内容': '还凑合，对得起这个价格。哈哈', '短评打分': 4}
{'短评内容': '地方不错，离市区较远。干净，房间赞', '短评打分': 4}
{'短评内容': '好像都匀、一次不能容忍你就不能不', '短评打分': 5}
{'短评内容': '东西掉酒店了，查房竟然没有查出来，酒店电话还打不通。', '短评打分': 1}
{'短评内容': '不想多说 服务质量太差', '短评打分': 3}
{'短评内容': '酒店周围环境一般，打车很多司机都不愿意去，要么就是不知道酒店在哪里？前台服务也不太好，总之性价比不高', '短评打分': 3}
{'短评内容': '房间一般，卫生间太小了，价格还算实惠，停车方便', '短评打分': 3}
{'短评内容': '前台服务不好，问个话像欠她的，酒店本身还是可以，但是不知道为什么我们打的很多司机都不知道在那里？', '短评打分': 4}
{'短评内容': '服务态度还是可以就是设施太差就是居民楼改建的客房．隔音差卫生间小．1百多的房在贵阳也就是这样了', '短评打分': 2}
{'短评内容': '性价比一般，停车很方便，还算可住', '短评打分': 3}
