{'短评内容': '一般般吧 有点旧……', '短评打分': 4}
{'短评内容': '服务态度好，服务的姑娘很有耐心，环境舒适，交通方便，来得比较晚，不知道周边吃的如何，白天得去视察下，', '短评打分': 5}
{'短评内容': '棋牌房蛮好，卫生间太小，设施太旧', '短评打分': 5}
{'短评内容': '总的来说可以，就是卫生间太小了，设施太旧', '短评打分': 5}
{'短评内容': '早餐比较丰富，干净！', '短评打分': 5}
{'短评内容': '房间很大 地理位置优越', '短评打分': 4}
{'短评内容': '房间很大 地理位置也很好', '短评打分': 4}
{'短评内容': '酒店位置挺好，离南湖景区四，五百米，闹中取静。这是一个老酒店，设施有些陈旧，但服务态度还是挺好的。性价比高。', '短评打分': 4}
{'短评内容': '卫生不怎么好', '短评打分': 3}
{'短评内容': '住过的最差的酒店！没有之一！', '短评打分': 1}
{'短评内容': '一般，有点老了。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '墙皮掉渣子，装修不好，隔音不好，房间有异味', '短评打分': 1}
{'短评内容': '不错，加油！！', '短评打分': 4}
