{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。 服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。', '短评打分': 5}
{'短评内容': '一般，', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '狗才住的地方，女前台抢钱，不知道这破酒店老板知不知道。', '短评打分': 1}
{'短评内容': '哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '全是毛发，卫生非常差，有酒店会员卡还不能延迟退房时间，就因在中介网预定，酒店管理没有人性化，根本没有服务可谈。', '短评打分': 2}
{'短评内容': '酒店位置一般，附近没什么吃的，距离地铁站步行10分钟路程，房间重新装修过，卫生还不错，早上还有早餐吃。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不好不坏', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '换名字了', '短评打分': 3}
{'短评内容': '性价比挺高的，地处荔港南湾旁边容易找，服务员挺热情的，装修还算比较新', '短评打分': 5}
{'短评内容': '感觉不错，大家可以体验一下', '短评打分': 5}
{'短评内容': '很好，满意', '短评打分': 5}
{'短评内容': '酒店标准房，缺点少了一台电脑。虽然客人很少用了，但是摆设要有的。', '短评打分': 4}
