{'短评内容': '一如既往的支持', '短评打分': 5}
{'短评内容': '交通便利，打扫干净。前台接待态度不错，晚上有保安，服务态度也是好的。距离地铁非常近，出行方便。房间有点吵，不安静。', '短评打分': 4}
{'短评内容': '房间太吵了，真的是睡不着啊。位置还是可以的出门就是地铁站', '短评打分': 3}
{'短评内容': '比其他经济型酒店好很多！', '短评打分': 5}
{'短评内容': '每次来上海，都住这里。舒适方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很棒！很干净', '短评打分': 5}
{'短评内容': '服务好！', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '房间干净，服务台贴心温暖，就在地铁口旁，交通非常方便。', '短评打分': 5}
{'短评内容': '非常非常不错的酒店11111……', '短评打分': 5}
{'短评内容': '竟然发展现虫子，晕死， 服务员态度也待答不理！！！！！ 不过房间很大，这种价格的房子在上海不多见。', '短评打分': 4}
{'短评内容': '帮同事订的，离办事的地方稍近，其它谈不上。', '短评打分': 4}
{'短评内容': '距离漕河泾开发区走路10分钟、附近餐饮方便，房间较大、只是洗澡水不热！', '短评打分': 3}
{'短评内容': '不错实惠，酒店也不错', '短评打分': 5}
{'短评内容': '住着还可以，设备比较旧一些，整天还是可以的，性价比不错，交通、餐饮也很方便', '短评打分': 5}
{'短评内容': '住着还可以，设备比较旧一些，整天还是可以的，性价比不错，交通、餐饮也很方便', '短评打分': 5}
{'短评内容': '这家酒店还可以，白天的时候有点吵，但是到了晚上就很安静，还是值得推荐的，而且离我去的地方很近，很方便，地铁站离酒店就一公里多点的路吧！环境还是可以的！', '短评打分': 5}
{'短评内容': '设备陈旧，房中有霉味，向古美路一边的房间很吵，空调热气不足。周围生活方便。', '短评打分': 1}
{'短评内容': '设备老旧，不少都是“带病工作”（很容易出现各种各样的问题），房间有挺大的霉味和烟味，电视信号很差，叫修也修不好。只是外部周边环境方便，挺好的。', '短评打分': 1}
{'短评内容': '房间有味道，不想再去。\n服务态度也不是很好！ ', '短评打分': 1}
{'短评内容': '房间不是很大，但是卫生还可以，就是临街有点吵。', '短评打分': 5}
{'短评内容': '宾馆临街，早上比较吵。入住的时候正赶上餐厅装修，早餐只能啃面包了，没有大的餐厅，午餐和晚餐得到外面吃。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境不错哦！挺干净的。很舒服。就是离地铁有点远，打的最少14元。', '短评打分': 5}
{'短评内容': '房间的配套设施还是挺齐备的，而且整体格局布置的也都很合理.住着还可以.', '短评打分': 3}
{'短评内容': '酒店配置硬件齐全，舒适度也还好，就是软件管理方面需要加强。', '短评打分': 5}
{'短评内容': '卫生还不错，房间算的上干净整洁。硬件齐全达标。', '短评打分': 5}
{'短评内容': '房间的面积比较小。卫生服务都还不错，配置硬件设施也比较达标，当时去看世博到会场开车大概15分钟还是比较方便的可以推荐入住！', '短评打分': 5}
{'短评内容': '卫生和设施都还可以，内部环境还不错服务态度也还可以，位置和价格都还是挺符合的，总体感觉还不错。', '短评打分': 5}
{'短评内容': '热水和空调都能用，就是住到第四天的时候，热水有点少了，其他都不错，整体满意。', '短评打分': 5}
{'短评内容': '我去年住的时候，附近在修路，早上有点吵，就酒店本身而言，可以。', '短评打分': 5}
{'短评内容': '酒店整体还好，有热水和空调，就住了一晚，其他也没什么特别的了。', '短评打分': 5}
{'短评内容': '简单，干净，价格实惠！', '短评打分': 5}
