{'短评内容': '不错，交通方便', '短评打分': 4}
{'短评内容': '老板很热情', '短评打分': 5}
{'短评内容': '热水供应不足，应该是电热水气吧，热水5分钟就没了，洗澡跟赛跑拟的。房间小，没窗，一点不隔音。2百元可能就这样房间。', '短评打分': 3}
{'短评内容': '位置特别不错，房间不大但是很够用', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '我们住双床房，房间比较小，有独立厕所，环境一般般，价格感觉挺优惠。住二楼，联通很方便，出去就可以逛街了', '短评打分': 4}
{'短评内容': '住宿条件还可以，感觉比想象中的好，老板也很热情', '短评打分': 5}
{'短评内容': '在商业街旁边，这个价格也还行，住宿环境比想象中的好一点', '短评打分': 5}
{'短评内容': '还不错，挺好的酒店。我喜欢', '短评打分': 5}
{'短评内容': '在香港这个价位很好了 干净 离地铁很近', '短评打分': 5}
{'短评内容': '还可以，就是没住过', '短评打分': 5}
{'短评内容': '干净，整洁', '短评打分': 5}
{'短评内容': '环境差的不能再差了', '短评打分': 1}
{'短评内容': '普通的小旅馆，香港寸土寸金，跟内地没法比，不过交通确实便利，吃饭地方也很多', '短评打分': 3}
{'短评内容': '环境好，服务好，赞，下次还会继续订这里。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店环境不错，比我想象中要大，房间整体算干净。楼下有家吃粉面饭的，味道不错也好吃，附近有药房，麦当劳，便利店，还算方便。整体挺满意！', '短评打分': 5}
{'短评内容': '香港的旅店都差不多。都是比较小。这次安排了靠马路边的，比较嘈。旅店地址对于旅游购物还是比较方便。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置好，交通方便，这个价格也就这样', '短评打分': 3}
{'短评内容': '位置不错，就是小了点，不过也可以了，很划算', '短评打分': 5}
{'短评内容': '老板很好，但是卫生一般，隔音不是很好，其他都不错', '短评打分': 5}
{'短评内容': '房间很小哈,不过那么便宜就不挑了,老板不错,只要安全就好,呵呵', '短评打分': 5}
{'短评内容': '卫生还可以，比较安全。', '短评打分': 4}
{'短评内容': '房间比较小，设施不是很好，，床太小了。。。', '短评打分': 1}
{'短评内容': '很便宜实惠、合人民币才两百、房间小双人床才一米五、然后床很短、不过很干净很划算', '短评打分': 5}
{'短评内容': '还好，就是太窄了。', '短评打分': 4}
{'短评内容': '老板很不地道，寄存行李要收费20元港币，更生气的是晚上七点拿行李时，前台说不知道放在哪里。因为酒店工作人员工作没有交接。最终迫于无耐，每个房间打开查找下终于找到。差点误了飞机。差评。下次不会选择此酒店。', '短评打分': 5}
{'短评内容': '房间太小；老板没礼貌，直接推门就进房间，这点儿很讨要；另外，还要先付房费再入住，还不给开发票。\n\n当然，房间小可以理解，但服务态度上还需提升！', '短评打分': 1}
{'短评内容': '地段不错，非常热闹。出门方便，酒店很干净。有机会还来住', '短评打分': 5}
{'短评内容': '酒店不错，比想像中好多了，逛街也相当方便', '短评打分': 3}
{'短评内容': '酒店比我想象的要好多了，环境还蛮好的，睡觉蛮舒服的，一开始上面写的无窗，我都已经做好没有窗子的心里准备了，没想到到那之后，竟然还有个窗子，而且给人的感觉蛮正规的，我们住了4天，其中还来打扫了一次，把被子什么的都换了，蛮好的，下次去还住这这家。', '短评打分': 5}
{'短评内容': '位置非常方便，环境真别预期太高，性价比高而已，就当是一次尝试吧', '短评打分': 5}
{'短评内容': '房间非常小，虽然无窗但还是而且比较吵。一幢大厦里至少容纳了10家小酒店，乱纷纷啊！另外酒店电视只有3个台，一个英文的，一个粤语的，还有一个是酒店门口的监控录像，你可以在房间看到每个到酒店来的人……………—*（）*—……', '短评打分': 1}
{'短评内容': '地理位置很好，交通便利，老板及服务员人都很好，只是房间和洗脸盆小点。', '短评打分': 3}
{'短评内容': '胜在位置方便，价钱实在，但房间太小', '短评打分': 3}
{'短评内容': '如果只是逛街购物之余睡几个小时的话，这是不错的选择。的确太方便了。', '短评打分': 5}
{'短评内容': '位置相当的好，交通相当的便利，就是房间很小。', '短评打分': 5}
{'短评内容': '挺好的，去周边的旺角中心方便，老板人很好，有电源转接和无线，电视小了点，灯有点暗', '短评打分': 5}
{'短评内容': '店铺地点离地铁很方便。离汽车站也很近，到广州的大巴车站就在五分钟路程。住了临街的房间，有点小吵，不过看在价格优惠上，也就忍了。关上窗子以后，声音小很多。小店虽小，但是却很干净。负责接待的阿姨很热心，服务很周到。不知道哪位是老板，但是觉得每个员工都很客气，下次还会再来住店的。', '短评打分': 5}
{'短评内容': '位置不错,在地铁旁方便去各个地方,逛街也方便', '短评打分': 3}
{'短评内容': '很紧凑，老板人挺好的~挺干净的~~~~地段逛街很方便', '短评打分': 5}
{'短评内容': '酒店还算干净，地段不错，就是靠马路的房有点吵，寄存行李还要收费', '短评打分': 5}
{'短评内容': '香港美的假日酒店外出购物极方便，环境卫生。以后出行还会考虑入住。', '短评打分': 3}
{'短评内容': '去之前已经将心里预期降到很低了，但是还是让人无法接受。房间隔音差，湿气大，最可恨的是老板娘见我们带两个小小孩子还要让我们加钱换成所谓的1.3m的床，要不然不让入住，因为信用卡已经预扣款了，所以不得不忍气吞声。我觉得在大陆县城的招待所也不会那么狭小和阴暗。总之超级不爽。住客鱼龙混杂，还有贱mm在楼道里大声作怪喊道“临时查房，马上开门”此时已经半夜1点。这次香港之行最糟糕的就是这个酒店。再也不会选择了', '短评打分': 1}
{'短评内容': '住过一次 个前台叔叔几好人 环境干净 地理位置好', '短评打分': 5}
{'短评内容': '虽然房间很小，但这是香港，按照性价比去衡量还算可以，关键是交通比较方便，离旺角地铁站不远，走路也就五分钟以内。而且去女人街也近，走路10分钟，挺方便的。', '短评打分': 5}
{'短评内容': '方便超方便！简单干净价钱合理！下次还会来', '短评打分': 5}
{'短评内容': '美的酒店位置好，还干净，就是小点，香港都这样吧。\n\n发送自HTC手机', '短评打分': 3}
{'短评内容': '酒店位置不错，房间虽小但很干净。也可以借吹风，转换插头.不错', '短评打分': 5}
{'短评内容': '交通方便，适合购物人群。房间卫生OK。大小就不要奢求了。', '短评打分': 5}
{'短评内容': '性价比还是蛮高的。这个酒店是在一个大厦里面，我看到大厦里面有很多类似的酒店，我问了同大厦别家店的价格，比这个酒店贵些，感觉房间是差不多的。在香港住酒店就不要奢望房间有太大的，毕竟只是这个价格，算是不错的。房间大的价格自然也贵，如果在香港自由行，对酒店要求不太高的，可以考虑这个酒店入住休息，反正我们每天都是出去玩，晚上很晚才回房间，只是睡个觉，早上10点多就出去了，只睡几个小时，对酒店的要求不高。', '短评打分': 5}
{'短评内容': '旅馆还不错，干净。', '短评打分': 3}
{'短评内容': '地點方便位於鬧區服務不錯逛街購物也很順!!', '短评打分': 5}
{'短评内容': '还算不错啦，感觉挺满意lor，空间还算可以，比想象中要好一点~', '短评打分': 5}
{'短评内容': '老板服务很好 手机丢了还帮我找回来了 非常好 ', '短评打分': 5}
