{'短评内容': '一般般吧 服务也就那样 住多天的话不叫他打扫的话没人管你的 毛巾牙刷牙膏这些也都不会主动换 不过价格摆在那了 总体还行', '短评打分': 3}
{'短评内容': '电脑坏的', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '弹性不错，隔音没得说', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '物美价廉，价格实惠', '短评打分': 5}
{'短评内容': '地理位置不错，逛街购物方便，由于临街的原因，早晚有些吵，房间很干净，价格比较优惠，一连住了很多天，但是后来后来房间已经订满，只能改别家酒店了，总的来说不错！', '短评打分': 5}
{'短评内容': '不好', '短评打分': 4}
{'短评内容': '房间还可以，不过电视那边墙面不大好，估计渗水了，一直掉灰，东西放那边都沾上了', '短评打分': 4}
{'短评内容': '勉强吧', '短评打分': 5}
{'短评内容': '凌晨三点被门外的吵闹声吵醒，隔音效果太差！', '短评打分': 3}
{'短评内容': '一般，只是没有吹风机。', '短评打分': 3}
{'短评内容': '吼啊', '短评打分': 5}
