{'短评内容': '办理住房时前台俩服务员的态度真烂！一男一女，男的叫什么小黑。服务人员不都应当面带微笑吗。一脸僵尸脸，女的嫌烦，问话就只说一遍。房子住的很好，就是办理住房就很让人讨厌了。', '短评打分': 3}
{'短评内容': '朋友订的，反映不错！', '短评打分': 5}
{'短评内容': '早餐不错，卫生也可以。因朋友让订的，他们住了，反映不错！', '短评打分': 5}
{'短评内容': '四星级酒店，岁数有点大，设施都有，一般。', '短评打分': 5}
{'短评内容': '环境很好，比较幽静，被子枕头舒适', '短评打分': 5}
{'短评内容': '酒店太老旧，地毯非常脏，晚上11点大堂就黑灯了！', '短评打分': 5}
{'短评内容': '蛮不错的', '短评打分': 5}
{'短评内容': '巴巴爸爸啊啊啊', '短评打分': 5}
{'短评内容': '啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '挺好啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '还行吧，有点旧', '短评打分': 4}
{'短评内容': '不错不错', '短评打分': 4}
{'短评内容': '酒店的床特别舒服，非常软，我们公司好几个同事一起来的，都感觉特别好，价格也非常合适，早餐也非常丰富。', '短评打分': 5}
{'短评内容': '酒店的床特别舒服，非常软，我们公司好几个同事一起来的，都感觉特别好，价格也非常合适，早餐也非常丰富。', '短评打分': 5}
{'短评内容': '房间干净，设备齐，', '短评打分': 4}
{'短评内容': '空调有声音', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 4}
{'短评内容': '电梯不太方便，，房卡卡少了', '短评打分': 4}
{'短评内容': '就是自助餐一般般，其他还好，毕竟老酒店了', '短评打分': 5}
{'短评内容': '很好，晚上还送免费的水果', '短评打分': 5}
{'短评内容': '比想象中好，但是吃饭比较贵', '短评打分': 5}
{'短评内容': '环境比较干净，还不错', '短评打分': 5}
{'短评内容': '房间稍微有点小，但酒店服务非常好,送水果和报纸', '短评打分': 5}
{'短评内容': '不错不错，虽然老了点，但是卫生、服务都很好，中规中矩。', '短评打分': 5}
{'短评内容': '虽然酒店设施比较久了，但是服务和卫生还是不马虎的，环境比较安静，离山比较近，窗外有风景。', '短评打分': 5}
{'短评内容': '  服务周到 非常满意', '短评打分': 3}
{'短评内容': '不错的商务酒店。早餐比较喜欢，有西餐，中餐，种类挺多。房间内部也行，只是外面看起来比较旧。', '短评打分': 5}
{'短评内容': '酒店很好，值得推荐，自助餐也很好，交通方便，环境也很安静，还送水果，真的不错，早餐也丰盛！', '短评打分': 5}
{'短评内容': '环境好，服务周到，房间隔音效果有待提高', '短评打分': 3}
{'短评内容': '总体真不错，服务很好，设施有点陈旧，菜肴口味不错，可能因为是春节，早餐的品种有些少', '短评打分': 5}
{'短评内容': '装修有点老，早餐一个房间就一份，两个人住还得加钱，唉', '短评打分': 3}
{'短评内容': '位置好，服务好，温馨，舒适，早餐品种丰富，会向朋友推荐的', '短评打分': 5}
{'短评内容': '还不错，自助餐中午比晚上差一些，总体价格有些高', '短评打分': 5}
{'短评内容': '服务态度还可以，早餐很丰盛哦，不过价位还是有些高，推荐', '短评打分': 5}
{'短评内容': '马马虎虎,装修及设施陈旧点。老4星了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务员态度很好，房间条件一般。', '短评打分': 3}
{'短评内容': '前台服务好！客房也不赖！美食嗨爽口！哈哈哈哈～～～～～～～～   ', '短评打分': 5}
{'短评内容': '设施较旧了，但服务尚好', '短评打分': 5}
