{'短评内容': '睡完长了一腿包', '短评打分': 2}
{'短评内容': '条件还可以，价格也优惠。', '短评打分': 5}
{'短评内容': '性价比非常高，服务特别到位，酒店非常值得入住!!!', '短评打分': 5}
{'短评内容': '早餐还可以，不能加床，酒店位置不错，去景点很方便，有停车场。坐51路去东渡（鼓浪屿），87路去南普陀寺，厦大。84路去机场。而且公交特便宜全程只要1元，又不堵车。', '短评打分': 4}
{'短评内容': '房间挺大，临街但是也很安静，可以的', '短评打分': 5}
{'短评内容': '不错 服务很好 很满意 而且很干净 每天都会有人来打扫房间 这边去哪里也比较方便 特别是离中山路步行街很近', '短评打分': 5}
{'短评内容': '房间天花石灰脱皮，地板破损严重，单间超级小，床和桌子距离只能侧身过，热水器也不热，水温的而已，房间霉味道很重，之前住锦江之星比汉庭好多了！！后来换了一个房间，稍微好点，热水一样不行，接待人员服务态度还不错，', '短评打分': 2}
{'短评内容': '房间很不错，很大！就是有些发霉！淋浴水很好！卫生状况也不错！', '短评打分': 5}
{'短评内容': '这个酒店很一般', '短评打分': 2}
{'短评内容': '完全不知道这个是什么，但还是', '短评打分': 5}
{'短评内容': '价高。性价比低，写了有早餐实际无。', '短评打分': 3}
{'短评内容': '房间有点潮，而且给我的房间没窗户，但地理位置不错！', '短评打分': 4}
{'短评内容': '整个还行…离鼓浪屿轮渡码头和厦门站很近…很多房间是无窗的…适合睡觉…', '短评打分': 4}
{'短评内容': '我们一行九人预订十号厦门中山路轮渡汉庭酒店，十号一晚的三人房，因有的乘火车有的，我乘飞机，里面虽然有些小插曲，还好还是住上了。', '短评打分': 4}
{'短评内容': '真心不错，面朝大海。春园花开！', '短评打分': 5}
{'短评内容': '位置很好，出游很方便', '短评打分': 5}
{'短评内容': '快捷酒店也就是这个样子，要求不高的也就将就，位置决定价格', '短评打分': 4}
{'短评内容': '环境好，布局好，舒适，一直都喜欢汉庭，就是会员资格没什么卵用，不如在网上预订便宜，离中山路有些远，走了好久好久的路才找到，把我累坏了', '短评打分': 4}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '从高铁站下来坐BRT可以直接到，但到鼓浪屿的码头还要换车，方便程度一般', '短评打分': 3}
{'短评内容': 'wifi不太好 其他都过得去', '短评打分': 4}
{'短评内容': '不错～我们4个人，大床房挺大的', '短评打分': 5}
{'短评内容': '到了入住时间，前台根本没有联系客户，打了几通电话过去酒店，就说信号不好就挂了，有时就说了句**酒店之后，就挂了，服务真的太差了，我们凌晨12点多才去到酒店入住，去到前台跟他们反应了这样的情况，又是说信号不好，信号不好可以短信知会我们客户啊！办理了入住，去到房间床单有点脏，都不敢睡下去，都是用被子隔着才敢睡，房间的隔音效果差，隔壁房间的客人敲门、开关门都听得到，一晚根本都没有怎么睡过，都是被吵醒的状', '短评打分': 3}
{'短评内容': '地理位置，交通，饮食等非常方便，还有机场接送服务，实在是太好了。下次去厦门，还住这里！', '短评打分': 5}
{'短评内容': '交通方便，离轮渡及中山路都很近，酒店设施齐全，干净卫生。值得入住。', '短评打分': 5}
