{'短评内容': '环境还好', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的 ', '短评打分': 5}
{'短评内容': '非常好，非常好！', '短评打分': 5}
{'短评内容': '早餐很不错，环境也不错，就是吹风机这个功率有点小，嘿嘿。服务态度特别棒', '短评打分': 5}
{'短评内容': '早餐很不错，环境也不错，就是吹风机这个功率有点小，嘿嘿。服务态度特别棒', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错 家庭旅馆 很棒', '短评打分': 5}
{'短评内容': '很满意的一次旅行，房间干净设施齐全，很贴心，晚上前台帮忙叫了外卖送到房间，服务很好，宾至如归，棒棒的强力推荐推荐！下次来唐山还会选择这里！', '短评打分': 5}
{'短评内容': '经济实惠 不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错的服务', '短评打分': 5}
{'短评内容': '非常不错，性价比高，房间干净，就是无线网络有好几个，大多数都是不能用的', '短评打分': 3}
{'短评内容': '服务很棒，尤其前台。环境也很不错，干净卫生。店里提供物品哦……，适合情侣。', '短评打分': 5}
{'短评内容': 'nice啊啊啊啊啊啊啊啊啊啊', '短评打分': 3}
{'短评内容': '环境还可以，服务也不错，一楼似乎有些潮，因为进到房间里会有一股味道，标间比较小，曾经在唐海县住过“悦百客”大床间，那个房间要好许多。', '短评打分': 5}
