{'短评内容': ' 超棒的啊一定要给个好评 去考试那边还准备了小礼品的哎 住的位置也比较安静 走过去5分钟不到 真的血赚', '短评打分': 5}
{'短评内容': '很好找，坐公交一下站就到，走路的话，离五三中学不到10分钟距离。因为考试订的宾馆，如家很贴心的准备了祝福卡片和小零食，退房时间也免费帮忙续到1点。很棒！', '短评打分': 5}
{'短评内容': '酒店很舒适，也很干净，前台和扫地阿姨都很亲切。还能很贴心为考生准备免费的小零食，还有鼓励的小卡片，服务态度真的一级棒！超级nice的住宿体验！', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '位置就在大路边上，很显眼。周围环境很安静，晚上休息不会有吵闹声。服务很热情，酒店还贴心留了一张卡片，留下了很好的影响，', '短评打分': 5}
{'短评内容': '还可以，不错的，正常干净，价格便宜，适合单身住店，位置也还可以，开车方便，离机场近边，交通方便，总体不错', '短评打分': 4}
{'短评内容': '其它还好，就是电视机该换了', '短评打分': 5}
{'短评内容': '大家好，是没有早餐，是有停车场的，酒店的位置有点偏，但是还是可以的，房间卫生有提升的空间，就说这么多吧', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '地点略偏，但交通很方便', '短评打分': 5}
{'短评内容': '马桶和电话是坏的', '短评打分': 4}
{'短评内容': '服务态度挺好，设施一般但该有的都有了，就价格而言要求不能太高。唯一不足的就是空调外机声音实在太响了。', '短评打分': 4}
{'短评内容': '今天在五三中学考试，如家离五三中学五六百米，附近还有摩拜单车，骑车仅三四分钟就可以到，地理位置优越。人性化服务，今天下午两点考试，如家经理特意延长退房时间，让我们考生中午可以好好休息，其次，黄经理还在房间给我们考生写了祝福卡片，特别贴心。总之，这次一切顺利，谢谢如家贴心服务！', '短评打分': 5}
{'短评内容': '比较偏僻  找个吃饭的地方都没有  酒店在装修  服务态度一般', '短评打分': 2}
{'短评内容': '第一次住这么差的如家，完全颠覆了我对如家的美好印象，一进门浓烈的烟味几乎要窒息了，房间灯光昏暗，空调动静不小，就是不出暖风，毛巾破旧，卫生间臭气熏天，硌人的床就无语了，枕头小，被子像铁皮一样，也不暖和。再也不会住如家了。', '短评打分': 1}
{'短评内容': '服务员很客气，我非常喜欢这儿的庭院，非常生态的感觉。', '短评打分': 5}
{'短评内容': '总体不错。下次再住。多谢!', '短评打分': 5}
{'短评内容': '价格比较优惠，还在装修。其他符合上海风格吧，还行。', '短评打分': 4}
{'短评内容': 'dsavcsdavsavsacdsav', '短评打分': 4}
{'短评内容': '大床房间小了点，走廊有股味道。建议以后有午，晚餐就好了。', '短评打分': 5}
{'短评内容': '位置有点点偏。。房间有点小。。卫生不错。。总体还行', '短评打分': 3}
{'短评内容': '酒店服务态度很好，有车接送蛮方便的。', '短评打分': 3}
{'短评内容': '环境清幽，价格合理，服务员阿姨热情~相比其他酒店有更高的性价比！！', '短评打分': 5}
{'短评内容': '还可以，性价比比较高', '短评打分': 3}
{'短评内容': '环境不错，价格也不错！', '短评打分': 3}
{'短评内容': '位置有点偏，不过价格合适，房间有点小！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '公交方便!价格便宜!就是吃饭不太方便!不过赶飞机的人,吃飞机上的免费饭了', '短评打分': 5}
{'短评内容': '房间有味道，不通风。', '短评打分': 3}
{'短评内容': '价格优惠,出行方便,632  浦动11路到南桥路转地铁,吃饭不方便!', '短评打分': 5}
{'短评内容': '这间还不错,就是卫生做的不够 干净,水笼头的水很大.', '短评打分': 5}
{'短评内容': '很好离机场近', '短评打分': 3}
{'短评内容': '下雨天,一楼房间,床上感觉有点湿的感觉.', '短评打分': 3}
{'短评内容': '房间挺干净的…', '短评打分': 3}
{'短评内容': '酒店不错，还有车到地铁口接我们入住', '短评打分': 3}
{'短评内容': '还可以，就是因为上海寸地寸金呀！', '短评打分': 3}
{'短评内容': '酒店位置还可以，步行十分钟有农工商易、初莲花超市，自带庭院，绿化非常好，较安静。房间干净、整洁，服务人员态度好，较热情。早餐样式少，吃饱没问题。:）', '短评打分': 5}
{'短评内容': '还可以，没有什么特别好与不好的，反正也就那样！', '短评打分': 5}
{'短评内容': '价格便宜，就是房间小了一点，到川沙走过去要十分钟左右', '短评打分': 5}
{'短评内容': '接机服务还好，比自己打车便宜些。距离机场较远，一份价钱一分货吧。。', '短评打分': 1}
{'短评内容': '房间虽然很小，但设施一应俱全，在浦东机场算性价比很高的了', '短评打分': 3}
{'短评内容': '没有卷纸，床上发现了两只小虫，但是客房很多，窗外环境很好，虽然靠高架但是很安静，价格比市里便宜很多了', '短评打分': 1}
{'短评内容': '感觉不错！特别是在2号线地铁4号出口的接站车真的让我好意外～帕萨特！呵呵～下次再来上海还要住这里（唯一遗憾的是没有电脑…）', '短评打分': 3}
{'短评内容': '价格实惠的\n卷纸太少了，院子的垃圾需要清理', '短评打分': 5}
{'短评内容': '价格实惠的\n卷纸能多点就好了，酒店院子的垃圾需要好好清理。', '短评打分': 5}
{'短评内容': '价格实惠的；\n卷纸太少了，希望卷纸能多点。', '短评打分': 5}
{'短评内容': '价格实惠！\n卷纸太少了，最好能加大卷点。', '短评打分': 5}
{'短评内容': '设施我都不说了，我订了7天，因为有团队房间不够让老住客零时加钱的，这酒店太坑人了。希望不要有更多的住客被欺骗了。', '短评打分': 1}
{'短评内容': '嗯，环境卫生各方面还都是很不错。而且还比较安静。', '短评打分': 5}
{'短评内容': '价格便宜，去机场方便，早上有早点，不用到处跑找东西吃。', '短评打分': 5}
{'短评内容': '离公交很近＇去地铁也方便＇就是房间小＇二月底屋子冷＇还可以吧', '短评打分': 3}
{'短评内容': '曾经以如家会员的身份住过该店，发现该店最近升级了屋内的电视系统，节目丰富，频道选择更多了，但是电脑网络一直很不稳定，总是掉线，服务员打扫房间时也不够细心，浴巾更换了，但是垃圾桶里面的垃圾却没有倒掉，期望今后能有改进。酒店距离浦东机场也不是很近，夜里打车要80元，比我心中50元的预期多了不少，呵呵，也许是司机绕道了吧', '短评打分': 5}
{'短评内容': '价格实惠，环境也好，去浦东机场约15分钟，离2号线地铁华夏东路站须14元出租车，交通也很方便', '短评打分': 3}
{'短评内容': '酒店离机场很近，环境非常好，很肃静，周边吃饭休闲方便。工作人员服务热情，房间很干净。', '短评打分': 3}
{'短评内容': '不错的，还有车接服务不错。', '短评打分': 3}
{'短评内容': '靠近浦东机场,早餐品种太少!没午和晚餐!', '短评打分': 5}
{'短评内容': '这次是给朋友订的酒店，在ELONG上订的很便宜，又方便，还不用先付款，真是太好了，', '短评打分': 5}
{'短评内容': '性价比还好，空调有点吵。一个人以上去机场建议打的。', '短评打分': 1}
{'短评内容': '还好。还算干净，服务态度也不错。wifi如果可以上到楼上就好了。', '短评打分': 5}
{'短评内容': '不错，就是周围没什么吃饭的地方，很不方便', '短评打分': 5}
{'短评内容': '住过几次，蛮安静的，不错', '短评打分': 3}
{'短评内容': '靠近机场,便宜,但不供应午饭和晚饭不方便!房间比较小!', '短评打分': 5}
{'短评内容': '居然还有这样的如家？很惊讶！也许是价格的问题。', '短评打分': 1}
{'短评内容': '房间价格不错.离机场近，就是隔音太差!非常差！', '短评打分': 3}
{'短评内容': '非常好 ！环境舒适， 交通便利，特别适合早班飞机的旅客， 到机场很方便，酒店提供的巴士20元一位，服务也很好', '短评打分': 5}
{'短评内容': '很好，干净安静的临时休息去处。', '短评打分': 3}
{'短评内容': '安静，交通不咋地，旁边生活配套不多。服务员有些莫名，居然在网上回复我未入住，无语......', '短评打分': 5}
{'短评内容': '房间比较精致，没有饮用矿泉水，如果为了去浦东机场在这入住是比较好的选择。', '短评打分': 5}
{'短评内容': '环境还好，就是有点小', '短评打分': 3}
{'短评内容': '靠近机场,能免费送机就好了,那样更有吸引力', '短评打分': 5}
{'短评内容': '很不错，感觉很舒服\n环境很好哦\n服务态度也很好，有种家的感觉', '短评打分': 5}
{'短评内容': '不是距离地铁口最近的，但住得还算舒服，给个好评', '短评打分': 5}
{'短评内容': '总体感觉不错，就是房间有点小了，不过里面的设施到是都还可以，满不错的，交通也很方便', '短评打分': 5}
{'短评内容': '房间干净整洁，就是卫生间偏小，不过还挺干净的！前台服务态度也不错！比较满意！', '短评打分': 3}
{'短评内容': '环境还行', '短评打分': 3}
{'短评内容': '离机场比较近，还是方便的。但是我住的那间房一进去烟味特别特别重！连被子都有味，幸好只睡一天。如家以后要把通风弄好', '短评打分': 5}
{'短评内容': '不错！酒店内部环境满意，房间很温馨。外部环境也不错，不是很偏，基本没什么噪音。离浦东机场十几公里左右，酒店里还有机场班车。早餐东西还算可以。', '短评打分': 5}
{'短评内容': '酒店环境不错,就是房间有点小,不过一个人住够了,交通也够便利,下次还会来这边住.酒店服务态度也不错,建议以后有叫车服务', '短评打分': 5}
