{'短评内容': '房间风格是十分简约 居住舒适安静', '短评打分': 5}
{'短评内容': '出差住下还不错 价格也可以', '短评打分': 5}
{'短评内容': '周围环境吵杂，房间设施卫生一般，早餐一般，', '短评打分': 3}
{'短评内容': '酒店位置很好环境也好，不错的选择！', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好的还有好的好的好的好的', '短评打分': 5}
{'短评内容': '我也去那您能回眸也去', '短评打分': 5}
{'短评内容': '我现在杭区留闪电费者见面发邮寄', '短评打分': 5}
{'短评内容': '房间可以，周围环境一般', '短评打分': 3}
{'短评内容': '经常住，性价比高', '短评打分': 4}
{'短评内容': '整体还行，位置偏远', '短评打分': 5}
{'短评内容': '干净整洁，服务热情，电视声音较小', '短评打分': 3}
{'短评内容': '环境好，位置佳，遗憾无早餐。', '短评打分': 3}
