{'短评内容': '坑死了。除了离西湖近。', '短评打分': 1}
{'短评内容': '房间有点小，距离地铁站西湖都挺近的', '短评打分': 4}
{'短评内容': '感觉很不错，离西湖很近，超级大床房的床很大，没有吃早餐，外面早餐店很多，旁边学校可以停车，停车费可以讲价？', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '前台接待仿佛你是空气，爱理不理的，一看你是携程上订的，白眼珠特多，房间安排在一层，一走进去有潮湿霉味，感觉进了黑店，而不是连锁大牌知名酒店，后提出要退房了，前台才给安排到3楼。并且酒店内wifi信号极差，几乎等于无。一大早就给厨房油烟一般烧糊怪味熏醒，打死也不住这酒店了！', '短评打分': 2}
{'短评内容': '没定上，差点打乱行程', '短评打分': 1}
{'短评内容': '没定上，差点打乱行程', '短评打分': 1}
{'短评内容': '还行&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '房间比较小，但很干净。', '短评打分': 5}
{'短评内容': '还不错 ，房间虽然不大，但地理位置很好。', '短评打分': 5}
{'短评内容': '还可以吧！实惠！', '短评打分': 5}
{'短评内容': '环境还不错，就是早上被窗外的饭店员工吵醒', '短评打分': 5}
{'短评内容': '位置不错离地铁近，可走着去西湖，也很安静，就是空间小点', '短评打分': 5}
{'短评内容': '去的有点晚只有一楼的房间了，前台的服务非常好。', '短评打分': 5}
{'短评内容': '给了个顶楼的房间，结果像阁楼间。两个小窗户，哎～总比没窗好凑合吧。最烦心的是，不知道窗外是什么设备那噪音大的，吵死了。不过，前台的服务小姑娘还是要点赞的，由于手机充电器忘带了小姑娘把自己的借给了我。稍稍平复了我不满的情绪', '短评打分': 4}
{'短评内容': '楼层太差了，站不起来', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '交通方便地理位置好，想去哪里都方便的很！离西湖很近，走走停停的就到了。如果想要多看看西湖或者是音乐喷泉这里是蛮好的选择哦', '短评打分': 5}
{'短评内容': '酒店离西湖近，步行大概十几分钟就到了。附近有公交站和地铁站，出门就有很多早歺店水果店，还有一个灶丰年间，我们也去光顾了，总之蛮方便的', '短评打分': 5}
{'短评内容': '地段好交通方便，设施齐全卫生良好，很划算！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '电视机机顶盒特向，隔音不好。', '短评打分': 3}
{'短评内容': '还好，', '短评打分': 4}
{'短评内容': '房间卫生整洁，酒店环境不错，服务很周到。', '短评打分': 5}
{'短评内容': '就在地铁站旁边，比较方便，不过房间较小，经济型酒店都这样', '短评打分': 5}
{'短评内容': '来杭州玩 首选酒店 地理位置佳 条件服务都不错', '短评打分': 5}
{'短评内容': '服务能再好点就更好了，此路段是单行线，相对交通不是很方便', '短评打分': 5}
{'短评内容': '西湖傍边一点点，酒店也很新，服务不错，下次应该还会选择', '短评打分': 5}
