{'短评内容': '唯一的缺点就是方面里面的装修有点旧了。 ', '短评打分': 4}
{'短评内容': '最便宜的房间真小巧，设施还算可以', '短评打分': 4}
{'短评内容': '位置不错，离步行街很近，站在房间里看风景不错，远山连绵很漂亮。唯一的缺点就是方面里面的装修有点旧了。', '短评打分': 5}
{'短评内容': '位置真的太好了，房子真的太小了，还算安静，但是没有停车场，停车不方便，吃早餐不太方便，房子挺干净的，简约风格，只是太小显得很压抑，最好是豪华大床房，房子要大很多', '短评打分': 5}
{'短评内容': '帮着朋友预定的，朋友打电话说，还可以了。', '短评打分': 5}
{'短评内容': '算是还可以了，帮朋友预定的酒店，说还行。', '短评打分': 5}
{'短评内容': '不怎么好，一般般，太小，空调不冷。', '短评打分': 3}
{'短评内容': '地理位置很不错，距离榕湖很近，商业区附近。酒店没有停车场，不过旁边有地下停车场，20元过夜。内部是那种商务的，简洁。网速很快，由于都是高楼层，所以没有什么噪音，但相对来说两个电梯都是老式的，比较慢。这次的母子房很大，1800和1500的床各一个。不过有点旧的感觉。', '短评打分': 5}
{'短评内容': '酒店环境卫生设施都很好，希望在桂林这个临时的“家”玩的开心！住的舒心！！', '短评打分': 3}
{'短评内容': '出入方便，对面就是广场和瀑布大酒店，旁边就是微笑堂，还不错，就是电梯很陈旧', '短评打分': 5}
{'短评内容': '挺不错的！很好啊！可以介绍给朋友,下次来桂林挨可以预定', '短评打分': 5}
{'短评内容': '地理位置比较好，出行方便啊。就是晚上有点吵。', '短评打分': 5}
{'短评内容': '交通很方便，离步行街和中心商圈很近，比较安静。', '短评打分': 5}
{'短评内容': '总体不错，就是房间有些小，但很干净，距离步行街只有100米，很方便', '短评打分': 5}
{'短评内容': '太差了。酒店设施陈旧，厕所非常臭，整个房间都是厕所的味道。热水不热的，只适合夏天冲冲凉，冬天根本没法用，冷得我赶紧跳出来。再有，服务态度极度差，酒店住过不少，没见过这么差的，连一般的小旅馆都不如啊。打扫的阿姨一见我们就问什么时候退房，无语，管你们什么事啊。还有就是前台，搞得我们莫名其妙，一进酒店瞪我们，一直玩电脑，爱搭理不搭理的。最后对退房，因为押金200元不是交现金，我不懂怎么退回卡上，就问了下', '短评打分': 1}
{'短评内容': ' 酒店地理位置很好很方便  但房间只提供两个纸杯 设施也比较陈旧 预订的房型也没有  等到下午一点还是加了钱才有房间', '短评打分': 3}
{'短评内容': '酒店有点破，不过可以了，值，没有早餐，就这样吧', '短评打分': 5}
{'短评内容': '价格、卫生情况不错，就是离火车站远了点，服务态度一般，总体比较满意。', '短评打分': 5}
{'短评内容': '房间实在太小了,想换房又说没有了，但是位置还不错。', '短评打分': 1}
{'短评内容': '酒店卫生不错，很舒服，但是总台服务态度不太好', '短评打分': 5}
{'短评内容': '位置很好  就是服务员太懒了  房间卫生做的不到位 需要改进', '短评打分': 5}
{'短评内容': '还可以，位置好，房里的东西是我见过最便宜的。。。哈哈', '短评打分': 5}
{'短评内容': '卫生没搞好，地理位置相当好，不过一路过来也有不少店，停车要收20文过夜。。。物业收的，贵了点。', '短评打分': 5}
{'短评内容': '我入住的是大床房，带电脑的，房间第一感觉很狭小，枕头有些湿润，被套也没有系好，但是前台跟客房的服务员服务瞒好的', '短评打分': 1}
{'短评内容': '很宽敞的房间。。。地理位置很好。。。。酒店对面就是广场。。。往前一点就是步行街。。。购物。。。去景点都很方便。。。房间很安静。。。', '短评打分': 5}
{'短评内容': '服务很一般，主要是我预定了到酒店却说没有房了！', '短评打分': 1}
{'短评内容': '位置好,房间干净', '短评打分': 3}
{'短评内容': '房间干净卫生,地理位置好,交通方便。要是有早餐就更好了!', '短评打分': 3}
{'短评内容': '位置比较好，中心广正对面，可以看到瀑布酒店的人造瀑布景观，但酒店设施较陈旧，电梯比较恐怖，价格如果定在150以内较为合理…………', '短评打分': 5}
{'短评内容': '硬装太陈旧，淋浴不是可移动的，帮宝宝洗澡很不方便。还有就是里面一次性洗漱用品都没有，热水也不热，价格还不便宜。唯一不错的就是地段好', '短评打分': 1}
{'短评内容': '酒店地理位置不错，交通很方便，就是晚上太吵了，洗澡热水不够热，水压有点小', '短评打分': 3}
{'短评内容': '地理位置不错，属于市中心地段。房间还好，反正整体来说还算满意。', '短评打分': 5}
{'短评内容': '这个酒店价格不贵，位置也好，在中山中路，对面就是正阳广场和步行街，很方便。房间内的陈设和装修不错，被褥很干净，下次来还可以考虑住这里。', '短评打分': 5}
{'短评内容': '酒店位置非常好，能够俯瞰桂林市，房间设施也很齐全。', '短评打分': 5}
{'短评内容': '老板热情，房间干净，总体来说还不错啦， 会推荐给朋友的！\n', '短评打分': 5}
{'短评内容': '价格实在，订了4间同样价格的母子房间面积却相差很多，面积大的那几间还可以，面积小的那间确实不怎么样，又小又有味道。', '短评打分': 5}
{'短评内容': '酒店卫生太差，特别是卫生间。168的价格不合适。', '短评打分': 1}
{'短评内容': '房间很大，而且就在市中心，晚上看得到桂林的夜景。', '短评打分': 5}
{'短评内容': '宾馆位置和价格相比性价比是比较高的，不足的是网络很难接通，这将会影响入住率。', '短评打分': 1}
{'短评内容': '位置很好，就是下面是KTV 晚上会有些小吵，房间很干净，服务还是很不错的', '短评打分': 5}
{'短评内容': '厕所的玻璃有些透   外面可以开到里面人\n退房时处理速度慢\n每天都要去加房卡的磁很麻烦\n有洗衣机自助很方便', '短评打分': 5}
{'短评内容': '预订的时候看中的是该酒店位于市中心交通方便。酒店实际的客房位于10楼，是写字楼改装的，长长的过道都没有装几盏灯，阴阴森森的。房间比较狭窄，屋内的设置及配套用品总体上比同价位的其他的便捷酒店要差些。另外说一点的是酒店的电梯，相当陈旧了，有时候还会咿呀咿呀响，乘坐起来都有些后怕。', '短评打分': 1}
{'短评内容': '还不错 位置特别好 李步行街特别近~推荐', '短评打分': 5}
{'短评内容': '性价比高的一家酒店，就是无窗的房间给住客感觉弱点。', '短评打分': 5}
{'短评内容': '秀間尚算清潔,跟如家差不多,不過好像比如家差些,但是地點很好,是其優點,整体還是可以', '短评打分': 5}
{'短评内容': '环境挺好的，浴室很大也干净，服务员态度也挺好', '短评打分': 5}
{'短评内容': '其它还行，前台态度不好。', '短评打分': 3}
{'短评内容': '环境还是不错滴~就是没有凉衣服的地方！我去桂林几天刚好下雨，衣服都湿了洗好了却不知道凉去哪里！', '短评打分': 5}
{'短评内容': '不错。。。挺好的。。性价比可以·············', '短评打分': 5}
{'短评内容': '服务员态度一般但酒店环境不错住着比较满意', '短评打分': 3}
{'短评内容': '出差都住这家.出差都住这家.出差都住这家.出差都住这家.', '短评打分': 5}
{'短评内容': '非常好。', '短评打分': 3}
{'短评内容': '地理位置不错,服务也好', '短评打分': 3}
{'短评内容': '酒店地理位置优越，购物出行皆便利，性价比一般！', '短评打分': 5}
{'短评内容': '服务人员很热情 很周到  每天早上开门 都会有服务人员问你 退房还是续房 会问你是否打扫卫生  服务很周到 ', '短评打分': 5}
{'短评内容': '很好，谢谢!', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '这个酒店极差。建在夜总会的楼上。喧闹声持续到半夜三点。服务态度极差。因为我投诉了就故意指错路。卫生也不好。就是一个夜总会小姐的炮房', '短评打分': 3}
{'短评内容': '还好住在11楼。8楼是KTV。很吵。人来人往也很杂。房间凑合。有点旧', '短评打分': 1}
{'短评内容': '地段很好，但是房间不够干净，还不如在火车站对面的新凯悦舒服', '短评打分': 1}
{'短评内容': '位于桂林唯一一条商业繁华的街道中心，吃饭和购物及其方便。该酒店价格也非常吸引人的低。物有所植。', '短评打分': 3}
{'短评内容': '+物美价廉', '短评打分': 5}
{'短评内容': '不错。虽然是没有窗户的房间。但是很安静。休息的很好。推荐', '短评打分': 5}
{'短评内容': '我们住的是豪华大床房，马桶坏掉了。要求换一间房子，酒店服务说相同房型和双床房都满了。第二天找来一个维修工，疏通了半天，马桶还就那个样子。地上的头发也没有打扫干净。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，对面就是中心广场，但是酒店在10楼，楼下9楼有一家夜总会，到了晚上会很吵，房间还比较干净，服务人员还比较热情。', '短评打分': 5}
{'短评内容': '都还不错，位置就在市中心，就是好像挨着一个夜总会或者KTV，晚上比较吵~', '短评打分': 1}
{'短评内容': '基本上不敢恭维，进房间，地面不干净，四处散落着长长的头发之类的尘垢，门背后居然有一小堆渣子没有清理，洗手间也感觉不太干净，毛巾之类就根本不敢碰了。酒店是在一栋大厦的12层，进出的人比较杂，如果是单身女孩子的话建议慎重考虑。', '短评打分': 1}
{'短评内容': '地理位置非常好', '短评打分': 5}
{'短评内容': '回来还是住这里，不错', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '房间除了一张床和一个电视框正常外。连拖鞋也要钱，厕纸没有，衣框没有，热水断断续续，性价比高壹佰多块钱住的房间小的可怜，连电梯也是超旧等等……', '短评打分': 1}
{'短评内容': '对了  这里的热水不行  要不冷 要不热', '短评打分': 3}
{'短评内容': '不错 第一次在这订的酒店  下次还来', '短评打分': 5}
{'短评内容': '位于桂林市中心，与中心广场、正阳步行街及两江四湖都非常近，可以步行到以上地点并欣赏桂林风景，地理位置十分优越。服务态度挺不错，性价比也挺高。入住的是12楼，还算舒适，就是水压有时有点低。', '短评打分': 5}
{'短评内容': '除了房间小一点之外，一切都还好', '短评打分': 5}
{'短评内容': '地理位置不错,但是环境真的不好,晚上很吵,因为楼下是KTV的原因', '短评打分': 1}
{'短评内容': '我是2月18日从衡山回来的路上在该酒店住了一晚，总的来说：1.地理位置还好；2.总台服务态度算不错；3.卫生条件要差些（床铺上发现有毛发）；4.可能是过年的原因吧，服务员少，离店结算很慢的；5.房间的消费品清点不是很认真，上房客消费的商品算到了我的帐上（不多，不计较了）；6.服务总台装饰布置得很冷清。还有....\r\n希望下次有机会再次入住时，会感觉好些...', '短评打分': 5}
{'短评内容': '入住的是休闲房，房间很小，没窗户，显得很压抑，通风性能不是很好，感觉很憋闷，如果房间里可以通过视觉装饰改善下房间内置，加大下通风性能的改造这个房间就很不错了。还有个小意见，房间空调和排扇太吵，不开很闷，开了一晚上都很不安静，愿意多花点钱选择其他房型。', '短评打分': 5}
{'短评内容': '位置，房间的设施都不错，唯一的缺点就是热水的温度不是太高。', '短评打分': 5}
{'短评内容': '   过年在这里住了7天，感觉服务不怎么好，经常让换东西没换！', '短评打分': 1}
{'短评内容': '预订时候只看了位置，实在没有想到的是，9楼的歌厅要持续到凌晨3点左右，可是入住时候没有告诉我这个情况，把我安排在了10楼，要求换房，得到的答复是没有了。我在12楼待了很久，根本没有什么人进出。总之，不建议选择。', '短评打分': 1}
{'短评内容': '地理位置非常不错，出门就是步行街，附近的小吃很多，就是9楼的KTV晚上有点吵，只到2-3点才能安静下来……\r\n  ', '短评打分': 5}
{'短评内容': '位置非常好，购物和吃饭都非常方便，但一到晚上就让人头痛。8、9楼是KTV，吵到凌晨两三点……对面的广场一早就开始放歌，休息不太好。', '短评打分': 5}
{'短评内容': '在市中心，出行还是很方便的，房间的卫生和设施也还不错，服务挺好的，整体感觉这家酒店的性价比还是比较高的', '短评打分': 3}
{'短评内容': '只能称其为旅店，楼下的迪厅很吵的。', '短评打分': 1}
{'短评内容': '  位置挺好的市中心，房间的被子有一种家的味道（厌倦了全国所有的酒店都是白色条纹的被子），快捷酒店反而有一种接近于家的感觉。就是当天住的那间房的空调致热效果不太好，那天气温特别低洗澡水也不烫。房间很新。希望改善那电梯太旧感觉不太好', '短评打分': 5}
