{'短评内容': '不错的。下次还来的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我哟哟哟哟哟哟', '短评打分': 5}
{'短评内容': '房间很吵隔音效果差', '短评打分': 2}
{'短评内容': '会员待遇没享到。', '短评打分': 4}
{'短评内容': '协程订房没早餐', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地段不错，环境不错', '短评打分': 5}
{'短评内容': '还行吧，性价比不错', '短评打分': 4}
{'短评内容': '地理位置好 不错 ', '短评打分': 5}
{'短评内容': '还不错，交通方便，购物方便，环境优雅', '短评打分': 5}
{'短评内容': '房间小，其他都一样', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '有暖气，房间布局很不错，干湿分离，住着很舒服！', '短评打分': 5}
{'短评内容': '交通方便，周边也有饭店吃饭，不错！', '短评打分': 5}
{'短评内容': '挺干净的，还有双份早餐，还不错。交通也很便利。', '短评打分': 5}
{'短评内容': '位置好购物方便，性价比高', '短评打分': 3}
{'短评内容': '汉庭的设施都还不错.还送早餐,服务态度也蛮好的.推荐!', '短评打分': 5}
{'短评内容': '环境很好，安排的房间很安静！服务周到，地理位置很好！', '短评打分': 3}
{'短评内容': '服务还不错，房间也比较整洁，普通差旅的理想选择。', '短评打分': 5}
{'短评内容': '很干净，前台服务也很好。早餐也不错。推荐枣庄的朋友多去这家店投宿。', '短评打分': 5}
{'短评内容': '新开的店，内部设施比较新，房间还是一如既往的小，好在价格不贵！入住第二天遭遇停电，服务员送水果作为补偿！结算没电，信用卡付款无法结算！这种小地方建议还是自备电源较好！', '短评打分': 5}
{'短评内容': '总体还不错,算得上物有所值..推荐入住.枣庄这个城市太差了.', '短评打分': 5}
{'短评内容': '酒店很干净。还有车子到客运站免费接人，好不错。', '短评打分': 3}
{'短评内容': '很不错。房间大小适中，有吹风机，提供免费的瓶装矿泉水，早餐不错', '短评打分': 5}
{'短评内容': '很不错。房间大小适中，有吹风机，提供免费的瓶装矿泉水，早餐很好吃。', '短评打分': 5}
{'短评内容': '非常不错的酒店！推荐！位置属于非常好的。', '短评打分': 5}
{'短评内容': '很不错，服务也挺好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错呢，各方面都很好。早餐很好吃的。就是隔音不好', '短评打分': 5}
{'短评内容': '很不错，交通方便，住的也舒服，价格也便宜，推荐', '短评打分': 3}
{'短评内容': '第一次住可以，第二次就算了，总体感觉还不错吧', '短评打分': 5}
{'短评内容': '服务好，环境比想象的还要好。', '短评打分': 3}
{'短评内容': '已经多次入住 环境不错 服务也好 电梯需要刷卡到房间比较安全 卫生条件尚好', '短评打分': 5}
{'短评内容': '还行吧，我觉得价格有点高，性价比不如如家等快捷酒店', '短评打分': 1}
{'短评内容': '还是2楼号啊，又安静，房间又大！性价比高。评价还要20字生效！！', '短评打分': 5}
{'短评内容': '离车站太远了，而且酒店外面的环境也不好。前面马路感觉有点脏乱', '短评打分': 1}
{'短评内容': '地理位置还算不错，酒店比较干净，服务不错。', '短评打分': 5}
{'短评内容': '服务很好。很干净。交通也比较方便。希望早餐更加丰盛些。', '短评打分': 5}
{'短评内容': '房间很好，早餐也不错呢，很喜欢。就是洗澡时有点冷', '短评打分': 5}
{'短评内容': '酒店很新，条件很人性化，地处繁华区，服务很周到。', '短评打分': 5}
{'短评内容': '房间不错 也很干净 透明玻璃浴房 集中供暖 价格合理 服务也不错 电梯是刷卡 很安全', '短评打分': 5}
{'短评内容': '  酒店提供的早点比较丰富，味道也还不错，就是价格贵了点，呵呵', '短评打分': 5}
{'短评内容': '  酒店的价格和提供的服务相比性价比高，值得推荐下次继续入住', '短评打分': 5}
{'短评内容': '   靠街边的房间隔音不太好，路边的声音听的很清楚，走廊的声音也能听的见。', '短评打分': 5}
{'短评内容': '    酒店临街的房间比较吵，晚上能听到火车的声音，酒店的隔音效果不太好', '短评打分': 5}
{'短评内容': '    酒店服务人员热情，就是一次性托鞋的味道很大，希望酒店以后能改进', '短评打分': 5}
{'短评内容': '服务好，就是挨着铁道有时候会有声音，不过这个价格这个服务值了。', '短评打分': 5}
{'短评内容': '   电视画面不清，双人床的房间有点小，服务不错', '短评打分': 5}
{'短评内容': '房间还算可以，就是周边设施不太完善，店址选的不太好……', '短评打分': 1}
{'短评内容': '什么都好，就是挨着铁道，会有点吵，其他都很好。就这个价格来说，实在很划算。', '短评打分': 5}
{'短评内容': '  房间干净，就是周边餐馆较少，总的来说值得再次入住', '短评打分': 5}
